Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Первомайская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252					
14	Число неиспользованных открепительных удостоверений	355	9	4	3	9	2	4	20	12	4	3	4	14	4	6	3	15	7	19	8	13	5	6	10	9	4	13	5	3	4	8	6	4	14	18	13	6	4	18	10	6	11	4	4	3	4					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	837	12	2	1	18	7	7	46	37	2	3	0	17	5	7	0	40	57	42	22	47	9	4	22	31	1	34	4	10	5	12	6	0	36	89	24	13	7	61	14	23	37	1	2	14	6					
		3.63%	2.70%	2.25%	1.49%	2.24%	3.43%	5.51%	3.42%	3.43%	1.57%	1.73%	0.00%	3.27%	5.43%	2.65%	0.00%	3.21%	3.69%	4.10%	5.33%	4.06%	3.05%	1.77%	3.00%	3.91%	1.39%	3.72%	2.05%	5.10%	3.85%	2.09%	6.06%	0.00%	3.77%	4.99%	3.44%	4.96%	2.81%	4.80%	4.91%	2.85%	5.63%	0.48%	0.87%	5.65%	5.04%					
19	. Малышкин Олег Александрович	732	19	11	1	30	9	2	31	37	3	6	5	11	2	4	3	29	35	26	15	35	12	15	31	23	6	46	15	4	8	18	6	5	41	47	29	10	3	29	4	17	23	5	8	6	7					
		3.17%	4.27%	12.36%	1.49%	3.73%	4.41%	1.57%	2.31%	3.43%	2.36%	3.47%	3.91%	2.12%	2.17%	1.52%	4.00%	2.33%	2.27%	2.54%	3.63%	3.03%	4.07%	6.64%	4.23%	2.90%	8.33%	5.03%	7.69%	2.04%	6.15%	3.13%	6.06%	3.68%	4.29%	2.63%	4.15%	3.82%	1.20%	2.28%	1.40%	2.11%	3.50%	2.38%	3.48%	2.42%	5.88%					
20	. Миронов Сергей Михайлович	184	6	0	1	5	2	1	7	7	3	0	1	7	1	4	1	7	13	6	3	10	2	1	3	8	1	12	2	0	0	4	1	2	10	9	7	2	1	12	6	4	6	0	2	3	1					
		0.80%	1.35%	0.00%	1.49%	0.62%	0.98%	0.79%	0.52%	0.65%	2.36%	0.00%	0.78%	1.35%	1.09%	1.52%	1.33%	0.56%	0.84%	0.59%	0.73%	0.86%	0.68%	0.44%	0.41%	1.01%	1.39%	1.31%	1.03%	0.00%	0.00%	0.70%	1.01%	1.47%	1.05%	0.50%	1.00%	0.76%	0.40%	0.94%	2.11%	0.50%	0.91%	0.00%	0.87%	1.21%	0.84%					
21	. Путин Владимир Владимирович	16098	234	40	46	552	153	86	977	816	85	114	100	264	51	180	61	942	1106	736	281	802	213	149	473	545	50	597	122	138	88	385	47	89	658	1292	519	205	182	869	196	601	468	186	172	167	61					
		69.80%	52.58%	44.94%	68.66%	68.57%	75.00%	67.72%	72.69%	75.70%	66.93%	65.90%	78.12%	50.77%	55.43%	68.18%	81.33%	75.54%	71.68%	71.80%	68.04%	69.32%	72.20%	65.93%	64.53%	68.73%	69.44%	65.25%	62.56%	70.41%	67.69%	66.96%	47.47%	65.44%	68.83%	72.42%	74.36%	78.24%	73.09%	68.37%	68.77%	74.57%	71.23%	88.57%	74.78%	67.34%	51.26%					
22	. Хакамада Ирина Муцуовна	545	10	2	1	17	3	2	17	14	0	4	1	11	1	3	0	9	41	25	10	19	13	10	12	18	4	34	4	4	3	23	2	1	16	68	26	10	31	21	7	17	16	3	7	4	1					
		2.36%	2.25%	2.25%	1.49%	2.11%	1.47%	1.57%	1.26%	1.30%	0.00%	2.31%	0.78%	2.12%	1.09%	1.14%	0.00%	0.72%	2.66%	2.44%	2.42%	1.64%	4.41%	4.42%	1.64%	2.27%	5.56%	3.72%	2.05%	2.04%	2.31%	4.00%	2.02%	0.74%	1.67%	3.81%	3.72%	3.82%	12.45%	1.65%	2.46%	2.11%	2.44%	1.43%	3.04%	1.61%	0.84%					
23	. Харитонов Николай Михайлович	3892	152	29	13	160	23	23	222	143	29	45	14	167	30	58	8	179	245	155	60	215	34	42	173	135	6	157	39	36	25	118	31	38	177	222	66	15	15	224	51	113	87	8	26	44	40					
		16.88%	34.16%	32.58%	19.40%	19.88%	11.27%	18.11%	16.52%	13.27%	22.83%	26.01%	10.94%	32.12%	32.61%	21.97%	10.67%	14.35%	15.88%	15.12%	14.53%	18.58%	11.53%	18.58%	23.60%	17.02%	8.33%	17.16%	20.00%	18.37%	19.23%	20.52%	31.31%	27.94%	18.51%	12.44%	9.46%	5.73%	6.02%	17.62%	17.89%	14.02%	13.24%	3.81%	11.30%	17.74%	33.61%					
																																																				
24	Против всех	488	6	2	2	12	4	2	36	10	1	1	4	40	2	2	0	20	28	26	13	19	7	2	10	13	0	23	6	1	1	11	3	1	10	45	23	5	10	35	4	17	12	3	10	5	1					
		2.12%	1.35%	2.25%	2.99%	1.49%	1.96%	1.57%	2.68%	0.93%	0.79%	0.58%	3.12%	7.69%	2.17%	0.76%	0.00%	1.60%	1.81%	2.54%	3.15%	1.64%	2.37%	0.88%	1.36%	1.64%	0.00%	2.51%	3.08%	0.51%	0.77%	1.91%	3.03%	0.74%	1.05%	2.52%	3.30%	1.91%	4.02%	2.75%	1.40%	2.11%	1.83%	1.43%	4.35%	2.02%	0.84%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
