Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Колыванская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421					
12	Число выданных открепительных удостоверений	38	7	6	3	2	0	0	0	0	2	0	0	0	4	0	0	4	1	1	2	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	70	10	2	7	5	1	1	1	2	1	0	0	1	7	3	0	10	0	0	0	1	0	3	2	0	2	0	1	4	0	1	0	0	1	2	0	1	0	0	1					
14	Число неиспользованных открепительных удостоверений	247	13	9	12	18	5	5	10	3	8	5	9	7	6	5	3	6	2	2	8	5	5	9	3	3	5	5	10	6	3	10	5	5	3	5	4	9	3	3	10					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	265	37	26	27	21	5	1	17	1	14	4	14	5	26	1	0	11	0	0	7	3	12	5	0	0	3	0	3	0	0	17	2	0	0	0	0	3	0	0	0					
		2.23%	2.99%	2.80%	3.28%	2.03%	1.96%	0.63%	3.90%	0.87%	2.49%	1.38%	3.59%	2.12%	2.76%	0.54%	0.00%	1.62%	0.00%	0.00%	1.67%	2.78%	9.52%	1.64%	0.00%	0.00%	1.35%	0.00%	1.26%	0.00%	0.00%	3.46%	1.06%	0.00%	0.00%	0.00%	0.00%	1.12%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	282	18	27	17	23	4	1	17	0	20	13	8	5	14	2	0	11	4	2	9	3	7	4	1	0	1	0	8	7	0	9	8	1	6	14	2	14	0	0	2					
		2.37%	1.46%	2.90%	2.07%	2.22%	1.57%	0.63%	3.90%	0.00%	3.55%	4.50%	2.05%	2.12%	1.49%	1.08%	0.00%	1.62%	3.85%	1.98%	2.14%	2.78%	5.56%	1.31%	2.17%	0.00%	0.45%	0.00%	3.36%	3.61%	0.00%	1.83%	4.23%	2.38%	8.82%	17.28%	6.67%	5.24%	0.00%	0.00%	0.91%					
20	. Миронов Сергей Михайлович	68	7	2	4	6	0	1	1	0	1	1	2	7	2	2	0	3	0	0	1	0	1	2	0	0	0	2	1	4	2	2	1	0	3	1	0	7	0	0	2					
		0.57%	0.57%	0.22%	0.49%	0.58%	0.00%	0.63%	0.23%	0.00%	0.18%	0.35%	0.51%	2.97%	0.21%	1.08%	0.00%	0.44%	0.00%	0.00%	0.24%	0.00%	0.79%	0.66%	0.00%	0.00%	0.00%	1.46%	0.42%	2.06%	4.44%	0.41%	0.53%	0.00%	4.41%	1.23%	0.00%	2.62%	0.00%	0.00%	0.91%					
21	. Путин Владимир Владимирович	7206	793	579	539	628	171	99	270	90	288	197	208	128	595	102	38	375	79	76	233	76	85	214	39	28	90	85	136	103	24	280	129	17	37	51	23	140	33	34	94					
		60.57%	64.16%	62.26%	65.57%	60.56%	67.06%	62.26%	61.93%	78.26%	51.15%	68.17%	53.33%	54.24%	63.23%	55.14%	69.09%	55.15%	75.96%	75.25%	55.48%	70.37%	67.46%	70.16%	84.78%	80.00%	40.36%	62.04%	57.14%	53.09%	53.33%	57.03%	68.25%	40.48%	54.41%	62.96%	76.67%	52.43%	61.11%	77.27%	42.92%					
22	. Хакамада Ирина Муцуовна	236	35	18	13	27	8	9	19	0	11	2	13	0	13	6	2	8	3	1	6	5	2	6	0	0	4	2	1	3	3	4	3	0	0	1	0	3	0	0	5					
		1.98%	2.83%	1.94%	1.58%	2.60%	3.14%	5.66%	4.36%	0.00%	1.95%	0.69%	3.33%	0.00%	1.38%	3.24%	3.64%	1.18%	2.88%	0.99%	1.43%	4.63%	1.59%	1.97%	0.00%	0.00%	1.79%	1.46%	0.42%	1.55%	6.67%	0.81%	1.59%	0.00%	0.00%	1.23%	0.00%	1.12%	0.00%	0.00%	2.28%					
23	. Харитонов Николай Михайлович	3434	309	243	192	288	57	44	98	23	200	55	137	82	267	59	13	251	18	20	148	13	14	65	5	6	120	46	87	68	16	158	40	24	21	13	5	94	15	8	112					
		28.87%	25.00%	26.13%	23.36%	27.77%	22.35%	27.67%	22.48%	20.00%	35.52%	19.03%	35.13%	34.75%	28.37%	31.89%	23.64%	36.91%	17.31%	19.80%	35.24%	12.04%	11.11%	21.31%	10.87%	17.14%	53.81%	33.58%	36.55%	35.05%	35.56%	32.18%	21.16%	57.14%	30.88%	16.05%	16.67%	35.21%	27.78%	18.18%	51.14%					
																																														
24	Против всех	227	28	23	20	33	7	2	6	0	15	4	3	0	13	10	2	7	0	1	14	2	3	6	0	1	0	0	1	2	0	13	0	0	1	0	0	6	2	0	2					
		1.91%	2.27%	2.47%	2.43%	3.18%	2.75%	1.26%	1.38%	0.00%	2.66%	1.38%	0.77%	0.00%	1.38%	5.41%	3.64%	1.03%	0.00%	0.99%	3.33%	1.85%	2.38%	1.97%	0.00%	2.86%	0.00%	0.00%	0.42%	1.03%	0.00%	2.65%	0.00%	0.00%	1.47%	0.00%	0.00%	2.25%	3.70%	0.00%	0.91%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
