Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Колпашевский район																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №745	УИК №746	УИК №747	УИК №748					
15	"Число открепительных удостоверений, выданных в ТИК"	87	1	1	6	3	2	3	1	7	3	7	1	0	2	3	3	6	3	2	1	0	1	5	1	5	0	1	6	3	0	1	0	0	3	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																													
18	. Глазьев Сергей Юрьевич	739	32	19	27	21	24	30	33	29	26	25	8	20	18	32	24	21	5	13	13	13	11	20	27	43	12	1	36	15	0	1	0	10	8	2	3	8	12	9	9	14	3	24	1	3	1	0	0	8	5	3	0	12	0	5					
		3.10%	2.70%	4.23%	4.00%	2.77%	3.60%	5.03%	3.82%	3.82%	4.49%	4.17%	2.14%	3.50%	3.33%	4.19%	4.48%	2.75%	0.87%	2.90%	2.75%	2.19%	2.05%	3.68%	3.49%	6.04%	3.66%	0.74%	4.44%	2.67%	0.00%	0.82%	0.00%	3.26%	1.59%	1.09%	2.24%	2.23%	2.26%	7.69%	2.76%	2.49%	1.04%	2.33%	2.38%	1.45%	0.76%	0.00%	0.00%	1.58%	2.55%	2.52%	0.00%	6.56%	0.00%	3.33%					
19	. Малышкин Олег Александрович	698	27	14	19	12	22	8	13	11	23	25	9	17	12	14	17	17	8	13	11	13	18	17	17	20	11	4	28	22	5	7	3	14	16	5	2	12	24	4	9	31	8	43	10	3	1	7	3	18	5	7	3	5	3	8					
		2.92%	2.28%	3.12%	2.81%	1.58%	3.30%	1.34%	1.51%	1.45%	3.97%	4.17%	2.41%	2.98%	2.22%	1.83%	3.17%	2.23%	1.39%	2.90%	2.33%	2.19%	3.35%	3.12%	2.20%	2.81%	3.35%	2.94%	3.45%	3.92%	3.82%	5.74%	6.12%	4.56%	3.19%	2.73%	1.49%	3.34%	4.53%	3.42%	2.76%	5.52%	2.77%	4.17%	23.81%	1.45%	0.76%	9.21%	1.79%	3.55%	2.55%	5.88%	1.81%	2.73%	2.97%	5.33%					
20	. Миронов Сергей Михайлович	234	9	7	5	5	3	10	8	12	2	3	6	4	2	14	10	2	7	3	6	4	7	8	7	2	5	1	16	3	5	3	1	1	12	1	0	4	2	1	4	3	0	7	0	1	0	0	2	6	1	1	1	5	0	2					
		0.98%	0.76%	1.56%	0.74%	0.66%	0.45%	1.68%	0.93%	1.58%	0.35%	0.50%	1.60%	0.70%	0.37%	1.83%	1.87%	0.26%	1.22%	0.67%	1.27%	0.67%	1.30%	1.47%	0.91%	0.28%	1.52%	0.74%	1.97%	0.53%	3.82%	2.46%	2.04%	0.33%	2.39%	0.55%	0.00%	1.11%	0.38%	0.85%	1.23%	0.53%	0.00%	0.68%	0.00%	0.48%	0.00%	0.00%	1.19%	1.18%	0.51%	0.84%	0.60%	2.73%	0.00%	1.33%					
21	. Путин Владимир Владимирович	15931	817	288	435	467	468	374	504	477	337	384	244	356	377	491	349	518	373	291	312	422	370	346	505	479	230	95	548	393	88	72	33	227	365	143	112	246	379	80	244	373	210	736	26	156	101	37	135	330	125	58	99	115	83	108					
		66.76%	68.89%	64.14%	64.44%	61.61%	70.16%	62.65%	58.40%	62.76%	58.20%	64.00%	65.24%	62.35%	69.69%	64.27%	65.11%	67.80%	64.76%	64.96%	66.10%	71.16%	68.90%	63.60%	65.33%	67.28%	70.12%	69.85%	67.57%	70.05%	67.18%	59.02%	67.35%	73.94%	72.71%	78.14%	83.58%	68.52%	71.51%	68.38%	74.85%	66.37%	72.66%	71.39%	61.90%	75.36%	76.52%	48.68%	80.36%	65.09%	63.78%	48.74%	59.64%	62.84%	82.18%	72.00%					
22	. Хакамада Ирина Муцуовна	1222	73	29	43	50	41	42	69	38	30	52	19	38	28	39	37	44	32	24	31	30	18	16	39	29	12	8	38	22	5	7	2	11	29	8	2	5	13	4	11	23	7	52	0	7	2	5	5	22	4	8	2	10	4	3					
		5.12%	6.16%	6.46%	6.37%	6.60%	6.15%	7.04%	8.00%	5.00%	5.18%	8.67%	5.08%	6.65%	5.18%	5.10%	6.90%	5.76%	5.56%	5.36%	6.57%	5.06%	3.35%	2.94%	5.05%	4.07%	3.66%	5.88%	4.69%	3.92%	3.82%	5.74%	4.08%	3.58%	5.78%	4.37%	1.49%	1.39%	2.45%	3.42%	3.37%	4.09%	2.42%	5.04%	0.00%	3.38%	1.52%	6.58%	2.98%	4.34%	2.04%	6.72%	1.20%	5.46%	3.96%	2.00%					
23	. Харитонов Николай Михайлович	3772	166	74	117	145	58	91	174	160	123	80	59	106	75	130	74	130	122	71	78	89	95	106	126	117	38	17	108	73	23	24	4	31	54	17	11	68	85	15	34	84	43	106	0	28	23	20	15	113	44	38	51	23	1	15					
		15.81%	14.00%	16.48%	17.33%	19.13%	8.70%	15.24%	20.16%	21.05%	21.24%	13.33%	15.78%	18.56%	13.86%	17.02%	13.81%	17.02%	21.18%	15.85%	16.53%	15.01%	17.69%	19.49%	16.30%	16.43%	11.59%	12.50%	13.32%	13.01%	17.56%	19.67%	8.16%	10.10%	10.76%	9.29%	8.21%	18.94%	16.04%	12.82%	10.43%	14.95%	14.88%	10.28%	0.00%	13.53%	17.42%	26.32%	8.93%	22.29%	22.45%	31.93%	30.72%	12.57%	0.99%	10.00%					
																																																													
24	Против всех	1110	60	16	24	53	47	38	61	29	35	26	28	27	22	43	24	27	26	28	18	17	16	29	50	20	15	7	26	23	3	7	5	13	15	6	3	13	10	4	12	31	18	55	5	6	2	7	8	7	7	4	5	11	9	9					
		4.65%	5.06%	3.56%	3.56%	6.99%	7.05%	6.37%	7.07%	3.82%	6.04%	4.33%	7.49%	4.73%	4.07%	5.63%	4.48%	3.53%	4.51%	6.25%	3.81%	2.87%	2.98%	5.33%	6.47%	2.81%	4.57%	5.15%	3.21%	4.10%	2.29%	5.74%	10.20%	4.23%	2.99%	3.28%	2.24%	3.62%	1.89%	3.42%	3.68%	5.52%	6.23%	5.33%	11.90%	2.90%	1.52%	9.21%	4.76%	1.38%	3.57%	3.36%	3.01%	6.01%	8.91%	6.00%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
