Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Облученская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68					
		1.28%	1.29%	0.96%	0.27%	1.68%	3.36%	2.88%	0.63%	1.64%	1.01%	0.23%	0.00%	0.59%	0.72%	0.00%	1.01%	1.90%	0.72%	0.86%	1.55%	0.99%	1.46%	2.29%	1.04%	1.06%	0.93%	2.25%	0.55%	0.45%					
21	. Путин Владимир Владимирович	10093	385	271	493	650	504	231	311	319	736	328	72	144	226	70	340	541	611	148	626	715	389	118	210	515	249	454	300	137					
		63.20%	70.90%	65.14%	67.26%	64.29%	67.83%	60.47%	64.93%	65.50%	62.16%	75.06%	71.29%	84.71%	81.00%	79.55%	68.83%	60.58%	62.73%	63.52%	53.83%	50.75%	56.79%	67.43%	72.66%	68.30%	77.57%	60.13%	54.84%	61.16%					
22	. Хакамада Ирина Муцуовна	560	15	19	31	35	22	9	13	18	28	20	4	1	10	3	16	17	43	5	61	65	26	1	8	29	1	29	21	10					
		3.51%	2.76%	4.57%	4.23%	3.46%	2.96%	2.36%	2.71%	3.70%	2.36%	4.58%	3.96%	0.59%	3.58%	3.41%	3.24%	1.90%	4.41%	2.15%	5.25%	4.61%	3.80%	0.57%	2.77%	3.85%	0.31%	3.84%	3.84%	4.46%					
23	. Харитонов Николай Михайлович	2913	48	61	108	165	91	78	94	73	274	47	13	7	22	8	72	219	219	46	233	353	126	26	44	78	44	163	169	32					
		18.24%	8.84%	14.66%	14.73%	16.32%	12.25%	20.42%	19.62%	14.99%	23.14%	10.76%	12.87%	4.12%	7.89%	9.09%	14.57%	24.52%	22.48%	19.74%	20.03%	25.05%	18.39%	14.86%	15.22%	10.34%	13.71%	21.59%	30.90%	14.29%					
																																			
24	Против всех	714	26	21	36	54	31	18	12	19	32	9	4	3	2	3	18	30	40	10	64	111	47	8	3	49	6	29	14	15					
		4.47%	4.79%	5.05%	4.91%	5.34%	4.17%	4.71%	2.51%	3.90%	2.70%	2.06%	3.96%	1.76%	0.72%	3.41%	3.64%	3.36%	4.11%	4.29%	5.50%	7.88%	6.86%	4.57%	1.04%	6.50%	1.87%	3.84%	2.56%	6.70%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
