Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Аургазинская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809					
21	. Путин Владимир Владимирович	26163	459	765	409	378	778	359	615	623	166	803	419	601	675	261	156	226	546	656	531	515	305	391	555	508	193	102	264	654	516	154	706	1045	2037	2218	1340	537	216	516	213	326	530	285	655	391	247	224	607	97	390					
		98.04%	99.78%	97.70%	98.79%	97.17%	97.86%	100.00%	100.00%	100.00%	99.40%	99.01%	98.13%	98.85%	97.12%	97.75%	98.11%	99.56%	97.85%	97.91%	99.07%	99.04%	98.71%	98.99%	99.11%	99.03%	98.97%	100.00%	97.42%	97.47%	99.04%	100.00%	99.16%	98.31%	97.00%	95.36%	95.37%	98.17%	97.30%	99.81%	99.07%	99.39%	97.97%	95.96%	98.94%	98.74%	98.80%	99.56%	99.02%	97.98%	98.98%					
22	. Хакамада Ирина Муцуовна	53	0	1	0	1	2	0	0	0	1	0	2	1	6	0	1	0	0	2	1	0	2	0	0	2	0	0	0	4	0	0	0	3	3	9	6	0	0	1	0	0	2	1	0	0	0	0	1	0	1					
		0.20%	0.00%	0.13%	0.00%	0.26%	0.25%	0.00%	0.00%	0.00%	0.60%	0.00%	0.47%	0.16%	0.86%	0.00%	0.63%	0.00%	0.00%	0.30%	0.19%	0.00%	0.65%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.28%	0.14%	0.39%	0.43%	0.00%	0.00%	0.19%	0.00%	0.00%	0.37%	0.34%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.25%					
23	. Харитонов Николай Михайлович	295	1	10	0	5	9	0	0	0	0	8	4	5	10	5	2	1	6	10	3	5	2	4	5	2	0	0	3	7	2	0	0	6	33	57	42	8	6	0	1	1	8	9	0	3	3	0	4	2	3					
		1.11%	0.22%	1.28%	0.00%	1.29%	1.13%	0.00%	0.00%	0.00%	0.00%	0.99%	0.94%	0.82%	1.44%	1.87%	1.26%	0.44%	1.08%	1.49%	0.56%	0.96%	0.65%	1.01%	0.89%	0.39%	0.00%	0.00%	1.11%	1.04%	0.38%	0.00%	0.00%	0.56%	1.57%	2.45%	2.99%	1.46%	2.70%	0.00%	0.47%	0.30%	1.48%	3.03%	0.00%	0.76%	1.20%	0.00%	0.65%	2.02%	0.76%					
																																																								
24	Против всех	47	0	0	5	1	1	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	4	3	0	0	6	2	14	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0					
		0.18%	0.00%	0.00%	1.21%	0.26%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	1.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.48%	0.45%	0.00%	0.00%	0.84%	0.19%	0.67%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
