Выборы Президента Российской Федерации																																													
																																													
"Наименование Избирательной комиссии:    Ульяновск, Железнодорожная"																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803					
		2.94%	1.80%	3.36%	3.46%	3.00%	5.17%	6.01%	2.09%	4.29%	2.62%	3.68%	3.04%	1.97%	2.77%	2.01%	3.19%	1.55%	3.12%	2.26%	3.57%	3.11%	2.14%	2.77%	2.50%	2.89%	2.56%	3.61%	3.39%	2.79%	4.29%	2.08%	1.83%	1.43%	0.68%	2.52%	0.76%	1.98%	2.27%	2.04%					
23	. Харитонов Николай Михайлович	7531	98	181	190	278	289	275	208	273	206	116	255	125	211	250	89	218	259	337	240	211	283	154	254	255	207	227	259	181	232	83	61	150	85	143	19	177	318	134					
		18.27%	17.63%	11.26%	18.79%	19.84%	18.43%	16.86%	22.83%	22.09%	20.00%	18.56%	20.40%	16.45%	21.66%	17.31%	15.78%	17.83%	21.30%	21.76%	17.47%	18.24%	20.21%	14.21%	16.27%	18.42%	15.14%	15.46%	19.11%	21.97%	22.14%	15.72%	11.17%	11.91%	19.32%	25.72%	14.39%	17.54%	25.75%	14.36%					
																																													
24	Против всех	1518	19	138	47	60	74	83	35	40	32	21	48	27	41	51	19	52	33	47	40	34	37	33	57	47	56	40	47	32	45	12	8	37	12	16	1	24	30	43					
		3.68%	3.42%	8.58%	4.65%	4.28%	4.72%	5.09%	3.84%	3.24%	3.11%	3.36%	3.84%	3.55%	4.21%	3.53%	3.37%	4.25%	2.71%	3.03%	2.91%	2.94%	2.64%	3.04%	3.65%	3.40%	4.10%	2.72%	3.47%	3.88%	4.29%	2.27%	1.47%	2.94%	2.73%	2.88%	0.76%	2.38%	2.43%	4.61%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
