Выборы Президента Российской Федерации																																																													
																																																													
"Наименование Избирательной комиссии:    Владивосток, Советская"																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №332	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1852	УИК №1853					
18	. Глазьев Сергей Юрьевич	3442	40	62	86	66	67	61	80	80	61	72	16	17	62	23	35	80	45	22	36	15	69	49	98	110	113	106	107	92	129	97	94	115	97	65	136	47	106	119	115	86	73	41	128	105	23	8	38	2	10	12	10	7	6	3					
		6.71%	12.01%	5.15%	6.74%	6.88%	6.27%	5.75%	5.87%	7.48%	7.95%	5.43%	5.61%	2.74%	6.62%	1.50%	3.53%	6.67%	7.39%	4.12%	10.00%	2.73%	4.57%	8.93%	6.86%	8.81%	8.19%	7.09%	7.86%	6.73%	9.03%	6.37%	6.77%	8.52%	6.64%	7.28%	8.08%	6.33%	9.30%	9.22%	7.21%	8.36%	5.22%	4.64%	7.63%	6.60%	7.10%	9.30%	10.30%	1.83%	3.36%	6.86%	6.33%	4.19%	7.41%	5.88%					
19	. Малышкин Олег Александрович	1902	23	56	45	45	45	49	59	53	34	54	14	21	37	54	22	49	25	33	15	19	42	18	77	43	54	38	47	56	42	46	48	50	35	35	49	34	28	37	59	46	56	31	56	52	11	4	10	2	19	10	3	8	4	0					
		3.71%	6.91%	4.66%	3.53%	4.69%	4.21%	4.62%	4.33%	4.95%	4.43%	4.07%	4.91%	3.38%	3.95%	3.53%	2.22%	4.09%	4.11%	6.18%	4.17%	3.45%	2.78%	3.28%	5.39%	3.44%	3.92%	2.54%	3.45%	4.09%	2.94%	3.02%	3.46%	3.70%	2.40%	3.92%	2.91%	4.58%	2.46%	2.87%	3.70%	4.47%	4.01%	3.51%	3.34%	3.27%	3.40%	4.65%	2.71%	1.83%	6.38%	5.71%	1.90%	4.79%	4.94%	0.00%					
20	. Миронов Сергей Михайлович	447	3	11	7	13	12	11	13	8	10	10	3	5	10	12	2	7	4	5	4	12	9	3	12	21	11	12	13	13	11	5	13	14	14	6	14	11	14	12	11	4	10	5	11	14	2	1	3	2	8	4	1	1	0	0					
		0.87%	0.90%	0.91%	0.55%	1.36%	1.12%	1.04%	0.95%	0.75%	1.30%	0.75%	1.05%	0.81%	1.07%	0.78%	0.20%	0.58%	0.66%	0.94%	1.11%	2.18%	0.60%	0.55%	0.84%	1.68%	0.80%	0.80%	0.95%	0.95%	0.77%	0.33%	0.94%	1.04%	0.96%	0.67%	0.83%	1.48%	1.23%	0.93%	0.69%	0.39%	0.72%	0.57%	0.66%	0.88%	0.62%	1.16%	0.81%	1.83%	2.68%	2.29%	0.63%	0.60%	0.00%	0.00%					
21	. Путин Владимир Владимирович	29803	178	725	759	494	631	660	787	583	428	908	163	429	597	1072	729	727	362	313	177	324	1082	335	755	675	723	898	700	790	758	933	760	703	896	498	833	393	603	671	929	550	851	565	895	877	191	45	206	82	184	99	98	111	35	33					
		58.12%	53.45%	60.27%	59.48%	51.51%	59.03%	62.21%	57.78%	54.49%	55.80%	68.43%	57.19%	69.08%	63.78%	70.07%	73.49%	60.63%	59.44%	58.61%	49.17%	58.91%	71.61%	61.02%	52.87%	54.04%	52.43%	60.03%	51.40%	57.75%	53.04%	61.30%	54.72%	52.07%	61.37%	55.77%	49.49%	52.89%	52.89%	51.98%	58.28%	53.45%	60.87%	63.99%	53.37%	55.16%	58.95%	52.33%	55.83%	75.23%	61.74%	56.57%	62.03%	66.47%	43.21%	64.71%					
22	. Хакамада Ирина Муцуовна	4026	17	65	72	73	73	45	95	100	48	63	32	53	68	90	55	64	51	30	20	19	110	28	174	108	144	108	180	106	148	105	123	117	128	91	154	78	98	106	129	86	138	75	133	141	23	3	18	5	7	11	11	3	1	3					
		7.85%	5.11%	5.40%	5.64%	7.61%	6.83%	4.24%	6.98%	9.35%	6.26%	4.75%	11.23%	8.53%	7.26%	5.88%	5.54%	5.34%	8.37%	5.62%	5.56%	3.45%	7.28%	5.10%	12.18%	8.65%	10.44%	7.22%	13.22%	7.75%	10.36%	6.90%	8.86%	8.67%	8.77%	10.19%	9.15%	10.50%	8.60%	8.21%	8.09%	8.36%	9.87%	8.49%	7.93%	8.87%	7.10%	3.49%	4.88%	4.59%	2.35%	6.29%	6.96%	1.80%	1.23%	5.88%					
23	. Харитонов Николай Михайлович	7572	51	189	182	199	138	159	219	165	125	126	45	41	73	199	112	211	82	89	85	126	127	66	177	150	227	205	196	225	226	230	233	249	160	113	364	133	195	244	212	169	131	82	295	268	43	23	56	6	33	23	28	27	32	8					
		14.77%	15.32%	15.71%	14.26%	20.75%	12.91%	14.99%	16.08%	15.42%	16.30%	9.50%	15.79%	6.60%	7.80%	13.01%	11.29%	17.60%	13.46%	16.67%	23.61%	22.91%	8.41%	12.02%	12.39%	12.01%	16.46%	13.70%	14.39%	16.45%	15.82%	15.11%	16.77%	18.44%	10.96%	12.65%	21.63%	17.90%	17.11%	18.90%	13.30%	16.42%	9.37%	9.29%	17.59%	16.86%	13.27%	26.74%	15.18%	5.50%	11.07%	13.14%	17.72%	16.17%	39.51%	15.69%					
																																																													
24	Против всех	3675	19	75	107	51	85	55	103	70	59	86	11	49	80	75	35	54	33	41	17	19	68	49	129	140	102	120	114	81	102	88	110	91	118	78	123	47	92	92	127	86	127	81	137	124	29	2	29	8	25	12	5	8	3	4					
		7.17%	5.71%	6.23%	8.39%	5.32%	7.95%	5.18%	7.56%	6.54%	7.69%	6.48%	3.86%	7.89%	8.55%	4.90%	3.53%	4.50%	5.42%	7.68%	4.72%	3.45%	4.50%	8.93%	9.03%	11.21%	7.40%	8.02%	8.37%	5.92%	7.14%	5.78%	7.92%	6.74%	8.08%	8.73%	7.31%	6.33%	8.07%	7.13%	7.97%	8.36%	9.08%	9.17%	8.17%	7.80%	8.95%	2.33%	7.86%	7.34%	8.39%	6.86%	3.16%	4.79%	3.70%	7.84%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
