Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Бейская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235					
		26.26%	32.37%	56.60%	33.02%	35.06%	17.22%	30.67%	20.57%	11.89%	21.11%	23.67%	26.94%	23.64%	28.00%	15.67%	8.33%	18.37%	18.29%	16.80%	23.53%	28.32%	31.58%	27.56%	26.27%	20.78%	31.75%	24.90%	55.07%					
																																		
24	Против всех	276	6	1	2	28	4	2	12	5	4	62	26	26	1	5	2	2	2	1	17	18	12	9	4	0	19	6	0					
		3.05%	1.92%	0.63%	1.89%	3.72%	2.65%	1.23%	1.82%	2.20%	2.22%	5.60%	4.70%	5.25%	1.33%	1.67%	1.67%	1.36%	1.14%	0.80%	4.76%	2.60%	2.43%	1.77%	1.13%	0.00%	4.50%	2.30%	0.00%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
