Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Залесовская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	292	6	12	22	3	2	10	0	43	31	37	34	11	5	13	10	3	2	3	19	12	1	13	0					
		3.24%	1.72%	6.38%	4.37%	3.41%	1.49%	2.67%	0.00%	5.62%	4.11%	3.54%	3.17%	3.81%	3.52%	2.50%	1.72%	1.94%	0.59%	1.84%	3.27%	7.50%	0.92%	2.27%	0.00%					
19	. Малышкин Олег Александрович	376	31	9	17	5	2	29	4	20	21	28	36	16	8	13	23	7	16	3	31	14	0	40	3					
		4.18%	8.88%	4.79%	3.38%	5.68%	1.49%	7.73%	6.25%	2.61%	2.79%	2.68%	3.36%	5.54%	5.63%	2.50%	3.97%	4.52%	4.75%	1.84%	5.34%	8.75%	0.00%	6.98%	5.66%					
20	. Миронов Сергей Михайлович	61	9	1	10	1	1	1	0	8	2	2	2	2	3	3	3	0	2	0	1	1	0	7	2					
		0.68%	2.58%	0.53%	1.99%	1.14%	0.75%	0.27%	0.00%	1.05%	0.27%	0.19%	0.19%	0.69%	2.11%	0.58%	0.52%	0.00%	0.59%	0.00%	0.17%	0.62%	0.00%	1.22%	3.77%					
21	. Путин Владимир Владимирович	5852	178	110	253	48	82	212	53	515	508	717	780	202	87	374	405	113	247	134	370	88	68	287	21					
		65.02%	51.00%	58.51%	50.30%	54.55%	61.19%	56.53%	82.81%	67.32%	67.37%	68.55%	72.83%	69.90%	61.27%	71.79%	69.83%	72.90%	73.29%	82.21%	63.68%	55.00%	62.39%	50.09%	39.62%					
22	. Хакамада Ирина Муцуовна	132	4	4	11	1	3	3	2	16	8	12	18	3	2	3	3	1	5	2	17	3	0	10	1					
		1.47%	1.15%	2.13%	2.19%	1.14%	2.24%	0.80%	3.12%	2.09%	1.06%	1.15%	1.68%	1.04%	1.41%	0.58%	0.52%	0.65%	1.48%	1.23%	2.93%	1.88%	0.00%	1.75%	1.89%					
23	. Харитонов Николай Михайлович	2046	115	46	174	28	38	106	5	144	161	221	179	51	36	102	118	29	55	16	128	39	36	197	22					
		22.73%	32.95%	24.47%	34.59%	31.82%	28.36%	28.27%	7.81%	18.82%	21.35%	21.13%	16.71%	17.65%	25.35%	19.58%	20.34%	18.71%	16.32%	9.82%	22.03%	24.38%	33.03%	34.38%	41.51%					
																														
24	Против всех	135	3	0	9	2	2	6	0	13	21	22	8	4	1	4	5	1	7	4	6	1	2	12	2					
		1.50%	0.86%	0.00%	1.79%	2.27%	1.49%	1.60%	0.00%	1.70%	2.79%	2.10%	0.75%	1.38%	0.70%	0.77%	0.86%	0.65%	2.08%	2.45%	1.03%	0.62%	1.83%	2.09%	3.77%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
