Выборы Президента Российской Федерации																																																																																																
																																																																																																
Наименование Избирательной комиссии:    Василеостровская №2																																																																																																
																																																																																																
Итоги голосования 																																																																																																
																																																																																																
		Сумма	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818					
19	. Малышкин Олег Александрович	590	9	30	9	8	5	10	7	6	11	8	3	7	18	5	8	6	8	7	6	13	9	11	6	15	6	7	11	7	5	6	5	12	15	6	9	4	6	5	6	11	3	6	5	7	8	7	4	4	5	9	10	1	11	6	9	9	10	6	6	6	7	12	10	3	3	11	6	3	5	5	5	7	3	11	9	0	0	0	5	1	2	0	0	0	0	3	0	0	1					
		0.69%	0.88%	1.78%	0.83%	0.81%	0.48%	0.87%	0.72%	0.67%	0.97%	0.74%	0.33%	0.58%	1.48%	0.54%	0.77%	0.72%	0.64%	0.55%	0.59%	1.11%	0.94%	1.22%	0.57%	1.49%	0.57%	0.75%	1.11%	0.71%	0.38%	0.49%	0.39%	1.06%	1.34%	0.65%	1.20%	0.46%	0.51%	0.45%	0.53%	0.88%	0.25%	0.79%	0.50%	0.64%	0.62%	0.45%	0.28%	0.28%	0.41%	0.62%	0.76%	0.16%	0.92%	0.57%	0.92%	0.76%	0.90%	0.49%	0.52%	0.67%	0.57%	0.91%	0.73%	0.44%	0.44%	0.82%	0.49%	0.24%	0.38%	0.49%	0.38%	0.59%	0.23%	0.86%	0.69%	0.00%	0.00%	0.00%	6.17%	3.23%	0.35%	0.00%	0.00%	0.00%	0.00%	7.50%	0.00%	0.00%	4.35%					
20	. Миронов Сергей Михайлович	1226	21	33	11	17	15	15	10	8	17	15	15	12	12	20	15	10	18	13	22	19	21	8	12	22	13	11	14	12	24	22	14	13	16	11	11	14	24	15	16	11	15	13	18	10	23	21	24	23	12	18	12	8	12	6	18	16	15	22	23	13	10	25	25	8	8	29	16	24	18	14	19	24	16	13	15	0	0	0	2	0	9	0	0	0	1	0	0	5	1					
		1.44%	2.05%	1.96%	1.01%	1.73%	1.44%	1.31%	1.03%	0.90%	1.51%	1.39%	1.67%	0.99%	0.99%	2.17%	1.44%	1.19%	1.44%	1.02%	2.18%	1.62%	2.19%	0.88%	1.13%	2.18%	1.24%	1.18%	1.41%	1.22%	1.81%	1.79%	1.09%	1.15%	1.43%	1.19%	1.47%	1.61%	2.05%	1.35%	1.42%	0.88%	1.27%	1.71%	1.79%	0.91%	1.79%	1.34%	1.65%	1.61%	0.98%	1.23%	0.91%	1.27%	1.00%	0.57%	1.85%	1.35%	1.34%	1.78%	1.99%	1.44%	0.81%	1.89%	1.84%	1.17%	1.19%	2.17%	1.32%	1.93%	1.38%	1.37%	1.45%	2.02%	1.22%	1.02%	1.14%	0.00%	0.00%	0.00%	2.47%	0.00%	1.56%	0.00%	0.00%	0.00%	3.70%	0.00%	0.00%	3.82%	4.35%					
21	. Путин Владимир Владимирович	62399	721	1272	787	725	801	840	747	657	850	805	636	909	944	696	786	625	900	944	752	877	683	667	804	779	757	717	784	749	965	872	904	800	796	660	540	675	828	773	849	915	881	537	690	859	881	1112	1043	1106	857	1005	956	474	890	764	792	844	822	908	773	645	928	924	979	553	493	963	871	863	907	752	956	914	899	930	1068	21	9	43	52	30	379	48	19	11	18	17	12	91	19					
		73.24%	70.55%	75.53%	72.20%	73.68%	76.80%	73.43%	76.85%	73.82%	75.29%	74.33%	70.82%	75.31%	77.70%	75.65%	75.29%	74.67%	71.94%	73.92%	74.38%	74.89%	71.07%	73.70%	75.92%	77.21%	72.44%	77.10%	79.03%	76.12%	72.83%	71.13%	70.30%	70.55%	71.13%	71.66%	72.29%	77.50%	70.59%	69.64%	75.27%	73.20%	74.41%	70.57%	68.73%	78.45%	68.72%	71.19%	71.78%	77.56%	70.02%	68.79%	72.64%	75.24%	74.10%	72.21%	81.23%	71.10%	73.66%	73.40%	66.87%	71.51%	75.08%	69.89%	71.93%	80.61%	73.04%	72.03%	71.63%	69.37%	69.56%	73.51%	73.09%	76.74%	68.42%	72.71%	81.46%	65.62%	100.00%	87.76%	64.20%	96.77%	65.80%	76.19%	61.29%	91.67%	66.67%	42.50%	92.31%	69.47%	82.61%					
22	. Хакамада Ирина Муцуовна	7332	123	111	124	87	101	122	71	73	107	92	96	91	86	40	60	75	125	142	95	114	97	80	83	64	91	69	77	84	132	137	113	121	97	82	63	70	100	137	88	93	89	82	101	73	136	140	139	96	100	111	107	36	82	78	40	103	105	84	92	60	82	109	107	49	58	94	123	152	168	82	125	86	150	95	59	5	0	1	6	0	105	1	1	0	0	4	0	3	0					
		8.61%	12.04%	6.59%	11.38%	8.84%	9.68%	10.66%	7.30%	8.20%	9.48%	8.49%	10.69%	7.54%	7.08%	4.35%	5.75%	8.96%	9.99%	11.12%	9.40%	9.74%	10.09%	8.84%	7.84%	6.34%	8.71%	7.42%	7.76%	8.54%	9.96%	11.17%	8.79%	10.67%	8.67%	8.90%	8.43%	8.04%	8.53%	12.34%	7.80%	7.44%	7.52%	10.78%	10.06%	6.67%	10.61%	8.96%	9.57%	6.73%	8.17%	7.60%	8.13%	5.71%	6.83%	7.37%	4.10%	8.68%	9.41%	6.79%	7.96%	6.65%	6.63%	8.25%	7.86%	7.14%	8.59%	7.03%	10.12%	12.22%	12.88%	8.02%	9.56%	7.22%	11.42%	7.43%	4.50%	15.62%	0.00%	2.04%	7.41%	0.00%	18.23%	1.59%	3.23%	0.00%	0.00%	10.00%	0.00%	2.29%	0.00%					
23	. Харитонов Николай Михайлович	5880	59	82	59	47	33	56	40	55	55	77	74	75	54	69	71	47	80	60	54	50	58	52	71	58	63	43	48	46	87	89	119	91	63	75	50	36	90	78	80	99	90	67	95	67	97	122	106	66	116	152	115	55	88	86	25	100	70	94	135	90	119	126	120	32	59	114	89	101	91	84	95	64	129	116	81	0	0	0	7	0	8	3	0	0	2	8	0	3	0					
		6.90%	5.77%	4.87%	5.41%	4.78%	3.16%	4.90%	4.12%	6.18%	4.87%	7.11%	8.24%	6.21%	4.44%	7.50%	6.80%	5.62%	6.39%	4.70%	5.34%	4.27%	6.04%	5.75%	6.70%	5.75%	6.03%	4.62%	4.84%	4.67%	6.57%	7.26%	9.25%	8.02%	5.63%	8.14%	6.69%	4.13%	7.67%	7.03%	7.09%	7.92%	7.60%	8.80%	9.46%	6.12%	7.57%	7.81%	7.30%	4.63%	9.48%	10.40%	8.74%	8.73%	7.33%	8.13%	2.56%	8.42%	6.27%	7.60%	11.68%	9.98%	9.63%	9.53%	8.82%	4.66%	8.74%	8.53%	7.32%	8.12%	6.98%	8.21%	7.26%	5.37%	9.82%	9.07%	6.18%	0.00%	0.00%	0.00%	8.64%	0.00%	1.39%	4.76%	0.00%	0.00%	7.41%	20.00%	0.00%	2.29%	0.00%					
