Выборы Президента Российской Федерации																																																																											
																																																																											
Наименование Избирательной комиссии:    Минераловодская																																																																											
																																																																											
Итоги голосования 																																																																											
																																																																											
		Сумма	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794					
11	Число полученных открепительных  удостоверений	782	5	5	15	10	10	10	15	15	15	10	15	15	10	10	15	15	13	15	30	15	15	15	10	10	10	10	10	10	10	0	0	0	5	15	15	21	10	5	15	5	5	20	5	5	75	5	15	10	28	10	15	10	15	5	10	15	5	10	10	5	10	10	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	434	2	2	2	3	3	0	5	3	12	2	13	4	7	5	10	5	11	11	17	10	8	14	5	7	4	3	4	9	5	0	0	0	0	7	6	18	7	2	6	0	0	13	0	0	75	1	10	1	27	7	11	1	7	1	10	5	0	3	8	4	8	7	0	0	0	1	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	288	4	10	3	3	3	1	5	6	10	1	11	11	7	7	9	7	2	4	6	3	5	9	6	5	3	7	6	4	4	6	0	4	2	7	3	4	6	1	8	2	0	3	0	4	4	8	2	1	7	13	3	1	5	0	0	4	12	3	2	3	2	3	0	1	0	1	1	0					
14	Число неиспользованных открепительных удостоверений	348	3	3	13	7	7	10	10	12	3	8	2	11	3	5	5	10	2	4	13	5	7	1	5	3	6	7	6	1	5	0	0	0	5	8	9	3	3	3	9	5	5	7	5	5	0	4	5	9	1	3	4	9	8	4	0	10	5	7	2	1	2	3	5	5	5	4	3	5					
15	"Число открепительных удостоверений, выданных в ТИК"	14	0	2	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																											
18	. Глазьев Сергей Юрьевич	1979	10	15	37	39	32	31	42	45	67	30	39	73	41	27	73	42	38	66	53	88	46	64	30	26	42	16	30	47	32	7	1	4	14	32	47	46	37	8	55	14	5	37	1	4	12	12	15	10	62	41	43	12	47	5	28	25	4	30	17	8	22	15	0	0	1	12	22	3					
		3.75%	2.31%	3.95%	3.47%	4.60%	4.30%	5.66%	3.84%	3.52%	5.85%	4.18%	3.44%	5.64%	4.04%	4.14%	5.90%	3.56%	4.19%	5.89%	4.51%	7.08%	3.87%	4.81%	4.55%	3.99%	3.89%	3.04%	4.19%	4.57%	5.04%	6.36%	1.52%	5.00%	2.80%	2.66%	3.77%	3.56%	3.59%	1.59%	3.99%	2.33%	1.25%	3.44%	0.47%	1.77%	1.70%	2.97%	1.44%	1.67%	6.62%	4.45%	3.87%	1.67%	4.31%	2.27%	2.63%	1.82%	2.78%	3.87%	1.86%	1.55%	3.01%	1.62%	0.00%	0.00%	0.97%	2.94%	4.47%	1.28%					
19	. Малышкин Олег Александрович	1377	13	13	19	19	25	13	40	27	38	10	25	36	24	19	37	22	15	25	30	29	25	30	23	19	34	12	22	20	14	3	2	3	24	43	38	34	30	17	34	20	6	41	6	7	32	6	25	6	27	25	35	13	26	5	16	9	6	23	35	13	19	22	12	2	0	12	16	6					
		2.61%	3.01%	3.42%	1.78%	2.24%	3.36%	2.37%	3.65%	2.11%	3.32%	1.39%	2.20%	2.78%	2.37%	2.91%	2.99%	1.87%	1.65%	2.23%	2.56%	2.33%	2.10%	2.25%	3.48%	2.92%	3.15%	2.28%	3.07%	1.94%	2.20%	2.73%	3.03%	3.75%	4.80%	3.58%	3.04%	2.63%	2.91%	3.39%	2.46%	3.33%	1.50%	3.81%	2.84%	3.10%	4.53%	1.49%	2.41%	1.00%	2.88%	2.71%	3.15%	1.81%	2.39%	2.27%	1.50%	0.66%	4.17%	2.96%	3.82%	2.52%	2.60%	2.38%	4.92%	2.22%	0.00%	2.94%	3.25%	2.55%					
20	. Миронов Сергей Михайлович	412	7	3	10	3	6	4	14	6	10	10	9	12	5	6	5	11	1	6	9	14	5	5	4	7	16	6	3	12	9	1	0	1	4	11	11	7	12	4	8	4	3	6	1	1	6	5	5	3	7	6	10	7	12	0	3	8	0	9	4	6	7	9	5	0	0	2	4	2					
		0.78%	1.62%	0.79%	0.94%	0.35%	0.81%	0.73%	1.28%	0.47%	0.87%	1.39%	0.79%	0.93%	0.49%	0.92%	0.40%	0.93%	0.11%	0.54%	0.77%	1.13%	0.42%	0.38%	0.61%	1.08%	1.48%	1.14%	0.42%	1.17%	1.42%	0.91%	0.00%	1.25%	0.80%	0.92%	0.88%	0.54%	1.17%	0.80%	0.58%	0.67%	0.75%	0.56%	0.47%	0.44%	0.85%	1.24%	0.48%	0.50%	0.75%	0.65%	0.90%	0.97%	1.10%	0.00%	0.28%	0.58%	0.00%	1.16%	0.44%	1.16%	0.96%	0.97%	2.05%	0.00%	0.00%	0.49%	0.81%	0.85%					
21	. Путин Владимир Владимирович	33356	281	213	658	579	426	362	696	850	688	381	718	786	629	407	777	772	595	686	698	756	769	895	440	401	672	326	465	632	389	76	51	56	346	761	876	847	639	339	856	374	217	650	150	163	486	196	650	316	646	552	722	498	681	154	725	863	94	473	652	342	408	552	132	64	95	222	325	160					
		63.28%	65.05%	56.05%	61.73%	68.28%	57.18%	66.06%	63.56%	66.46%	60.03%	53.14%	63.26%	60.74%	62.03%	62.42%	62.76%	65.48%	65.53%	61.25%	59.45%	60.82%	64.73%	67.24%	66.67%	61.60%	62.22%	61.98%	64.94%	61.42%	61.26%	69.09%	77.27%	70.00%	69.20%	63.31%	70.19%	65.56%	62.04%	67.53%	62.03%	62.33%	54.25%	60.41%	71.09%	72.12%	68.84%	48.51%	62.56%	52.67%	69.02%	59.93%	64.99%	69.26%	62.48%	70.00%	68.08%	62.95%	65.28%	60.95%	71.18%	66.28%	55.89%	59.61%	54.10%	71.11%	92.23%	54.41%	66.06%	68.09%					
22	. Хакамада Ирина Муцуовна	1376	5	11	18	14	33	12	25	39	32	26	29	42	26	25	47	41	17	37	28	38	36	58	14	20	49	16	17	30	14	0	2	4	12	25	28	29	23	8	32	17	5	31	5	4	11	14	27	8	29	36	29	11	61	5	14	21	10	7	15	7	15	8	2	1	0	6	8	7					
		2.61%	1.16%	2.89%	1.69%	1.65%	4.43%	2.19%	2.28%	3.05%	2.79%	3.63%	2.56%	3.25%	2.56%	3.83%	3.80%	3.48%	1.87%	3.30%	2.39%	3.06%	3.03%	4.36%	2.12%	3.07%	4.54%	3.04%	2.37%	2.92%	2.20%	0.00%	3.03%	5.00%	2.40%	2.08%	2.24%	2.24%	2.23%	1.59%	2.32%	2.83%	1.25%	2.88%	2.37%	1.77%	1.56%	3.47%	2.60%	1.33%	3.10%	3.91%	2.61%	1.53%	5.60%	2.27%	1.31%	1.53%	6.94%	0.90%	1.64%	1.36%	2.05%	0.86%	0.82%	1.11%	0.00%	1.47%	1.63%	2.98%					
23	. Харитонов Николай Михайлович	11748	91	110	272	164	190	100	232	259	256	170	268	272	244	141	230	245	194	255	291	266	253	192	128	156	210	135	155	225	138	16	5	10	82	275	197	263	240	98	337	140	143	265	38	44	143	112	294	244	120	215	226	152	205	39	233	393	21	198	161	115	219	283	88	17	5	135	97	38					
		22.29%	21.06%	28.95%	25.52%	19.34%	25.50%	18.25%	21.19%	20.25%	22.34%	23.71%	23.61%	21.02%	24.06%	21.63%	18.58%	20.78%	21.37%	22.77%	24.79%	21.40%	21.30%	14.43%	19.39%	23.96%	19.44%	25.67%	21.65%	21.87%	21.73%	14.55%	7.58%	12.50%	16.40%	22.88%	15.79%	20.36%	23.30%	19.52%	24.42%	23.33%	35.75%	24.63%	18.01%	19.47%	20.25%	27.72%	28.30%	40.67%	12.82%	23.34%	20.34%	21.14%	18.81%	17.73%	21.88%	28.67%	14.58%	25.52%	17.58%	22.29%	30.00%	30.56%	36.07%	18.89%	4.85%	33.09%	19.72%	16.17%					
																																																																											
24	Против всех	2042	23	13	38	30	30	23	44	47	54	63	40	63	40	24	61	38	36	45	56	44	50	79	18	21	46	12	20	57	39	5	5	2	17	52	49	46	39	20	50	22	21	43	5	2	13	4	20	8	39	37	42	26	50	12	37	26	8	24	25	19	39	26	2	6	2	13	16	16					
		3.87%	5.32%	3.42%	3.56%	3.54%	4.03%	4.20%	4.02%	3.67%	4.71%	8.79%	3.52%	4.87%	3.94%	3.68%	4.93%	3.22%	3.96%	4.02%	4.77%	3.54%	4.21%	5.94%	2.73%	3.23%	4.26%	2.28%	2.79%	5.54%	6.14%	4.55%	7.58%	2.50%	3.40%	4.33%	3.93%	3.56%	3.79%	3.98%	3.62%	3.67%	5.25%	4.00%	2.37%	0.88%	1.84%	0.99%	1.92%	1.33%	4.17%	4.02%	3.78%	3.62%	4.59%	5.45%	3.47%	1.90%	5.56%	3.09%	2.73%	3.68%	5.34%	2.81%	0.82%	6.67%	1.94%	3.19%	3.25%	6.81%					
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
