Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Городищенская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК  755	УИК  756	УИК  757	УИК  758	УИК  759	УИК  760	УИК  761	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК  790	УИК  791	УИК  792					
11	Число полученных открепительных  удостоверений	440	5	5	5	10	5	5	15	10	20	5	5	5	30	30	50	5	5	5	5	15	5	15	5	5	15	5	30	10	10	10	5	10	5	5	20	20	20	5					
12	Число выданных открепительных удостоверений	220	2	4	2	9	2	3	10	7	20	1	0	1	25	20	31	1	0	0	0	8	0	8	2	0	11	4	16	5	5	6	0	5	1	2	2	2	2	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	204	7	2	6	9	6	1	12	4	5	0	4	4	23	13	8	6	3	5	2	2	2	15	4	1	7	4	4	7	8	6	4	4	1	4	3	4	2	2					
14	Число неиспользованных открепительных удостоверений	220	3	1	3	1	3	2	5	3	0	4	5	4	5	10	19	4	5	5	5	7	5	7	3	5	4	1	14	5	5	4	5	5	4	3	18	18	18	2					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	728	9	23	13	6	5	4	39	39	64	11	17	9	44	41	35	13	8	8	6	0	2	21	7	2	31	17	34	38	39	26	0	18	4	2	9	21	41	22					
		2.71%	1.96%	4.55%	2.42%	1.72%	1.89%	1.83%	3.49%	3.83%	4.68%	4.04%	3.70%	1.82%	3.33%	3.13%	2.87%	3.01%	2.93%	2.66%	3.64%	0.00%	2.00%	2.44%	1.68%	1.33%	3.79%	3.49%	3.72%	5.21%	4.81%	2.51%	0.00%	1.55%	2.82%	1.98%	0.58%	1.35%	2.24%	1.27%					
19	. Малышкин Олег Александрович	419	4	7	13	11	5	5	34	19	31	7	8	6	27	25	21	11	5	8	1	4	1	12	4	1	19	9	18	10	29	13	3	10	3	1	6	3	13	12					
		1.56%	0.87%	1.38%	2.42%	3.15%	1.89%	2.28%	3.04%	1.87%	2.27%	2.57%	1.74%	1.21%	2.05%	1.91%	1.72%	2.55%	1.83%	2.66%	0.61%	2.53%	1.00%	1.39%	0.96%	0.67%	2.33%	1.85%	1.97%	1.37%	3.58%	1.25%	1.51%	0.86%	2.11%	0.99%	0.39%	0.19%	0.71%	0.70%					
20	. Миронов Сергей Михайлович	147	0	5	5	1	3	1	9	7	16	0	3	4	13	5	0	5	2	1	0	3	4	5	1	4	3	4	2	5	8	7	0	1	0	0	11	4	1	4					
		0.55%	0.00%	0.99%	0.93%	0.29%	1.13%	0.46%	0.81%	0.69%	1.17%	0.00%	0.65%	0.81%	0.98%	0.38%	0.00%	1.16%	0.73%	0.33%	0.00%	1.90%	4.00%	0.58%	0.24%	2.67%	0.37%	0.82%	0.22%	0.69%	0.99%	0.68%	0.00%	0.09%	0.00%	0.00%	0.71%	0.26%	0.05%	0.23%					
21	. Путин Владимир Владимирович	19963	401	383	382	242	219	161	741	698	883	224	372	416	961	920	894	321	201	247	146	89	62	628	343	108	574	349	677	492	475	745	165	840	106	86	1287	1372	1405	1348					
		74.42%	87.17%	75.69%	71.14%	69.34%	82.64%	73.52%	66.34%	68.63%	64.59%	82.35%	80.87%	84.21%	72.80%	70.34%	73.22%	74.31%	73.63%	82.06%	88.48%	56.33%	62.00%	72.94%	82.25%	72.00%	70.26%	71.66%	74.07%	67.49%	58.64%	71.84%	82.91%	72.41%	74.65%	85.15%	83.09%	88.23%	76.73%	78.10%					
22	. Хакамада Ирина Муцуовна	307	3	6	3	1	3	4	20	11	25	1	4	0	25	26	22	8	0	3	1	5	1	19	6	2	5	7	10	13	13	12	0	7	5	0	0	5	21	10					
		1.14%	0.65%	1.19%	0.56%	0.29%	1.13%	1.83%	1.79%	1.08%	1.83%	0.37%	0.87%	0.00%	1.89%	1.99%	1.80%	1.85%	0.00%	1.00%	0.61%	3.16%	1.00%	2.21%	1.44%	1.33%	0.61%	1.44%	1.09%	1.78%	1.60%	1.16%	0.00%	0.60%	3.52%	0.00%	0.00%	0.32%	1.15%	0.58%					
23	. Харитонов Николай Михайлович	4337	37	68	113	80	29	38	231	214	296	24	49	50	206	238	220	67	47	29	7	52	28	146	51	26	167	89	150	142	211	215	25	240	21	12	214	58	255	192					
		16.17%	8.04%	13.44%	21.04%	22.92%	10.94%	17.35%	20.68%	21.04%	21.65%	8.82%	10.65%	10.12%	15.61%	18.20%	18.02%	15.51%	17.22%	9.63%	4.24%	32.91%	28.00%	16.96%	12.23%	17.33%	20.44%	18.28%	16.41%	19.48%	26.05%	20.73%	12.56%	20.69%	14.79%	11.88%	13.82%	3.73%	13.93%	11.12%					
																																													
24	Против всех	435	5	11	6	4	1	6	32	19	35	3	6	3	26	38	23	5	3	3	2	5	1	19	2	6	11	11	19	24	16	16	2	7	2	0	14	8	36	5					
		1.62%	1.09%	2.17%	1.12%	1.15%	0.38%	2.74%	2.86%	1.87%	2.56%	1.10%	1.30%	0.61%	1.97%	2.91%	1.88%	1.16%	1.10%	1.00%	1.21%	3.16%	1.00%	2.21%	0.48%	4.00%	1.35%	2.26%	2.08%	3.29%	1.98%	1.54%	1.01%	0.60%	1.41%	0.00%	0.90%	0.51%	1.97%	0.29%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
