Выборы Президента Российской Федерации																																																				
																																																				
"Наименование Избирательной комиссии:    Магнитогорск, Ленинская"																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334					
22	. Хакамада Ирина Муцуовна	1832	12	26	27	4	28	36	19	36	37	44	42	38	20	11	26	65	14	35	28	42	53	68	48	61	26	69	107	59	59	52	54	40	51	39	43	63	59	64	53	27	26	24	45	25	27					
		3.17%	1.66%	1.74%	1.76%	0.95%	1.60%	3.06%	1.80%	2.25%	2.07%	2.65%	3.03%	2.31%	2.10%	1.31%	2.16%	3.92%	1.59%	2.95%	2.92%	2.53%	3.61%	3.87%	3.71%	4.20%	4.01%	6.08%	6.52%	3.88%	3.39%	3.56%	4.21%	2.84%	3.81%	2.80%	5.04%	4.12%	5.42%	3.82%	4.22%	2.99%	4.11%	2.37%	3.04%	2.40%	2.36%					
23	. Харитонов Николай Михайлович	3594	34	89	101	26	133	64	53	133	136	113	69	128	37	66	87	86	38	84	93	102	81	104	80	90	46	81	90	97	88	95	80	76	74	57	57	102	55	101	47	50	31	77	127	75	61					
		6.23%	4.70%	5.97%	6.58%	6.16%	7.60%	5.44%	5.01%	8.32%	7.60%	6.81%	4.97%	7.78%	3.89%	7.89%	7.21%	5.18%	4.30%	7.07%	9.70%	6.14%	5.52%	5.93%	6.19%	6.19%	7.10%	7.14%	5.49%	6.38%	5.06%	6.50%	6.23%	5.40%	5.53%	4.09%	6.67%	6.68%	5.06%	6.02%	3.75%	5.54%	4.90%	7.60%	8.59%	7.20%	5.33%					
																																																				
24	Против всех	1961	7	33	41	5	57	51	25	53	50	59	36	46	17	25	31	58	47	44	22	54	39	61	45	67	17	36	69	50	66	74	46	48	43	60	43	49	57	79	56	40	24	25	44	32	30					
		3.40%	0.97%	2.21%	2.67%	1.18%	3.26%	4.34%	2.37%	3.32%	2.79%	3.55%	2.59%	2.79%	1.79%	2.99%	2.57%	3.49%	5.32%	3.70%	2.29%	3.25%	2.66%	3.48%	3.48%	4.61%	2.62%	3.17%	4.21%	3.29%	3.79%	5.06%	3.58%	3.41%	3.21%	4.30%	5.04%	3.21%	5.24%	4.71%	4.46%	4.43%	3.79%	2.47%	2.98%	3.07%	2.62%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
