Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Виноградовская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	185	8	7	0	5	0	16	0	2	2	5	1	0	11	0	2	3	9	4	3	4	23	34	24	1	11	0	2	3	1	4					
		1.87%	2.68%	1.57%	0.00%	1.66%	0.00%	1.50%	0.00%	0.88%	1.48%	1.35%	0.91%	0.00%	1.61%	0.00%	2.74%	0.90%	3.73%	1.76%	1.44%	1.24%	2.88%	2.71%	2.59%	0.96%	3.63%	0.00%	0.58%	3.12%	1.85%	1.17%					
19	. Малышкин Олег Александрович	178	2	15	0	6	1	20	0	3	3	6	3	2	21	0	3	5	2	7	0	1	10	21	18	3	4	1	5	5	4	7					
		1.80%	0.67%	3.36%	0.00%	1.99%	2.27%	1.87%	0.00%	1.33%	2.22%	1.62%	2.73%	1.47%	3.07%	0.00%	4.11%	1.49%	0.83%	3.08%	0.00%	0.31%	1.25%	1.67%	1.95%	2.88%	1.32%	1.19%	1.44%	5.21%	7.41%	2.04%					
20	. Миронов Сергей Михайлович	103	2	5	1	3	1	10	3	1	0	7	1	1	9	1	0	7	5	3	2	2	11	7	8	2	1	0	1	0	0	9					
		1.04%	0.67%	1.12%	1.61%	1.00%	2.27%	0.93%	1.51%	0.44%	0.00%	1.89%	0.91%	0.74%	1.31%	1.19%	0.00%	2.09%	2.07%	1.32%	0.96%	0.62%	1.38%	0.56%	0.86%	1.92%	0.33%	0.00%	0.29%	0.00%	0.00%	2.62%					
21	. Путин Владимир Владимирович	8083	245	366	48	240	39	858	172	188	113	306	85	103	563	75	59	278	196	187	188	283	647	1031	712	93	259	76	277	69	35	292					
		81.77%	82.21%	82.06%	77.42%	79.73%	88.64%	80.19%	86.43%	83.19%	83.70%	82.48%	77.27%	75.74%	82.19%	89.29%	80.82%	82.99%	81.33%	82.38%	89.95%	87.89%	80.98%	82.09%	76.97%	89.42%	85.48%	90.48%	79.83%	71.88%	64.81%	85.13%					
22	. Хакамада Ирина Муцуовна	200	9	10	0	2	1	24	3	1	0	9	2	4	12	1	2	4	1	7	4	4	20	31	26	1	5	0	5	1	1	10					
		2.02%	3.02%	2.24%	0.00%	0.66%	2.27%	2.24%	1.51%	0.44%	0.00%	2.43%	1.82%	2.94%	1.75%	1.19%	2.74%	1.19%	0.41%	3.08%	1.91%	1.24%	2.50%	2.47%	2.81%	0.96%	1.65%	0.00%	1.44%	1.04%	1.85%	2.92%					
23	. Харитонов Николай Михайлович	926	27	28	11	39	2	127	18	28	17	31	15	22	56	6	7	35	22	13	12	16	62	103	109	2	18	7	47	17	12	17					
		9.37%	9.06%	6.28%	17.74%	12.96%	4.55%	11.87%	9.05%	12.39%	12.59%	8.36%	13.64%	16.18%	8.18%	7.14%	9.59%	10.45%	9.13%	5.73%	5.74%	4.97%	7.76%	8.20%	11.78%	1.92%	5.94%	8.33%	13.54%	17.71%	22.22%	4.96%					
																																					
24	Против всех	150	5	11	1	4	0	11	2	2	0	6	0	3	9	1	0	0	3	3	0	10	16	25	22	2	2	0	7	1	1	3					
		1.52%	1.68%	2.47%	1.61%	1.33%	0.00%	1.03%	1.01%	0.88%	0.00%	1.62%	0.00%	2.21%	1.31%	1.19%	0.00%	0.00%	1.24%	1.32%	0.00%	3.11%	2.00%	1.99%	2.38%	1.92%	0.66%	0.00%	2.02%	1.04%	1.85%	0.87%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
