Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Вышневолоцкая																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195					
		2.17%	0.00%	0.00%	0.50%	2.32%	1.36%	1.28%	0.00%	0.00%	2.36%	1.44%	1.44%	0.45%	1.71%	1.41%	0.56%	2.44%	1.55%	1.85%	3.23%	1.89%	1.06%	2.05%	0.43%	0.00%	2.59%	1.10%	3.78%	3.25%	5.48%	1.19%	1.28%	2.82%	2.27%	3.68%	2.83%	3.05%	2.40%					
23	. Харитонов Николай Михайлович	1830	39	9	19	54	31	91	12	30	123	43	14	23	43	57	22	47	64	35	142	30	70	23	8	43	29	8	134	59	18	58	28	11	66	138	96	103	10					
		14.32%	15.98%	14.75%	9.45%	17.88%	8.45%	16.58%	13.48%	26.09%	13.21%	15.52%	10.07%	10.31%	24.57%	11.52%	12.43%	22.93%	12.38%	12.96%	13.50%	14.15%	24.73%	6.74%	3.45%	25.60%	12.50%	8.79%	19.51%	11.28%	12.33%	11.46%	17.95%	7.75%	12.50%	18.16%	16.96%	14.95%	8.00%					
																																												
24	Против всех	330	3	3	4	7	7	5	1	2	23	17	6	1	7	16	4	8	5	7	22	6	5	11	3	4	9	2	30	16	4	15	9	5	9	18	17	17	2					
		2.58%	1.23%	4.92%	1.99%	2.32%	1.91%	0.91%	1.12%	1.74%	2.47%	6.14%	4.32%	0.45%	4.00%	3.23%	2.26%	3.90%	0.97%	2.59%	2.09%	2.83%	1.77%	3.23%	1.29%	2.38%	3.88%	2.20%	4.37%	3.06%	2.74%	2.96%	5.77%	3.52%	1.70%	2.37%	3.00%	2.47%	1.60%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
