Выборы Президента Российской Федерации																																																																															
																																																																															
Наименование Избирательной комиссии:    Янаульская городская																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551					
14	Число неиспользованных открепительных удостоверений	220	17	10	11	5	6	1	3	12	16	3	8	8	5	0	1	1	1	2	2	1	0	1	3	1	2	2	1	1	0	2	2	4	4	3	5	2	0	4	0	2	4	3	1	2	3	1	1	1	3	2	0	2	1	2	3	1	5	2	3	2	2	1	1	3	1	5	3	3	3	1	0	3					
15	"Число открепительных удостоверений, выданных в ТИК"	6	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																															
18	. Глазьев Сергей Юрьевич	115	5	10	3	10	5	12	11	10	7	6	6	2	4	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	2	0	0	0	2	0	0	1	1	0	0	0	0	2	0	0	2	0	0	0	0	1	2	0	0	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0					
		0.33%	0.29%	0.59%	0.33%	0.57%	0.29%	0.71%	0.66%	0.59%	0.41%	0.58%	0.69%	0.22%	0.47%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.43%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.29%	0.00%	0.23%	0.00%	0.95%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.20%	0.50%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.46%	1.69%	0.00%	0.00%	0.51%	0.00%	0.00%	0.73%	0.00%	0.00%	0.96%	0.00%	0.00%	0.00%	0.27%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	69	3	2	4	4	0	8	4	5	3	7	3	2	7	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1					
		0.20%	0.18%	0.12%	0.44%	0.23%	0.00%	0.47%	0.24%	0.29%	0.18%	0.68%	0.35%	0.22%	0.82%	0.00%	0.00%	0.53%	0.00%	0.47%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.92%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%					
20	. Миронов Сергей Михайлович	47	4	0	0	11	0	7	6	2	4	3	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0					
		0.14%	0.23%	0.00%	0.00%	0.63%	0.00%	0.41%	0.36%	0.12%	0.24%	0.29%	0.23%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.20%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	33630	1610	1630	882	1688	1722	1608	1585	1644	1656	979	839	878	809	358	96	186	198	416	155	226	237	112	385	132	218	127	334	101	421	250	185	530	364	834	430	206	162	499	195	138	375	284	171	592	194	128	424	221	97	146	538	213	114	317	302	194	597	226	268	176	252	102	94	290	167	363	291	325	278	374	152	340					
		96.73%	93.93%	95.38%	98.00%	96.62%	98.40%	94.98%	95.02%	96.71%	97.41%	95.05%	96.99%	94.82%	94.51%	97.02%	96.00%	98.41%	96.12%	98.11%	96.88%	98.26%	93.31%	97.39%	96.98%	99.25%	98.20%	98.45%	96.81%	90.18%	97.45%	98.04%	87.68%	98.15%	98.11%	98.00%	97.07%	98.10%	97.59%	98.04%	97.50%	97.18%	98.94%	91.91%	98.84%	98.83%	98.48%	98.46%	98.60%	99.10%	98.98%	99.32%	98.35%	97.71%	96.61%	97.54%	98.69%	97.98%	98.68%	96.17%	98.17%	96.70%	99.21%	98.08%	98.95%	91.48%	95.43%	97.84%	97.00%	99.09%	100.00%	99.47%	98.06%	97.70%					
22	. Хакамада Ирина Муцуовна	94	2	2	2	2	6	12	8	5	3	5	4	2	6	2	0	0	0	2	1	1	0	0	1	0	0	0	1	0	1	0	5	1	2	7	1	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1					
		0.27%	0.12%	0.12%	0.22%	0.11%	0.34%	0.71%	0.48%	0.29%	0.18%	0.49%	0.46%	0.22%	0.70%	0.54%	0.00%	0.00%	0.00%	0.47%	0.62%	0.43%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.29%	0.00%	0.23%	0.00%	2.37%	0.19%	0.54%	0.82%	0.23%	0.95%	0.60%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.33%	0.00%	0.00%	0.00%	0.00%	0.29%					
23	. Харитонов Николай Михайлович	658	74	62	9	26	15	41	45	25	15	23	8	39	8	6	4	2	8	1	4	1	17	1	7	0	4	2	7	11	7	5	16	1	5	10	9	0	3	2	2	3	4	25	2	4	3	1	2	2	1	1	4	2	2	2	2	3	3	9	1	2	2	1	1	27	5	2	4	3	0	2	2	6					
		1.89%	4.32%	3.63%	1.00%	1.49%	0.86%	2.42%	2.70%	1.47%	0.88%	2.23%	0.92%	4.21%	0.93%	1.63%	4.00%	1.06%	3.88%	0.24%	2.50%	0.43%	6.69%	0.87%	1.76%	0.00%	1.80%	1.55%	2.03%	9.82%	1.62%	1.96%	7.58%	0.19%	1.35%	1.18%	2.03%	0.00%	1.81%	0.39%	1.00%	2.11%	1.06%	8.09%	1.16%	0.67%	1.52%	0.77%	0.47%	0.90%	1.02%	0.68%	0.73%	0.92%	1.69%	0.62%	0.65%	1.52%	0.50%	3.83%	0.37%	1.10%	0.79%	0.96%	1.05%	8.52%	2.86%	0.54%	1.33%	0.91%	0.00%	0.53%	1.29%	1.72%					
																																																																															
24	Против всех	75	5	1	0	6	2	4	4	6	7	5	3	3	4	3	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0					
		0.22%	0.29%	0.06%	0.00%	0.34%	0.11%	0.24%	0.24%	0.35%	0.41%	0.49%	0.35%	0.32%	0.47%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.50%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.50%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
