Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Кадомская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	78	1	3	5	7	6	3	4	4	3	2	2	3	4	2	2	1	3	3	2	3	1	3	6	2	3					
14	Число неиспользованных открепительных удостоверений	326	13	7	9	8	3	12	15	11	14	15	15	15	15	15	15	15	10	15	15	15	15	15	14	15	15					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	130	12	22	21	18	14	3	3	2	0	3	1	0	2	2	1	8	2	0	5	2	2	1	5	1	0					
		2.11%	2.63%	3.34%	2.91%	2.69%	2.05%	0.89%	3.90%	0.51%	0.00%	1.91%	1.01%	0.00%	2.00%	2.17%	0.79%	3.86%	0.95%	0.00%	3.50%	1.10%	3.77%	0.95%	1.87%	0.83%	0.00%					
19	. Малышкин Олег Александрович	108	11	13	17	17	8	8	1	5	0	2	0	1	3	2	4	1	3	2	0	1	1	1	5	1	1					
		1.76%	2.41%	1.97%	2.36%	2.54%	1.17%	2.37%	1.30%	1.28%	0.00%	1.27%	0.00%	1.56%	3.00%	2.17%	3.15%	0.48%	1.43%	3.23%	0.00%	0.55%	1.89%	0.95%	1.87%	0.83%	1.47%					
20	. Миронов Сергей Михайлович	44	4	2	9	4	2	2	0	2	2	1	1	0	1	1	0	5	1	0	2	1	0	0	2	0	2					
		0.72%	0.88%	0.30%	1.25%	0.60%	0.29%	0.59%	0.00%	0.51%	1.96%	0.64%	1.01%	0.00%	1.00%	1.09%	0.00%	2.42%	0.48%	0.00%	1.40%	0.55%	0.00%	0.00%	0.75%	0.00%	2.94%					
21	. Путин Владимир Владимирович	4504	321	481	490	490	484	275	64	250	64	134	76	38	62	66	94	174	156	55	112	145	47	89	178	107	52					
		73.20%	70.39%	72.99%	67.96%	73.35%	70.86%	81.36%	83.12%	63.78%	62.75%	85.35%	76.77%	59.38%	62.00%	71.74%	74.02%	84.06%	74.29%	88.71%	78.32%	79.67%	88.68%	84.76%	66.42%	89.17%	76.47%					
22	. Хакамада Ирина Муцуовна	83	7	11	15	9	7	3	0	6	1	0	1	1	1	1	0	5	5	1	0	2	1	0	6	0	0					
		1.35%	1.54%	1.67%	2.08%	1.35%	1.02%	0.89%	0.00%	1.53%	0.98%	0.00%	1.01%	1.56%	1.00%	1.09%	0.00%	2.42%	2.38%	1.61%	0.00%	1.10%	1.89%	0.00%	2.24%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	1094	87	119	144	106	149	34	9	120	28	14	12	22	25	13	27	10	30	3	20	25	1	12	64	11	9					
		17.78%	19.08%	18.06%	19.97%	15.87%	21.82%	10.06%	11.69%	30.61%	27.45%	8.92%	12.12%	34.38%	25.00%	14.13%	21.26%	4.83%	14.29%	4.84%	13.99%	13.74%	1.89%	11.43%	23.88%	9.17%	13.24%					
																																
24	Против всех	92	8	9	15	13	8	6	0	4	6	1	2	0	3	0	1	1	7	0	2	2	0	0	3	0	1					
		1.50%	1.75%	1.37%	2.08%	1.95%	1.17%	1.78%	0.00%	1.02%	5.88%	0.64%	2.02%	0.00%	3.00%	0.00%	0.79%	0.48%	3.33%	0.00%	1.40%	1.10%	0.00%	0.00%	1.12%	0.00%	1.47%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
