Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Шумихинская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065					
19	. Малышкин Олег Александрович	612	17	6	7	19	26	33	35	30	23	17	19	12	24	26	1	18	23	3	27	20	2	29	15	16	9	0	11	6	5	6	11	9	17	16	4	16	22	8	7	3	7	7					
		3.61%	2.80%	1.03%	1.69%	3.54%	3.35%	4.51%	4.07%	4.30%	3.80%	2.24%	3.01%	2.15%	3.76%	3.89%	1.11%	8.91%	5.25%	3.30%	4.86%	7.19%	2.56%	4.75%	3.61%	5.61%	3.83%	0.00%	2.31%	4.26%	4.24%	4.38%	3.16%	4.23%	4.64%	4.85%	1.17%	6.53%	4.97%	3.49%	1.89%	1.67%	2.02%	3.15%					
20	. Миронов Сергей Михайлович	117	4	8	3	2	8	1	5	3	8	6	4	5	1	2	0	2	5	0	5	1	1	1	1	3	2	1	2	1	0	0	1	0	5	2	2	0	7	4	3	1	5	2					
		0.69%	0.66%	1.38%	0.73%	0.37%	1.03%	0.14%	0.58%	0.43%	1.32%	0.79%	0.63%	0.90%	0.16%	0.30%	0.00%	0.99%	1.14%	0.00%	0.90%	0.36%	1.28%	0.16%	0.24%	1.05%	0.85%	1.19%	0.42%	0.71%	0.00%	0.00%	0.29%	0.00%	1.37%	0.61%	0.58%	0.00%	1.58%	1.75%	0.81%	0.56%	1.44%	0.90%					
21	. Путин Владимир Владимирович	11669	380	389	271	377	558	492	568	481	421	517	409	399	441	476	60	134	313	74	367	193	60	379	280	195	151	54	340	116	101	106	266	171	255	206	261	185	286	142	283	106	239	167					
		68.91%	62.60%	66.95%	65.62%	70.20%	72.00%	67.31%	66.12%	68.91%	69.59%	68.03%	64.72%	71.51%	69.12%	71.15%	66.67%	66.34%	71.46%	81.32%	66.13%	69.42%	76.92%	62.13%	67.31%	68.42%	64.26%	64.29%	71.28%	82.27%	85.59%	77.37%	76.44%	80.28%	69.67%	62.42%	76.32%	75.51%	64.56%	62.01%	76.28%	58.89%	68.88%	75.23%					
22	. Хакамада Ирина Муцуовна	308	15	15	8	13	7	18	23	10	15	16	11	4	11	13	2	2	9	2	17	3	3	3	9	7	5	1	7	2	1	3	1	1	7	11	7	1	10	2	1	5	3	4					
		1.82%	2.47%	2.58%	1.94%	2.42%	0.90%	2.46%	2.68%	1.43%	2.48%	2.11%	1.74%	0.72%	1.72%	1.94%	2.22%	0.99%	2.05%	2.20%	3.06%	1.08%	3.85%	0.49%	2.16%	2.46%	2.13%	1.19%	1.47%	1.42%	0.85%	2.19%	0.29%	0.47%	1.91%	3.33%	2.05%	0.41%	2.26%	0.87%	0.27%	2.78%	0.86%	1.80%					
23	. Харитонов Николай Михайлович	3159	137	109	85	89	127	126	182	137	96	147	151	109	125	106	19	40	55	10	116	44	11	157	83	40	48	21	87	5	10	17	52	25	59	75	44	30	98	64	60	59	69	35					
		18.65%	22.57%	18.76%	20.58%	16.57%	16.39%	17.24%	21.19%	19.63%	15.87%	19.34%	23.89%	19.53%	19.59%	15.84%	21.11%	19.80%	12.56%	10.99%	20.90%	15.83%	14.10%	25.74%	19.95%	14.04%	20.43%	25.00%	18.24%	3.55%	8.47%	12.41%	14.94%	11.74%	16.12%	22.73%	12.87%	12.24%	22.12%	27.95%	16.17%	32.78%	19.88%	15.77%					
																																																	
24	Против всех	424	22	25	13	11	16	22	18	11	19	32	18	7	14	24	2	2	10	1	7	8	0	14	11	10	12	6	14	2	0	2	11	2	7	7	7	1	8	2	8	3	11	4					
		2.50%	3.62%	4.30%	3.15%	2.05%	2.06%	3.01%	2.10%	1.58%	3.14%	4.21%	2.85%	1.25%	2.19%	3.59%	2.22%	0.99%	2.28%	1.10%	1.26%	2.88%	0.00%	2.30%	2.64%	3.51%	5.11%	7.14%	2.94%	1.42%	0.00%	1.46%	3.16%	0.94%	1.91%	2.12%	2.05%	0.41%	1.81%	0.87%	2.16%	1.67%	3.17%	1.80%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
