Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Шелеховская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574					
		4.79%	4.38%	5.77%	5.20%	4.89%	4.04%	3.00%	3.15%	4.58%	3.63%	6.64%	5.63%	5.05%	4.08%	5.53%	4.38%	3.53%	5.48%	4.59%	4.85%	4.83%	13.33%	5.95%	7.91%	5.10%	3.81%	3.21%					
20	. Миронов Сергей Михайлович	263	5	6	21	10	9	6	9	17	14	13	15	9	25	13	3	18	13	10	7	5	3	1	9	3	12	7					
		1.08%	1.22%	0.84%	2.18%	0.89%	0.91%	0.54%	0.89%	1.30%	1.13%	0.98%	0.93%	0.69%	1.76%	1.28%	0.27%	1.25%	1.06%	1.07%	1.06%	1.42%	1.67%	0.24%	1.15%	0.96%	2.40%	0.87%					
21	. Путин Владимир Владимирович	14145	220	414	527	649	564	581	547	727	701	770	871	734	843	563	646	800	687	623	432	253	104	259	474	200	337	619					
		58.24%	53.53%	58.23%	54.78%	57.74%	56.91%	52.77%	53.84%	55.50%	56.62%	58.11%	53.87%	56.16%	59.32%	55.63%	57.68%	55.40%	56.17%	66.56%	65.45%	71.88%	57.78%	61.67%	60.46%	63.69%	67.54%	76.51%					
22	. Хакамада Ирина Муцуовна	1711	18	39	83	83	79	85	99	89	98	81	146	107	102	89	94	135	80	29	28	14	5	13	40	14	22	39					
		7.04%	4.38%	5.49%	8.63%	7.38%	7.97%	7.72%	9.74%	6.79%	7.92%	6.11%	9.03%	8.19%	7.18%	8.79%	8.39%	9.35%	6.54%	3.10%	4.24%	3.98%	2.78%	3.10%	5.10%	4.46%	4.41%	4.82%					
23	. Харитонов Николай Михайлович	3952	86	133	161	179	169	251	184	239	212	203	280	201	220	132	165	244	230	141	75	34	28	81	136	57	62	49					
		16.27%	20.92%	18.71%	16.74%	15.93%	17.05%	22.80%	18.11%	18.24%	17.12%	15.32%	17.32%	15.38%	15.48%	13.04%	14.73%	16.90%	18.81%	15.06%	11.36%	9.66%	15.56%	19.29%	17.35%	18.15%	12.42%	6.06%					
																																	
24	Против всех	1368	35	44	65	61	62	59	51	74	65	72	102	90	82	94	73	74	76	39	31	10	8	15	17	11	16	42					
		5.63%	8.52%	6.19%	6.76%	5.43%	6.26%	5.36%	5.02%	5.65%	5.25%	5.43%	6.31%	6.89%	5.77%	9.29%	6.52%	5.12%	6.21%	4.17%	4.70%	2.84%	4.44%	3.57%	2.17%	3.50%	3.21%	5.19%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
