Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Андроповская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200					
		0.79%	0.64%	0.10%	1.17%	0.85%	0.48%	1.06%	0.93%	0.00%	0.88%	1.18%	0.52%	0.59%	0.00%	0.66%	0.59%	0.83%	1.50%	1.08%	0.65%	0.00%	0.00%	0.63%	0.30%	1.12%	1.06%	0.55%	1.76%	0.00%					
21	. Путин Владимир Владимирович	7896	817	524	665	154	232	485	124	193	218	349	135	332	48	61	214	306	109	119	98	162	74	382	333	514	412	464	326	46					
		55.20%	58.03%	54.19%	51.91%	43.75%	55.37%	51.60%	57.67%	60.12%	47.81%	58.95%	69.59%	49.33%	58.54%	40.13%	62.94%	50.58%	40.98%	63.98%	63.23%	84.38%	56.06%	60.44%	49.78%	57.75%	62.33%	64.36%	44.23%	69.70%					
22	. Хакамада Ирина Муцуовна	345	31	30	25	9	6	27	6	9	11	14	4	11	8	4	20	20	6	6	8	2	2	8	27	11	12	7	21	0					
		2.41%	2.20%	3.10%	1.95%	2.56%	1.43%	2.87%	2.79%	2.80%	2.41%	2.36%	2.06%	1.63%	9.76%	2.63%	5.88%	3.31%	2.26%	3.23%	5.16%	1.04%	1.52%	1.27%	4.04%	1.24%	1.82%	0.97%	2.85%	0.00%					
23	. Харитонов Николай Михайлович	4460	371	294	455	131	113	313	64	92	163	161	37	272	15	75	66	207	127	34	37	19	50	187	241	278	179	187	277	15					
		31.18%	26.35%	30.40%	35.52%	37.22%	26.97%	33.30%	29.77%	28.66%	35.75%	27.20%	19.07%	40.42%	18.29%	49.34%	19.41%	34.21%	47.74%	18.28%	23.87%	9.90%	37.88%	29.59%	36.02%	31.24%	27.08%	25.94%	37.58%	22.73%					
																																			
24	Против всех	492	77	49	40	17	25	27	4	8	16	15	1	17	5	5	6	17	10	3	3	1	3	18	25	25	18	22	33	2					
		3.44%	5.47%	5.07%	3.12%	4.83%	5.97%	2.87%	1.86%	2.49%	3.51%	2.53%	0.52%	2.53%	6.10%	3.29%	1.76%	2.81%	3.76%	1.61%	1.94%	0.52%	2.27%	2.85%	3.74%	2.81%	2.72%	3.05%	4.48%	3.03%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
