Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Черемшанская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.14%	0.13%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	122	2	12	0	7	1	2	5	1	0	0	1	2	4	1	2	0	2	0	1	2	2	34	3	5	1	2	4	4	14	1	3	3	1	0					
		0.86%	0.39%	4.86%	0.00%	1.20%	0.21%	1.74%	2.78%	0.22%	0.00%	0.00%	0.26%	0.96%	0.41%	0.66%	0.57%	0.00%	1.02%	0.00%	0.23%	1.32%	0.48%	5.10%	0.64%	1.30%	0.26%	0.39%	0.38%	0.90%	0.97%	0.13%	0.79%	0.81%	0.39%	0.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	2	3	0	0	0	0					
		0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.14%	0.40%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13952	511	227	95	571	468	112	168	451	142	331	370	205	972	148	349	196	193	410	436	150	415	617	461	378	376	502	1047	433	1411	721	369	367	253	97					
		97.97%	99.03%	91.90%	100.00%	98.11%	99.79%	97.39%	93.33%	99.56%	97.93%	99.10%	96.61%	98.56%	99.08%	98.01%	99.43%	99.49%	97.97%	99.76%	99.54%	98.68%	99.05%	92.50%	98.72%	98.18%	99.21%	98.62%	98.68%	97.30%	98.26%	94.99%	96.60%	99.19%	99.61%	94.17%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																									
