Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Райчихинская городская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513					
11	Число полученных открепительных  удостоверений	510	15	20	15	30	45	45	40	30	10	10	15	10	10	10	15	10	10	20	25	25	20	20	20	20	20					
12	Число выданных открепительных удостоверений	231	12	14	11	26	26	26	24	19	6	1	7	4	0	8	4	1	3	2	5	17	6	2	1	0	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	152	6	6	4	6	10	3	7	6	4	12	3	1	15	8	21	0	2	6	8	3	6	6	3	1	5					
14	Число неиспользованных открепительных удостоверений	279	3	6	4	4	19	19	16	11	4	9	8	6	10	2	11	9	7	18	20	8	14	18	19	20	14					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	1316	67	134	69	126	110	53	76	48	35	13	44	23	14	31	50	12	13	45	88	97	99	10	10	19	30					
		6.49%	6.29%	10.28%	8.26%	7.31%	7.17%	3.95%	6.65%	5.69%	7.81%	5.20%	6.51%	7.23%	6.54%	4.70%	7.11%	6.90%	5.88%	4.77%	6.16%	6.34%	7.29%	2.70%	4.03%	5.14%	5.31%					
19	. Малышкин Олег Александрович	758	50	26	27	61	52	45	51	25	16	11	32	16	5	29	20	7	11	33	44	79	52	15	8	18	25					
		3.74%	4.69%	2.00%	3.23%	3.54%	3.39%	3.35%	4.47%	2.96%	3.57%	4.40%	4.73%	5.03%	2.34%	4.40%	2.84%	4.02%	4.98%	3.50%	3.08%	5.17%	3.83%	4.05%	3.23%	4.86%	4.42%					
20	. Миронов Сергей Михайлович	231	9	15	6	27	18	9	14	11	5	3	4	5	0	2	13	0	3	8	14	27	19	4	3	4	8					
		1.14%	0.84%	1.15%	0.72%	1.57%	1.17%	0.67%	1.23%	1.30%	1.12%	1.20%	0.59%	1.57%	0.00%	0.30%	1.85%	0.00%	1.36%	0.85%	0.98%	1.77%	1.40%	1.08%	1.21%	1.08%	1.42%					
21	. Путин Владимир Владимирович	11728	613	711	485	990	859	1029	673	558	251	132	409	167	132	421	383	115	137	523	785	798	723	260	120	186	268					
		57.87%	57.50%	54.57%	58.08%	57.46%	56.00%	76.62%	58.93%	66.11%	56.03%	52.80%	60.50%	52.52%	61.68%	63.88%	54.48%	66.09%	61.99%	55.40%	54.93%	52.19%	53.24%	70.27%	48.39%	50.27%	47.43%					
22	. Хакамада Ирина Муцуовна	626	40	52	31	54	52	35	44	37	22	15	31	14	7	22	14	4	8	11	38	40	32	10	3	2	8					
		3.09%	3.75%	3.99%	3.71%	3.13%	3.39%	2.61%	3.85%	4.38%	4.91%	6.00%	4.59%	4.40%	3.27%	3.34%	1.99%	2.30%	3.62%	1.17%	2.66%	2.62%	2.36%	2.70%	1.21%	0.54%	1.42%					
23	. Харитонов Николай Михайлович	5055	255	331	195	412	409	143	238	145	105	68	141	87	49	130	210	35	42	303	424	436	403	65	100	129	200					
		24.94%	23.92%	25.40%	23.35%	23.91%	26.66%	10.65%	20.84%	17.18%	23.44%	27.20%	20.86%	27.36%	22.90%	19.73%	29.87%	20.11%	19.00%	32.10%	29.67%	28.52%	29.68%	17.57%	40.32%	34.86%	35.40%					
																																
24	Против всех	405	24	26	18	48	26	24	28	15	12	5	6	5	5	16	7	1	3	18	25	38	25	4	4	8	14					
		2.00%	2.25%	2.00%	2.16%	2.79%	1.69%	1.79%	2.45%	1.78%	2.68%	2.00%	0.89%	1.57%	2.34%	2.43%	1.00%	0.57%	1.36%	1.91%	1.75%	2.49%	1.84%	1.08%	1.61%	2.16%	2.48%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
