Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Касторенская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК  487	УИК  488	УИК  489	УИК  490	УИК  491	УИК  492	УИК  493	УИК  494	УИК  495	УИК  496	УИК  497	УИК  498	УИК  499	УИК  500	УИК  501	УИК  502	УИК  503	УИК  504	УИК  505	УИК  506	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524					
11	Число полученных открепительных  удостоверений	190	8	10	8	7	10	8	10	5	5	5	3	3	3	5	5	5	5	3	5	5	5	5	5	3	3	5	3	5	3	5	3	5	3	3	5	5	3	3					
12	Число выданных открепительных удостоверений	28	5	4	0	2	4	3	1	0	1	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	1	3	0	2	4	5	5	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	1	0	1	3	0	1					
14	Число неиспользованных открепительных удостоверений	162	3	6	8	5	6	5	9	5	4	3	3	2	3	5	5	5	5	3	5	3	5	5	5	3	3	5	3	5	3	5	3	5	2	3	4	5	3	2					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	4	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	255	3	31	16	9	10	6	30	2	2	7	7	1	0	3	4	3	4	1	3	6	6	16	8	9	2	5	1	3	2	3	21	9	0	1	10	4	2	5					
		2.02%	0.50%	3.26%	2.87%	1.90%	1.35%	0.90%	3.43%	1.12%	0.89%	1.59%	3.89%	0.68%	0.00%	0.88%	1.17%	1.76%	1.88%	0.52%	1.44%	1.68%	1.61%	5.35%	2.56%	4.81%	1.64%	1.64%	0.61%	0.77%	0.94%	2.03%	20.59%	1.32%	0.00%	0.58%	3.50%	1.01%	1.33%	4.85%					
19	. Малышкин Олег Александрович	334	16	27	7	9	23	15	26	5	0	5	1	4	8	11	7	4	7	6	6	8	5	4	9	6	6	11	4	4	14	8	0	22	8	0	14	16	4	4					
		2.65%	2.69%	2.84%	1.25%	1.90%	3.10%	2.24%	2.97%	2.81%	0.00%	1.14%	0.56%	2.70%	9.52%	3.24%	2.04%	2.35%	3.29%	3.09%	2.88%	2.23%	1.34%	1.34%	2.88%	3.21%	4.92%	3.61%	2.42%	1.02%	6.60%	5.41%	0.00%	3.22%	3.09%	0.00%	4.90%	4.05%	2.67%	3.88%					
20	. Миронов Сергей Михайлович	85	1	3	3	4	3	8	4	2	3	1	1	0	0	0	5	0	0	1	0	0	3	5	1	2	4	4	0	3	0	3	1	6	3	0	4	3	3	1					
		0.67%	0.17%	0.32%	0.54%	0.84%	0.40%	1.20%	0.46%	1.12%	1.34%	0.23%	0.56%	0.00%	0.00%	0.00%	1.46%	0.00%	0.00%	0.52%	0.00%	0.00%	0.80%	1.67%	0.32%	1.07%	3.28%	1.31%	0.00%	0.77%	0.00%	2.03%	0.98%	0.88%	1.16%	0.00%	1.40%	0.76%	2.00%	0.97%					
21	. Путин Владимир Владимирович	8246	439	597	355	310	480	407	521	146	145	305	105	94	45	234	247	114	129	123	144	253	277	179	190	116	85	236	125	305	151	87	50	438	169	129	174	205	101	36					
		65.39%	73.78%	62.78%	63.62%	65.40%	64.60%	60.84%	59.54%	82.02%	64.73%	69.48%	58.33%	63.51%	53.57%	68.82%	72.01%	67.06%	60.56%	63.40%	69.23%	70.67%	74.26%	59.87%	60.90%	62.03%	69.67%	77.38%	75.76%	78.01%	71.23%	58.78%	49.02%	64.04%	65.25%	74.57%	60.84%	51.90%	67.33%	34.95%					
22	. Хакамада Ирина Муцуовна	181	10	23	13	7	9	11	14	2	2	8	1	3	0	7	4	3	4	3	2	6	2	1	1	0	2	4	4	3	1	0	2	12	0	3	7	6	0	1					
		1.44%	1.68%	2.42%	2.33%	1.48%	1.21%	1.64%	1.60%	1.12%	0.89%	1.82%	0.56%	2.03%	0.00%	2.06%	1.17%	1.76%	1.88%	1.55%	0.96%	1.68%	0.54%	0.33%	0.32%	0.00%	1.64%	1.31%	2.42%	0.77%	0.47%	0.00%	1.96%	1.75%	0.00%	1.73%	2.45%	1.52%	0.00%	0.97%					
23	. Харитонов Николай Михайлович	3206	114	248	151	124	200	201	250	20	60	101	62	42	30	83	71	41	65	57	50	77	71	88	91	51	20	37	26	62	42	41	25	186	76	37	68	154	33	51					
		25.42%	19.16%	26.08%	27.06%	26.16%	26.92%	30.04%	28.57%	11.24%	26.79%	23.01%	34.44%	28.38%	35.71%	24.41%	20.70%	24.12%	30.52%	29.38%	24.04%	21.51%	19.03%	29.43%	29.17%	27.27%	16.39%	12.13%	15.76%	15.86%	19.81%	27.70%	24.51%	27.19%	29.34%	21.39%	23.78%	38.99%	22.00%	49.51%					
																																													
24	Против всех	174	10	15	10	5	12	9	22	1	5	4	1	3	0	2	5	4	0	2	2	1	9	1	6	3	1	1	0	10	2	1	0	5	0	1	7	3	7	4					
		1.38%	1.68%	1.58%	1.79%	1.05%	1.62%	1.35%	2.51%	0.56%	2.23%	0.91%	0.56%	2.03%	0.00%	0.59%	1.46%	2.35%	0.00%	1.03%	0.96%	0.28%	2.41%	0.33%	1.92%	1.60%	0.82%	0.33%	0.00%	2.56%	0.94%	0.68%	0.00%	0.73%	0.00%	0.58%	2.45%	0.76%	4.67%	3.88%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
