Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Лениногорская городская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1813	УИК №1814	УИК №1816	УИК №1817	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843					
21	. Путин Владимир Владимирович	29082	445	589	538	817	537	663	1102	688	835	588	652	1379	1654	872	750	1339	564	752	551	1479	976	795	876	682	704	765	614	724	739	759	640	819	807	370	676	386	598	358					
		77.71%	76.99%	71.48%	78.20%	87.94%	70.10%	85.88%	75.07%	61.98%	80.52%	80.00%	75.38%	82.97%	78.02%	79.27%	68.68%	77.76%	77.90%	78.17%	85.03%	81.40%	68.11%	88.53%	73.80%	78.30%	81.86%	67.46%	78.02%	81.26%	80.77%	80.49%	84.99%	76.69%	74.93%	62.08%	81.74%	90.40%	88.20%	77.66%					
22	. Хакамада Ирина Муцуовна	1210	50	10	23	15	22	6	80	56	36	20	26	18	84	37	47	50	27	23	3	55	71	12	47	25	19	53	32	22	34	26	14	38	45	37	25	5	9	8					
		3.23%	8.65%	1.21%	3.34%	1.61%	2.87%	0.78%	5.45%	5.05%	3.47%	2.72%	3.01%	1.08%	3.96%	3.36%	4.30%	2.90%	3.73%	2.39%	0.46%	3.03%	4.95%	1.34%	3.96%	2.87%	2.21%	4.67%	4.07%	2.47%	3.72%	2.76%	1.86%	3.56%	4.18%	6.21%	3.02%	1.17%	1.33%	1.74%					
23	. Харитонов Николай Михайлович	3333	30	104	43	37	125	65	117	175	50	48	75	175	197	45	154	157	55	102	83	158	201	26	102	121	68	165	27	114	32	48	35	61	113	107	22	8	43	45					
		8.91%	5.19%	12.62%	6.25%	3.98%	16.32%	8.42%	7.97%	15.77%	4.82%	6.53%	8.67%	10.53%	9.29%	4.09%	14.10%	9.12%	7.60%	10.60%	12.81%	8.70%	14.03%	2.90%	8.59%	13.89%	7.91%	14.55%	3.43%	12.79%	3.50%	5.09%	4.65%	5.71%	10.49%	17.95%	2.66%	1.87%	6.34%	9.76%					
																																													
24	Против всех	913	7	20	20	15	15	23	10	44	24	22	29	0	59	45	41	50	12	20	2	36	43	28	41	0	12	32	22	8	12	33	29	43	49	18	25	6	4	14					
		2.44%	1.21%	2.43%	2.91%	1.61%	1.96%	2.98%	0.68%	3.96%	2.31%	2.99%	3.35%	0.00%	2.78%	4.09%	3.75%	2.90%	1.66%	2.08%	0.31%	1.98%	3.00%	3.12%	3.45%	0.00%	1.40%	2.82%	2.80%	0.90%	1.31%	3.50%	3.85%	4.03%	4.55%	3.02%	3.02%	1.41%	0.59%	3.04%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
