Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Тоцкая																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720					
11	Число полученных открепительных  удостоверений	997	48	50	50	5	5	14	100	100	100	100	65	100	15	5	5	5	5	15	10	5	5	10	5	5	20	5	5	5	5	5	5	5	10	5	5	5	5	5	5	20	5	0	0	5	5	5	20	10	5					
12	Число выданных открепительных удостоверений	493	13	29	7	0	4	7	49	20	78	73	43	81	2	2	5	0	3	9	4	0	1	3	1	1	5	1	0	1	0	0	0	0	4	0	2	0	0	5	2	20	0	0	0	0	0	1	12	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	972	4	6	4	0	5	3	5	505	0	0	307	114	0	0	0	0	2	3	1	0	0	3	0	0	1	0	0	2	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	2	0					
14	Число неиспользованных открепительных удостоверений	504	35	21	43	5	1	7	51	80	22	27	22	19	13	3	0	5	2	6	6	5	4	7	4	4	15	4	5	4	5	5	5	5	6	5	3	5	5	0	3	0	5	0	0	5	5	4	8	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																								
18	. Глазьев Сергей Юрьевич	587	51	70	29	2	7	40	21	28	28	14	26	25	36	6	0	6	5	3	9	1	0	16	3	4	3	1	0	9	1	2	6	0	15	4	2	0	4	5	19	29	3	2	1	4	1	7	25	4	10					
		2.22%	3.60%	5.20%	3.14%	2.15%	2.23%	3.38%	0.85%	1.32%	1.20%	0.63%	1.38%	1.55%	4.43%	2.25%	0.00%	3.33%	1.98%	1.01%	3.02%	1.33%	0.00%	3.64%	3.53%	2.67%	0.73%	0.89%	0.00%	2.98%	1.92%	0.85%	2.96%	0.00%	4.31%	1.83%	1.00%	0.00%	1.70%	2.56%	6.99%	4.86%	2.86%	4.88%	2.78%	4.94%	0.39%	3.37%	5.25%	2.34%	3.33%					
19	. Малышкин Олег Александрович	974	55	60	32	4	6	46	46	54	53	49	37	60	48	12	7	9	12	26	22	1	1	15	2	2	16	10	1	12	1	5	10	0	17	3	8	3	12	12	24	54	6	1	11	7	5	18	31	13	35					
		3.69%	3.89%	4.46%	3.47%	4.30%	1.91%	3.89%	1.85%	2.54%	2.27%	2.21%	1.96%	3.73%	5.90%	4.49%	3.17%	5.00%	4.76%	8.75%	7.38%	1.33%	1.23%	3.41%	2.35%	1.33%	3.88%	8.93%	1.72%	3.97%	1.92%	2.13%	4.93%	0.00%	4.89%	1.37%	3.98%	1.70%	5.11%	6.15%	8.82%	9.05%	5.71%	2.44%	30.56%	8.64%	1.95%	8.65%	6.51%	7.60%	11.67%					
20	. Миронов Сергей Михайлович	168	6	13	10	3	4	16	13	10	11	13	10	4	7	3	1	5	0	1	0	0	0	4	1	0	2	0	0	2	1	0	2	0	2	0	1	0	2	2	5	4	0	0	0	0	1	0	6	0	3					
		0.64%	0.42%	0.97%	1.08%	3.23%	1.27%	1.35%	0.52%	0.47%	0.47%	0.59%	0.53%	0.25%	0.86%	1.12%	0.45%	2.78%	0.00%	0.34%	0.00%	0.00%	0.00%	0.91%	1.18%	0.00%	0.49%	0.00%	0.00%	0.66%	1.92%	0.00%	0.99%	0.00%	0.57%	0.00%	0.50%	0.00%	0.85%	1.03%	1.84%	0.67%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	1.26%	0.00%	1.00%					
21	. Путин Владимир Владимирович	17587	693	725	500	46	138	745	2163	1803	1976	1918	1583	1341	489	162	92	94	120	149	192	38	45	160	18	36	120	44	18	139	22	83	113	23	166	123	145	107	116	76	107	217	45	19	6	43	82	63	207	104	173					
		66.64%	48.98%	53.90%	54.17%	49.46%	43.95%	62.98%	87.15%	84.85%	84.81%	86.63%	84.07%	83.40%	60.15%	60.67%	41.63%	52.22%	47.62%	50.17%	64.43%	50.67%	55.56%	36.36%	21.18%	24.00%	29.13%	39.29%	31.03%	46.03%	42.31%	35.32%	55.67%	82.14%	47.70%	56.16%	72.14%	60.80%	49.36%	38.97%	39.34%	36.35%	42.86%	46.34%	16.67%	53.09%	32.03%	30.29%	43.49%	60.82%	57.67%					
22	. Хакамада Ирина Муцуовна	502	37	28	23	3	13	22	53	42	51	43	36	24	14	1	2	1	6	1	2	3	1	5	0	3	7	0	0	2	0	2	5	1	7	3	3	1	1	2	1	13	3	2	0	6	7	6	8	4	4					
		1.90%	2.61%	2.08%	2.49%	3.23%	4.14%	1.86%	2.14%	1.98%	2.19%	1.94%	1.91%	1.49%	1.72%	0.37%	0.90%	0.56%	2.38%	0.34%	0.67%	4.00%	1.23%	1.14%	0.00%	2.00%	1.70%	0.00%	0.00%	0.66%	0.00%	0.85%	2.46%	3.57%	2.01%	1.37%	1.49%	0.57%	0.43%	1.03%	0.37%	2.18%	2.86%	4.88%	0.00%	7.41%	2.73%	2.88%	1.68%	2.34%	1.33%					
23	. Харитонов Николай Михайлович	5649	524	389	291	32	138	263	109	76	106	95	107	93	202	78	106	56	105	111	68	31	33	228	56	105	259	54	38	133	27	140	56	4	135	83	41	64	93	96	104	260	45	17	18	19	157	104	186	43	71					
		21.40%	37.03%	28.92%	31.53%	34.41%	43.95%	22.23%	4.39%	3.58%	4.55%	4.29%	5.68%	5.78%	24.85%	29.21%	47.96%	31.11%	41.67%	37.37%	22.82%	41.33%	40.74%	51.82%	65.88%	70.00%	62.86%	48.21%	65.52%	44.04%	51.92%	59.57%	27.59%	14.29%	38.79%	37.90%	20.40%	36.36%	39.57%	49.23%	38.24%	43.55%	42.86%	41.46%	50.00%	23.46%	61.33%	50.00%	39.08%	25.15%	23.67%					
																																																								
24	Против всех	772	40	53	32	1	5	46	65	105	93	75	83	55	15	3	11	0	4	5	2	1	1	8	2	0	1	1	1	4	0	1	5	0	4	1	0	0	0	0	8	13	2	0	0	2	2	8	8	3	3					
		2.93%	2.83%	3.94%	3.47%	1.08%	1.59%	3.89%	2.62%	4.94%	3.99%	3.39%	4.41%	3.42%	1.85%	1.12%	4.98%	0.00%	1.59%	1.68%	0.67%	1.33%	1.23%	1.82%	2.35%	0.00%	0.24%	0.89%	1.72%	1.32%	0.00%	0.43%	2.46%	0.00%	1.15%	0.46%	0.00%	0.00%	0.00%	0.00%	2.94%	2.18%	1.90%	0.00%	0.00%	2.47%	0.78%	3.85%	1.68%	1.75%	1.00%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
