Выборы Президента Российской Федерации																																																	
																																																	
"Наименование Избирательной комиссии:    Калуга, Московская"																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282					
11	Число полученных открепительных  удостоверений	1436	40	40	40	40	40	40	30	40	40	40	40	40	10	20	40	40	40	40	40	40	40	20	30	20	30	30	40	40	30	40	40	40	30	40	40	40	50	30	21	15	15	15					
12	Число выданных открепительных удостоверений	495	21	21	20	19	12	13	18	8	23	11	25	13	2	1	10	12	18	17	13	16	11	4	6	9	12	8	13	8	8	3	7	10	14	20	6	18	18	4	19	2	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	381	9	10	9	9	5	6	7	9	6	6	13	11	2	10	13	8	7	18	10	3	11	7	5	2	7	6	12	7	10	12	15	11	24	16	10	5	13	3	15	13	3	3					
14	Число неиспользованных открепительных удостоверений	941	19	19	20	21	28	27	12	32	17	29	15	27	8	19	30	28	22	23	27	24	29	16	24	11	18	22	27	32	22	37	33	30	16	20	34	22	32	26	2	13	14	14					
15	"Число открепительных удостоверений, выданных в ТИК"	61	1	2	0	1	0	0	0	3	3	1	3	6	0	0	1	1	1	2	3	5	2	0	0	2	1	4	2	1	2	1	0	2	1	1	1	1	3	2	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	2962	87	91	104	134	96	98	40	59	71	62	53	59	11	26	85	82	116	134	82	98	62	19	61	62	49	45	91	76	64	63	101	63	93	126	115	100	93	41	22	11	7	10					
		6.24%	6.96%	6.90%	7.23%	10.26%	6.88%	6.58%	3.81%	5.52%	5.80%	4.32%	3.82%	4.23%	2.95%	4.70%	7.08%	6.82%	8.29%	8.22%	5.11%	6.61%	4.54%	4.21%	5.32%	7.21%	5.09%	4.89%	5.90%	7.05%	6.43%	6.09%	7.93%	5.16%	7.06%	7.39%	7.99%	6.81%	6.46%	5.77%	3.91%	3.64%	2.31%	5.46%					
19	. Малышкин Олег Александрович	805	25	25	23	25	30	26	18	21	27	20	30	24	12	15	15	20	17	15	19	36	21	16	15	11	17	12	17	13	18	16	17	18	27	28	27	23	22	20	15	2	5	2					
		1.70%	2.00%	1.90%	1.60%	1.91%	2.15%	1.74%	1.71%	1.97%	2.20%	1.39%	2.16%	1.72%	3.22%	2.71%	1.25%	1.66%	1.21%	0.92%	1.18%	2.43%	1.54%	3.55%	1.31%	1.28%	1.77%	1.30%	1.10%	1.21%	1.81%	1.55%	1.34%	1.47%	2.05%	1.64%	1.88%	1.57%	1.53%	2.82%	2.67%	0.66%	1.65%	1.09%					
20	. Миронов Сергей Михайлович	263	5	9	9	2	8	12	11	2	10	7	7	4	1	0	8	12	10	10	11	10	4	0	8	6	6	2	6	4	6	6	8	11	6	9	9	5	9	2	5	1	2	0					
		0.55%	0.40%	0.68%	0.63%	0.15%	0.57%	0.81%	1.05%	0.19%	0.82%	0.49%	0.50%	0.29%	0.27%	0.00%	0.67%	1.00%	0.71%	0.61%	0.68%	0.67%	0.29%	0.00%	0.70%	0.70%	0.62%	0.22%	0.39%	0.37%	0.60%	0.58%	0.63%	0.90%	0.46%	0.53%	0.62%	0.34%	0.62%	0.28%	0.89%	0.33%	0.66%	0.00%					
21	. Путин Владимир Владимирович	31488	844	895	962	823	1001	1012	711	723	829	961	944	998	284	361	799	775	896	1034	1032	1002	908	302	715	550	625	629	1037	735	658	673	770	834	815	1063	880	965	963	512	399	229	222	118					
		66.30%	67.52%	67.85%	66.90%	63.02%	71.76%	67.92%	67.65%	67.70%	67.67%	67.02%	68.06%	71.49%	76.14%	65.28%	66.53%	64.42%	64.00%	63.40%	64.26%	67.61%	66.42%	66.96%	62.39%	63.95%	64.97%	68.37%	67.21%	68.18%	66.13%	65.09%	60.49%	68.25%	61.84%	62.38%	61.11%	65.69%	66.88%	72.11%	71.00%	75.83%	73.27%	64.48%					
22	. Хакамада Ирина Муцуовна	2442	67	50	78	79	49	71	60	53	52	70	45	41	12	23	58	49	74	102	109	62	67	28	66	61	61	34	76	56	60	45	81	80	95	133	91	66	80	29	9	4	8	8					
		5.14%	5.36%	3.79%	5.42%	6.05%	3.51%	4.77%	5.71%	4.96%	4.24%	4.88%	3.24%	2.94%	3.22%	4.16%	4.83%	4.07%	5.29%	6.25%	6.79%	4.18%	4.90%	6.21%	5.76%	7.09%	6.34%	3.70%	4.93%	5.19%	6.03%	4.35%	6.36%	6.55%	7.21%	7.81%	6.32%	4.49%	5.56%	4.08%	1.60%	1.32%	2.64%	4.37%					
23	. Харитонов Николай Михайлович	6869	152	154	186	188	135	190	150	147	178	234	233	187	29	98	162	214	213	241	264	200	226	65	199	131	125	143	249	140	132	168	214	150	188	234	245	221	199	70	93	36	47	39					
		14.46%	12.16%	11.68%	12.93%	14.40%	9.68%	12.75%	14.27%	13.76%	14.53%	16.32%	16.80%	13.40%	7.77%	17.72%	13.49%	17.79%	15.21%	14.78%	16.44%	13.50%	16.53%	14.41%	17.36%	15.23%	12.99%	15.54%	16.14%	12.99%	13.27%	16.25%	16.81%	12.27%	14.26%	13.73%	17.01%	15.04%	13.82%	9.86%	16.55%	11.92%	15.51%	21.31%					
																																																	
24	Против всех	2301	60	79	64	49	70	73	55	56	48	64	59	69	17	22	60	45	60	83	79	64	68	16	78	35	68	48	59	40	47	57	77	59	94	103	64	72	69	28	12	15	12	4					
		4.85%	4.80%	5.99%	4.45%	3.75%	5.02%	4.90%	5.23%	5.24%	3.92%	4.46%	4.25%	4.94%	4.56%	3.98%	5.00%	3.74%	4.29%	5.09%	4.92%	4.32%	4.97%	3.55%	6.81%	4.07%	7.07%	5.22%	3.82%	3.71%	4.72%	5.51%	6.05%	4.83%	7.13%	6.04%	4.44%	4.90%	4.79%	3.94%	2.14%	4.97%	3.96%	2.19%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
