Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Краснослободская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473					
11	Число полученных открепительных  удостоверений	370	20	25	20	20	20	20	10	10	5	10	5	5	10	5	5	5	10	5	5	5	10	5	10	10	10	5	10	10	10	10	10	10	15	10	5	10					
12	Число выданных открепительных удостоверений	186	13	21	20	8	16	17	8	3	1	8	0	0	2	1	1	0	3	2	0	1	8	0	4	0	4	0	3	3	3	5	8	0	11	10	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	94	2	5	9	3	11	7	3	2	4	0	4	2	0	4	6	1	3	0	1	3	3	0	1	3	1	0	3	2	2	0	0	2	6	0	0	1					
14	Число неиспользованных открепительных удостоверений	184	7	4	0	12	4	3	2	7	4	2	5	5	8	4	4	5	7	3	5	4	2	5	6	10	6	5	7	7	7	5	2	10	4	0	4	9					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	105	17	27	6	6	4	4	1	1	0	3	0	1	0	0	3	1	0	2	0	0	1	0	0	2	1	0	3	2	12	0	0	2	4	2	0	0					
		0.50%	1.23%	1.70%	0.42%	0.61%	0.41%	0.29%	0.18%	0.22%	0.00%	0.38%	0.00%	1.30%	0.00%	0.00%	0.53%	0.23%	0.00%	0.97%	0.00%	0.00%	0.10%	0.00%	0.00%	0.44%	0.26%	0.00%	0.32%	0.30%	2.28%	0.00%	0.00%	0.51%	0.40%	0.69%	0.00%	0.00%					
19	. Малышкин Олег Александрович	174	17	43	4	8	2	1	3	1	0	11	1	0	0	3	4	1	0	4	7	0	4	0	4	8	4	0	11	4	23	0	0	1	3	2	0	0					
		0.82%	1.23%	2.70%	0.28%	0.81%	0.21%	0.07%	0.55%	0.22%	0.00%	1.41%	0.60%	0.00%	0.00%	0.93%	0.71%	0.23%	0.00%	1.94%	3.11%	0.00%	0.38%	0.00%	0.73%	1.77%	1.04%	0.00%	1.16%	0.60%	4.36%	0.00%	0.00%	0.26%	0.30%	0.69%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	40	4	6	5	4	1	3	0	0	0	2	0	0	0	1	1	0	0	3	0	0	1	1	1	0	0	0	2	0	4	0	0	0	0	1	0	0					
		0.19%	0.29%	0.38%	0.35%	0.41%	0.10%	0.22%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.31%	0.18%	0.00%	0.00%	1.46%	0.00%	0.00%	0.10%	0.71%	0.18%	0.00%	0.00%	0.00%	0.21%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%					
21	. Путин Владимир Владимирович	19502	1261	1258	1391	890	774	1288	515	424	220	731	153	71	508	312	511	435	430	138	206	185	1008	126	528	375	359	147	882	614	457	403	720	378	958	261	206	379					
		92.13%	91.31%	79.02%	97.14%	90.63%	80.04%	94.29%	93.64%	95.07%	97.78%	93.72%	91.62%	92.21%	99.03%	96.89%	90.12%	98.64%	93.28%	66.99%	91.56%	97.37%	96.74%	90.00%	96.88%	82.78%	93.01%	100.00%	93.33%	91.37%	86.72%	98.77%	99.72%	96.92%	96.18%	90.31%	88.41%	98.96%					
22	. Хакамада Ирина Муцуовна	65	8	20	2	4	2	3	0	1	0	4	0	1	0	0	3	0	0	1	0	0	0	0	0	1	2	0	2	2	6	0	0	1	1	1	0	0					
		0.31%	0.58%	1.26%	0.14%	0.41%	0.21%	0.22%	0.00%	0.22%	0.00%	0.51%	0.00%	1.30%	0.00%	0.00%	0.53%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.52%	0.00%	0.21%	0.30%	1.14%	0.00%	0.00%	0.26%	0.10%	0.35%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	874	61	96	14	66	182	66	23	14	2	23	2	4	3	4	35	0	23	14	10	5	20	7	11	39	20	0	42	6	14	5	2	8	25	19	5	4					
		4.13%	4.42%	6.03%	0.98%	6.72%	18.82%	4.83%	4.18%	3.14%	0.89%	2.95%	1.20%	5.19%	0.58%	1.24%	6.17%	0.00%	4.99%	6.80%	4.44%	2.63%	1.92%	5.00%	2.02%	8.61%	5.18%	0.00%	4.44%	0.89%	2.66%	1.23%	0.28%	2.05%	2.51%	6.57%	2.15%	1.04%					
																																											
24	Против всех	91	8	20	8	4	2	1	6	1	1	4	0	0	0	2	6	1	2	3	0	0	0	1	0	1	0	0	2	4	11	0	0	0	2	1	0	0					
		0.43%	0.58%	1.26%	0.56%	0.41%	0.21%	0.07%	1.09%	0.22%	0.44%	0.51%	0.00%	0.00%	0.00%	0.62%	1.06%	0.23%	0.43%	1.46%	0.00%	0.00%	0.00%	0.71%	0.00%	0.22%	0.00%	0.00%	0.21%	0.60%	2.09%	0.00%	0.00%	0.00%	0.20%	0.35%	0.00%	0.00%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
