Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Муслюмовская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070					
22	. Хакамада Ирина Муцуовна	52	0	0	5	2	4	2	2	2	0	2	0	0	0	0	2	2	0	0	0	2	0	0	2	2	0	1	0	1	0	2	0	1	0	0	2	0	2	0	0	0	4	1	7	2					
		0.32%	0.00%	0.00%	0.57%	0.23%	0.46%	0.22%	0.72%	0.86%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.38%	1.36%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.71%	0.65%	0.00%	0.56%	0.00%	0.31%	0.00%	2.13%	0.00%	0.40%	0.00%	0.00%	0.37%	0.00%	0.31%	0.00%	0.00%	0.00%	1.29%	0.24%	2.46%	0.56%					
23	. Харитонов Николай Михайлович	127	9	6	3	9	7	6	3	3	9	2	0	0	0	4	3	1	2	5	0	0	0	1	5	3	1	0	0	0	2	1	4	1	0	5	3	3	2	0	0	6	2	2	12	2					
		0.79%	1.22%	0.90%	0.34%	1.03%	0.81%	0.66%	1.08%	1.29%	1.85%	0.63%	0.00%	0.00%	0.00%	2.53%	0.57%	0.68%	0.49%	2.07%	0.00%	0.00%	0.00%	0.84%	1.79%	0.97%	0.49%	0.00%	0.00%	0.00%	0.86%	1.06%	4.35%	0.40%	0.00%	1.63%	0.55%	2.05%	0.31%	0.00%	0.00%	1.08%	0.65%	0.47%	4.23%	0.56%					
																																																			
24	Против всех	50	0	4	2	2	3	3	0	1	0	0	5	0	0	1	3	1	0	0	1	0	0	0	1	2	0	2	2	4	0	1	0	0	1	0	2	0	0	1	0	0	1	1	3	3					
		0.31%	0.00%	0.60%	0.23%	0.23%	0.35%	0.33%	0.00%	0.43%	0.00%	0.00%	4.85%	0.00%	0.00%	0.63%	0.57%	0.68%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.36%	0.65%	0.00%	1.11%	0.92%	1.23%	0.00%	1.06%	0.00%	0.00%	0.43%	0.00%	0.37%	0.00%	0.00%	0.34%	0.00%	0.00%	0.32%	0.24%	1.06%	0.83%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
