Выборы Президента Российской Федерации																																												
																																												
"Наименование Избирательной комиссии:    Ярославль, Ленинская"																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193					
11	Число полученных открепительных  удостоверений	2146	85	64	63	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	64	64	64	64	85	64	85	85	84	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	337	10	11	11	9	17	12	16	20	15	17	13	11	11	9	13	18	15	11	17	8	9	10	17	8	11	11	7	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	449	11	23	9	11	13	13	5	9	7	17	10	7	20	12	13	13	9	1	9	10	0	3	12	8	13	18	20	84	3	2	5	15	4	10	7	8	15					
14	Число неиспользованных открепительных удостоверений	1809	75	53	52	76	68	73	69	65	70	68	72	74	74	76	72	67	70	74	47	56	55	54	68	56	74	74	77	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	1782	31	55	49	37	75	81	105	103	96	69	73	55	73	83	64	62	73	44	65	63	71	51	58	50	59	53	49	5	4	1	4	5	2	6	1	5	2					
		5.56%	3.44%	5.18%	5.28%	4.53%	5.11%	5.99%	7.74%	6.64%	7.20%	5.42%	6.06%	5.33%	5.86%	6.92%	5.12%	4.75%	6.35%	3.71%	5.41%	5.80%	6.93%	5.01%	5.50%	5.08%	4.74%	5.26%	5.65%	4.90%	2.21%	2.00%	9.52%	4.24%	3.77%	10.71%	1.56%	3.97%	1.33%					
19	. Малышкин Олег Александрович	613	37	23	17	22	25	16	16	21	20	20	20	25	33	27	14	21	15	25	17	11	20	22	23	15	28	28	25	0	2	3	1	1	1	0	3	11	5					
		1.91%	4.11%	2.17%	1.83%	2.69%	1.70%	1.18%	1.18%	1.35%	1.50%	1.57%	1.66%	2.42%	2.65%	2.25%	1.12%	1.61%	1.30%	2.11%	1.42%	1.01%	1.95%	2.16%	2.18%	1.52%	2.25%	2.78%	2.88%	0.00%	1.10%	6.00%	2.38%	0.85%	1.89%	0.00%	4.69%	8.73%	3.33%					
20	. Миронов Сергей Михайлович	294	4	2	3	10	11	17	13	15	12	14	13	11	17	10	7	17	6	6	12	13	6	21	5	5	12	12	9	3	4	0	0	3	0	0	1	0	0					
		0.92%	0.44%	0.19%	0.32%	1.22%	0.75%	1.26%	0.96%	0.97%	0.90%	1.10%	1.08%	1.07%	1.37%	0.83%	0.56%	1.30%	0.52%	0.51%	1.00%	1.20%	0.59%	2.06%	0.47%	0.51%	0.96%	1.19%	1.04%	2.94%	2.21%	0.00%	0.00%	2.54%	0.00%	0.00%	1.56%	0.00%	0.00%					
21	. Путин Владимир Владимирович	22108	661	715	652	531	970	877	857	1045	915	845	818	703	849	788	907	957	797	857	842	752	719	702	772	723	865	717	566	62	143	38	32	87	47	45	48	100	104					
		69.00%	73.36%	67.33%	70.26%	64.99%	66.12%	64.82%	63.20%	67.38%	68.64%	66.38%	67.94%	68.12%	68.19%	65.67%	72.56%	73.28%	69.30%	72.32%	70.11%	69.18%	70.21%	68.96%	73.24%	73.48%	69.53%	71.13%	65.28%	60.78%	79.01%	76.00%	76.19%	73.73%	88.68%	80.36%	75.00%	79.37%	69.33%					
22	. Хакамада Ирина Муцуовна	2236	59	91	81	87	166	109	140	116	93	139	101	74	70	83	83	65	67	54	66	40	52	51	53	70	82	72	57	1	2	1	0	1	0	2	1	2	5					
		6.98%	6.55%	8.57%	8.73%	10.65%	11.32%	8.06%	10.32%	7.48%	6.98%	10.92%	8.39%	7.17%	5.62%	6.92%	6.64%	4.98%	5.83%	4.56%	5.50%	3.68%	5.08%	5.01%	5.03%	7.11%	6.59%	7.14%	6.57%	0.98%	1.10%	2.00%	0.00%	0.85%	0.00%	3.57%	1.56%	1.59%	3.33%					
23	. Харитонов Николай Михайлович	3367	61	117	78	83	146	182	143	166	143	112	108	104	145	160	120	117	117	139	147	157	117	136	82	68	123	92	106	29	10	7	2	12	1	3	9	5	20					
		10.51%	6.77%	11.02%	8.41%	10.16%	9.95%	13.45%	10.55%	10.70%	10.73%	8.80%	8.97%	10.08%	11.65%	13.33%	9.60%	8.96%	10.17%	11.73%	12.24%	14.44%	11.43%	13.36%	7.78%	6.91%	9.89%	9.13%	12.23%	28.43%	5.52%	14.00%	4.76%	10.17%	1.89%	5.36%	14.06%	3.97%	13.33%					
																																												
24	Против всех	1346	39	43	43	36	65	60	71	74	46	61	63	47	46	41	46	61	58	50	39	40	29	28	44	40	59	34	47	1	13	0	2	5	2	0	0	3	10					
		4.20%	4.33%	4.05%	4.63%	4.41%	4.43%	4.43%	5.24%	4.77%	3.45%	4.79%	5.23%	4.55%	3.69%	3.42%	3.68%	4.67%	5.04%	4.22%	3.25%	3.68%	2.83%	2.75%	4.17%	4.07%	4.74%	3.37%	5.42%	0.98%	7.18%	0.00%	4.76%	4.24%	3.77%	0.00%	0.00%	2.38%	6.67%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
