Выборы Президента Российской Федерации																																																																												
																																																																												
Наименование Избирательной комиссии:    Кукморская																																																																												
																																																																												
Итоги голосования 																																																																												
																																																																												
		Сумма	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754					
11	Число полученных открепительных  удостоверений	498	5	3	5	3	5	10	3	3	7	5	5	5	5	5	5	3	10	3	5	3	5	5	5	3	8	3	5	5	5	5	10	3	5	5	5	3	3	8	7	3	5	5	5	6	10	3	3	5	3	5	5	3	5	3	3	5	10	3	5	5	25	25	25	22	25	25	25	10	20					
12	Число выданных открепительных удостоверений	272	3	1	4	0	0	4	1	0	7	4	0	2	0	1	0	0	10	3	0	1	2	1	3	0	2	0	2	0	3	2	6	1	1	0	3	3	0	8	5	0	2	2	5	6	10	0	0	5	3	3	5	3	2	0	3	5	8	2	0	1	13	13	16	7	17	17	21	9	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	186	1	4	2	1	0	6	0	0	1	2	2	0	0	2	0	0	0	0	1	0	0	4	1	0	7	1	2	6	3	3	3	3	0	2	3	5	2	1	0	0	2	4	0	1	4	1	0	3	0	2	2	1	1	0	0	1	1	0	0	2	7	13	12	6	12	12	16	15	0					
14	Число неиспользованных открепительных удостоверений	226	2	2	1	3	5	6	2	3	0	1	5	3	5	4	5	3	0	0	5	2	3	4	2	3	6	3	3	5	2	3	4	2	4	5	2	0	3	0	2	3	3	3	0	0	0	3	3	0	0	2	0	0	3	3	0	0	2	1	5	4	12	12	9	15	8	8	4	1	9					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																												
18	. Глазьев Сергей Юрьевич	312	0	0	1	2	0	7	1	0	4	0	0	6	3	0	0	1	2	0	0	1	0	0	1	0	2	0	9	7	3	1	0	0	5	4	1	0	2	1	3	4	0	12	0	0	1	6	0	8	2	1	7	0	0	0	0	0	5	0	0	3	18	15	37	27	16	9	65	0	9					
		0.94%	0.00%	0.00%	0.17%	0.93%	0.00%	0.46%	0.43%	0.00%	0.55%	0.00%	0.00%	1.15%	0.88%	0.00%	0.00%	0.36%	0.33%	0.00%	0.00%	0.62%	0.00%	0.00%	0.38%	0.00%	0.28%	0.00%	1.38%	1.54%	0.77%	0.35%	0.00%	0.00%	1.08%	0.82%	0.23%	0.00%	1.11%	0.19%	1.16%	1.97%	0.00%	1.82%	0.00%	0.00%	0.23%	4.48%	0.00%	2.04%	1.14%	0.25%	1.13%	0.00%	0.00%	0.00%	0.00%	0.00%	1.07%	0.00%	0.00%	0.68%	1.83%	1.28%	3.15%	3.38%	1.05%	0.74%	4.52%	0.00%	2.43%					
19	. Малышкин Олег Александрович	194	0	1	1	0	0	10	7	0	0	7	0	7	1	0	2	2	2	0	2	0	0	1	0	0	2	0	2	1	0	0	0	0	5	0	3	2	2	1	0	0	0	3	2	0	1	1	0	10	0	0	6	2	2	1	0	0	1	0	1	0	2	11	8	14	21	12	26	0	9					
		0.58%	0.00%	0.44%	0.17%	0.00%	0.00%	0.66%	3.04%	0.00%	0.00%	1.20%	0.00%	1.34%	0.29%	0.00%	0.80%	0.72%	0.33%	0.00%	0.52%	0.00%	0.00%	0.21%	0.00%	0.00%	0.28%	0.00%	0.31%	0.22%	0.00%	0.00%	0.00%	0.00%	1.08%	0.00%	0.68%	0.89%	1.11%	0.19%	0.00%	0.00%	0.00%	0.46%	0.38%	0.00%	0.23%	0.75%	0.00%	2.54%	0.00%	0.00%	0.97%	0.58%	0.45%	0.30%	0.00%	0.00%	0.21%	0.00%	0.18%	0.00%	0.20%	0.94%	0.68%	1.75%	1.37%	0.98%	1.81%	0.00%	2.43%					
20	. Миронов Сергей Михайлович	281	1	0	6	0	0	18	4	0	7	9	0	8	1	0	0	1	4	0	2	0	6	3	1	0	1	1	3	4	3	1	0	0	2	0	3	12	0	0	2	0	0	6	2	5	2	1	0	3	2	0	7	2	0	2	5	0	0	0	2	7	8	12	12	13	15	1	30	13	28					
		0.84%	0.28%	0.00%	1.01%	0.00%	0.00%	1.20%	1.74%	0.00%	0.96%	1.54%	0.00%	1.54%	0.29%	0.00%	0.00%	0.36%	0.66%	0.00%	0.52%	0.00%	0.88%	0.62%	0.38%	0.00%	0.14%	0.36%	0.46%	0.88%	0.77%	0.35%	0.00%	0.00%	0.43%	0.00%	0.68%	5.36%	0.00%	0.00%	0.77%	0.00%	0.00%	0.91%	0.38%	1.78%	0.46%	0.75%	0.00%	0.76%	1.14%	0.00%	1.13%	0.58%	0.00%	0.60%	1.45%	0.00%	0.00%	0.00%	0.37%	1.60%	0.82%	1.03%	1.02%	1.62%	0.98%	0.08%	2.08%	2.26%	7.57%					
21	. Путин Владимир Владимирович	29850	355	225	576	197	259	1421	207	132	695	541	345	493	322	316	240	270	583	173	356	147	659	471	258	268	683	279	621	435	370	276	514	269	447	472	379	201	165	485	246	195	342	617	497	271	422	116	268	271	169	401	582	325	428	320	336	214	453	270	540	414	849	959	804	529	1112	1089	941	481	284					
		89.73%	98.07%	98.25%	96.97%	91.63%	100.00%	94.36%	90.00%	94.29%	95.73%	92.80%	95.57%	94.63%	94.43%	97.53%	95.62%	97.12%	96.36%	98.86%	91.75%	91.30%	97.05%	97.52%	96.99%	95.37%	94.99%	99.29%	94.95%	95.60%	95.12%	96.84%	95.72%	100.00%	96.34%	97.12%	85.94%	89.73%	91.67%	90.49%	94.98%	96.06%	96.61%	93.77%	95.58%	96.44%	96.35%	86.57%	95.37%	68.96%	96.02%	99.50%	94.33%	95.03%	95.96%	95.81%	97.39%	97.72%	96.79%	99.26%	98.72%	94.52%	86.54%	81.97%	68.54%	66.12%	72.63%	89.26%	65.39%	83.65%	76.76%					
22	. Хакамада Ирина Муцуовна	445	0	1	2	3	0	15	3	3	0	6	3	6	3	0	1	0	3	0	2	1	0	1	0	9	13	0	3	3	5	0	0	0	0	1	6	2	2	6	2	1	3	3	9	2	0	2	2	13	0	0	0	1	4	0	0	2	2	1	1	4	7	46	65	23	34	41	73	0	1					
		1.34%	0.00%	0.44%	0.34%	1.40%	0.00%	1.00%	1.30%	2.14%	0.00%	1.03%	0.83%	1.15%	0.88%	0.00%	0.40%	0.00%	0.50%	0.00%	0.52%	0.62%	0.00%	0.21%	0.00%	3.20%	1.81%	0.00%	0.46%	0.66%	1.29%	0.00%	0.00%	0.00%	0.00%	0.21%	1.36%	0.89%	1.11%	1.12%	0.77%	0.49%	0.85%	0.46%	1.73%	0.71%	0.00%	1.49%	0.71%	3.31%	0.00%	0.00%	0.00%	0.29%	0.90%	0.00%	0.00%	0.91%	0.43%	0.37%	0.18%	0.91%	0.71%	3.93%	5.54%	2.88%	2.22%	3.36%	5.07%	0.00%	0.27%					
23	. Харитонов Николай Михайлович	1678	5	2	7	8	0	27	4	5	18	19	7	1	11	7	8	4	5	1	24	12	14	4	5	4	11	0	8	0	6	5	4	0	4	4	33	7	3	40	5	0	4	13	8	3	10	8	5	70	3	0	7	10	6	10	3	3	6	1	1	6	73	99	205	152	222	31	280	75	32					
		5.04%	1.38%	0.87%	1.18%	3.72%	0.00%	1.79%	1.74%	3.57%	2.48%	3.26%	1.94%	0.19%	3.23%	2.16%	3.19%	1.44%	0.83%	0.57%	6.19%	7.45%	2.06%	0.83%	1.88%	1.42%	1.53%	0.00%	1.22%	0.00%	1.54%	1.75%	0.74%	0.00%	0.86%	0.82%	7.48%	3.12%	1.67%	7.46%	1.93%	0.00%	1.13%	1.98%	1.54%	1.07%	2.28%	5.97%	1.78%	17.81%	1.70%	0.00%	1.13%	2.92%	1.35%	2.99%	0.87%	1.37%	1.28%	0.37%	0.18%	1.37%	7.44%	8.46%	17.48%	19.00%	14.50%	2.54%	19.46%	13.04%	8.65%					
																																																																												
24	Против всех	280	1	0	1	5	0	0	2	0	2	1	3	0	0	0	0	0	5	0	2	0	0	3	0	0	5	1	3	2	2	2	4	0	0	5	1	0	3	2	1	0	2	2	2	0	2	0	4	11	0	0	8	0	0	0	0	0	1	0	2	2	18	19	33	30	37	23	24	4	0					
		0.84%	0.28%	0.00%	0.17%	2.33%	0.00%	0.00%	0.87%	0.00%	0.28%	0.17%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.00%	0.52%	0.00%	0.00%	0.62%	0.00%	0.00%	0.70%	0.36%	0.46%	0.44%	0.51%	0.70%	0.74%	0.00%	0.00%	1.03%	0.23%	0.00%	1.67%	0.37%	0.39%	0.00%	0.56%	0.30%	0.38%	0.00%	0.46%	0.00%	1.42%	2.80%	0.00%	0.00%	1.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.37%	0.46%	1.83%	1.62%	2.81%	3.75%	2.42%	1.89%	1.67%	0.70%	0.00%					
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
