Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Кореневская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  577	УИК  578	УИК  579	УИК  580	УИК  581	УИК  582	УИК  583	УИК  584	УИК  585	УИК  586	УИК  587	УИК  588	УИК  589					
		2.33%	3.54%	2.49%	2.29%	2.16%	0.91%	0.00%	1.26%	0.85%	2.23%	1.28%	2.04%	1.93%	2.90%	1.76%	1.26%	1.04%	4.63%	5.53%	1.86%	1.62%	1.35%	2.47%	1.66%	5.51%	1.05%	2.34%	1.71%					
20	. Миронов Сергей Михайлович	78	9	14	1	1	3	0	3	0	0	3	2	4	5	5	2	2	6	2	0	3	0	0	4	0	2	3	4					
		0.67%	0.59%	0.76%	0.25%	0.43%	2.73%	0.00%	0.95%	0.00%	0.00%	0.64%	1.36%	0.59%	0.81%	2.94%	0.42%	2.08%	1.46%	0.79%	0.00%	0.49%	0.00%	0.00%	1.11%	0.00%	0.42%	1.75%	0.76%					
21	. Путин Владимир Владимирович	8473	1058	1275	317	174	94	57	239	77	192	365	90	452	452	124	307	83	299	172	462	450	298	209	217	116	354	143	397					
		72.71%	69.29%	69.11%	80.66%	75.32%	85.45%	75.00%	75.39%	65.81%	85.71%	78.16%	61.22%	67.16%	72.79%	72.94%	64.63%	86.46%	72.93%	67.98%	86.03%	73.05%	67.27%	86.01%	60.11%	91.34%	74.06%	83.63%	75.62%					
22	. Хакамада Ирина Муцуовна	191	27	39	6	4	1	1	4	4	1	5	4	13	9	5	9	1	8	4	5	9	4	3	7	0	7	1	10					
		1.64%	1.77%	2.11%	1.53%	1.73%	0.91%	1.32%	1.26%	3.42%	0.45%	1.07%	2.72%	1.93%	1.45%	2.94%	1.89%	1.04%	1.95%	1.58%	0.93%	1.46%	0.90%	1.23%	1.94%	0.00%	1.46%	0.58%	1.90%					
23	. Харитонов Николай Михайлович	2088	285	369	42	34	9	12	60	32	17	59	42	150	106	25	137	9	64	47	45	116	115	13	109	2	96	13	80					
		17.92%	18.66%	20.00%	10.69%	14.72%	8.18%	15.79%	18.93%	27.35%	7.59%	12.63%	28.57%	22.29%	17.07%	14.71%	28.84%	9.38%	15.61%	18.58%	8.38%	18.83%	25.96%	5.35%	30.19%	1.57%	20.08%	7.60%	15.24%					
																																		
24	Против всех	170	34	39	3	9	0	0	0	0	1	6	2	20	8	1	6	0	1	5	3	6	4	5	5	0	3	2	7					
		1.46%	2.23%	2.11%	0.76%	3.90%	0.00%	0.00%	0.00%	0.00%	0.45%	1.28%	1.36%	2.97%	1.29%	0.59%	1.26%	0.00%	0.24%	1.98%	0.56%	0.97%	0.90%	2.06%	1.39%	0.00%	0.63%	1.17%	1.33%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
