Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Островская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510					
		12.96%	20.00%	10.00%	8.48%	22.40%	10.77%	18.96%	3.61%	8.20%	25.69%	14.96%	7.66%	15.38%	4.81%	11.30%	9.15%	7.41%	6.69%	7.98%	10.89%	14.05%	12.02%	13.92%	14.95%	15.53%	14.63%					
																																
24	Против всех	110	12	1	4	6	7	2	3	0	0	4	2	2	2	2	9	1	5	0	0	0	4	15	9	11	9					
		1.68%	3.24%	0.71%	2.42%	3.28%	1.93%	0.74%	3.61%	0.00%	0.00%	1.46%	0.85%	1.40%	1.92%	0.87%	2.94%	0.93%	1.52%	0.00%	0.00%	0.00%	1.55%	2.58%	1.60%	1.88%	2.44%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
