Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Тимирязевский район																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №3065					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	739	29	34	32	23	21	21	24	24	13	61	31	24	22	22	23	25	38	27	37	24	43	141					
14	Число неиспользованных открепительных удостоверений	391	18	8	11	22	17	31	8	8	20	47	26	18	23	25	24	13	15	13	21	3	20	0					
15	"Число открепительных удостоверений, выданных в ТИК"	28	0	4	1	0	2	1	3	2	0	2	0	1	0	2	0	0	1	0	3	5	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	2277	128	103	123	105	91	118	136	119	97	81	90	82	87	65	117	139	115	99	112	125	97	48					
		7.35%	8.92%	7.03%	8.37%	7.00%	6.73%	9.24%	8.08%	7.42%	7.32%	4.33%	7.65%	5.99%	7.08%	5.64%	8.22%	8.50%	7.94%	6.94%	8.19%	8.32%	6.14%	7.13%					
19	. Малышкин Олег Александрович	351	17	5	30	21	3	17	16	16	18	37	9	27	10	13	21	21	10	13	15	15	12	5					
		1.13%	1.18%	0.34%	2.04%	1.40%	0.22%	1.33%	0.95%	1.00%	1.36%	1.98%	0.77%	1.97%	0.81%	1.13%	1.47%	1.28%	0.69%	0.91%	1.10%	1.00%	0.76%	0.74%					
20	. Миронов Сергей Михайлович	150	8	11	6	6	7	7	8	12	4	10	11	6	8	3	3	7	5	8	4	8	3	5					
		0.48%	0.56%	0.75%	0.41%	0.40%	0.52%	0.55%	0.48%	0.75%	0.30%	0.53%	0.94%	0.44%	0.65%	0.26%	0.21%	0.43%	0.35%	0.56%	0.29%	0.53%	0.19%	0.74%					
21	. Путин Владимир Владимирович	19993	853	971	906	986	910	798	1070	977	869	1287	780	963	811	799	940	1041	885	902	895	858	1029	463					
		64.57%	59.44%	66.23%	61.67%	65.78%	67.26%	62.49%	63.54%	60.95%	65.58%	68.82%	66.33%	70.39%	65.99%	69.30%	66.01%	63.63%	61.12%	63.25%	65.42%	57.12%	65.09%	68.80%					
22	. Хакамада Ирина Муцуовна	2931	164	153	136	150	125	98	164	180	102	125	93	94	128	91	121	146	176	176	101	205	173	30					
		9.47%	11.43%	10.44%	9.26%	10.01%	9.24%	7.67%	9.74%	11.23%	7.70%	6.68%	7.91%	6.87%	10.41%	7.89%	8.50%	8.92%	12.15%	12.34%	7.38%	13.65%	10.94%	4.46%					
23	. Харитонов Николай Михайлович	2653	147	105	150	123	123	131	154	170	142	117	93	85	87	91	102	146	135	120	122	127	129	54					
		8.57%	10.24%	7.16%	10.21%	8.21%	9.09%	10.26%	9.14%	10.61%	10.72%	6.26%	7.91%	6.21%	7.08%	7.89%	7.16%	8.92%	9.32%	8.42%	8.92%	8.46%	8.16%	8.02%					
																													
24	Против всех	2354	111	99	103	98	84	97	121	116	83	206	94	99	87	73	112	113	114	102	101	155	127	59					
		7.60%	7.74%	6.75%	7.01%	6.54%	6.21%	7.60%	7.19%	7.24%	6.26%	11.02%	7.99%	7.24%	7.08%	6.33%	7.87%	6.91%	7.87%	7.15%	7.38%	10.32%	8.03%	8.77%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
