Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Кармаскалинская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	160	3	2	12	0	7	3	3	8	9	1	2	2	0	2	9	1	1	0	7	8	5	0	2	1	0	2	1	0	6	3	3	3	6	6	5	10	2	2	3	0	4	2	9	5					
14	Число неиспользованных открепительных удостоверений	191	3	2	0	0	0	0	4	11	2	2	0	2	2	0	0	4	5	6	62	20	2	0	2	2	2	10	9	2	1	5	0	2	5	2	1	2	2	9	0	4	2	2	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	20	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	2	0					
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.43%	0.22%	0.07%	0.06%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.09%	0.00%	0.09%	0.00%	0.12%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%					
19	. Малышкин Олег Александрович	20	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	3	4	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0					
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.20%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.12%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%					
20	. Миронов Сергей Михайлович	30	0	0	0	1	0	0	0	11	0	0	0	0	0	5	0	1	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	4	0					
		0.09%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.43%	0.22%	0.14%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.12%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%					
21	. Путин Владимир Владимирович	33009	579	281	516	433	1231	409	966	1902	762	154	310	221	369	1364	1573	225	454	1440	1571	2100	453	1121	636	192	192	744	584	277	1080	601	1164	262	824	259	432	726	187	628	270	631	486	639	2107	1654					
		98.98%	99.66%	99.29%	99.42%	99.31%	99.92%	99.51%	99.79%	98.81%	100.00%	99.35%	98.73%	97.79%	99.46%	97.99%	99.49%	97.83%	98.48%	98.03%	98.00%	99.29%	97.63%	99.47%	99.07%	99.48%	99.48%	99.20%	99.15%	99.28%	99.45%	99.83%	98.98%	98.13%	98.10%	98.11%	98.63%	99.05%	98.94%	99.37%	99.63%	100.00%	100.00%	100.00%	98.23%	98.57%					
22	. Хакамада Ирина Муцуовна	33	0	0	1	0	0	0	1	1	0	0	0	0	1	4	0	1	1	4	4	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	5	7					
		0.10%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.10%	0.05%	0.00%	0.00%	0.00%	0.00%	0.27%	0.29%	0.00%	0.43%	0.22%	0.27%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.37%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.42%					
23	. Харитонов Николай Михайлович	176	2	0	2	2	1	2	1	2	0	1	2	0	1	4	8	2	4	7	23	15	11	2	3	1	0	6	4	1	1	0	1	3	12	2	5	6	2	0	1	0	0	0	19	17					
		0.53%	0.34%	0.00%	0.39%	0.46%	0.08%	0.49%	0.10%	0.10%	0.00%	0.65%	0.64%	0.00%	0.27%	0.29%	0.51%	0.87%	0.87%	0.48%	1.43%	0.71%	2.37%	0.18%	0.47%	0.52%	0.00%	0.80%	0.68%	0.36%	0.09%	0.00%	0.09%	1.12%	1.43%	0.76%	1.14%	0.82%	1.06%	0.00%	0.37%	0.00%	0.00%	0.00%	0.89%	1.01%					
																																																			
24	Против всех	38	0	2	0	0	0	0	0	2	0	0	2	0	0	7	0	0	0	5	0	0	0	2	3	0	0	0	0	1	0	0	7	0	0	0	1	0	0	2	0	0	0	0	4	0					
		0.11%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.64%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.18%	0.47%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
