Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Ессентукская городская 																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379					
11	Число полученных открепительных  удостоверений	600	20	20	20	20	25	15	15	15	20	25	20	15	25	25	25	20	15	20	15	25	25	15	25	25	20	15	15	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	286	12	6	7	18	10	2	8	8	6	13	9	3	11	10	7	8	5	13	2	10	13	7	15	11	15	8	12	12	17	8	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	669	20	8	13	4	7	9	9	7	7	14	9	3	16	7	7	5	1	13	3	5	6	8	13	11	7	4	5	4	8	1	29	51	11	106	7	3	15	27	79	8	6	55	38					
14	Число неиспользованных открепительных удостоверений	314	8	14	13	2	15	13	7	7	14	12	11	12	14	15	18	12	10	7	13	15	12	8	10	14	5	7	3	8	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	38	1	0	0	0	1	0	0	0	0	0	2	0	1	1	0	0	0	1	0	0	2	0	25	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	1628	52	25	49	60	69	37	20	29	58	69	45	34	78	87	59	44	27	43	19	65	82	46	79	87	70	39	45	89	63	21	2	3	1	12	0	2	0	5	6	1	1	4	1					
		4.59%	4.33%	2.48%	4.22%	4.92%	5.29%	4.44%	2.39%	2.91%	5.05%	4.86%	3.98%	3.62%	4.83%	5.58%	4.04%	3.63%	3.61%	3.98%	2.75%	4.97%	5.60%	5.93%	5.30%	6.17%	5.37%	4.58%	4.13%	6.99%	4.58%	1.92%	4.00%	5.45%	9.09%	11.21%	0.00%	22.22%	0.00%	18.52%	7.59%	6.25%	10.00%	7.27%	2.63%					
19	. Малышкин Олег Александрович	700	27	13	22	33	32	17	10	23	25	33	20	18	31	37	38	27	16	21	16	23	25	22	18	30	19	18	21	28	18	14	0	1	0	1	0	0	0	0	1	0	0	1	1					
		1.97%	2.25%	1.29%	1.89%	2.71%	2.45%	2.04%	1.20%	2.30%	2.18%	2.33%	1.77%	1.92%	1.92%	2.37%	2.60%	2.23%	2.14%	1.94%	2.31%	1.76%	1.71%	2.84%	1.21%	2.13%	1.46%	2.12%	1.93%	2.20%	1.31%	1.28%	0.00%	1.82%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	1.27%	0.00%	0.00%	1.82%	2.63%					
20	. Миронов Сергей Михайлович	261	12	9	5	6	11	3	2	11	9	5	6	7	15	12	16	5	7	8	8	11	12	6	5	19	10	5	5	10	10	7	2	0	0	1	0	0	0	0	0	0	1	0	0					
		0.74%	1.00%	0.89%	0.43%	0.49%	0.84%	0.36%	0.24%	1.10%	0.78%	0.35%	0.53%	0.75%	0.93%	0.77%	1.10%	0.41%	0.94%	0.74%	1.16%	0.84%	0.82%	0.77%	0.34%	1.35%	0.77%	0.59%	0.46%	0.78%	0.73%	0.64%	4.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	23096	767	710	780	797	862	559	608	666	755	925	752	627	1028	947	1006	771	470	731	465	843	911	493	935	886	840	554	765	788	893	651	36	39	6	63	7	4	13	17	42	11	6	41	26					
		65.09%	63.92%	70.30%	67.18%	65.38%	66.10%	67.03%	72.73%	66.73%	65.71%	65.19%	66.55%	66.84%	63.61%	60.78%	68.86%	63.67%	62.83%	67.69%	67.20%	64.45%	62.27%	63.53%	62.71%	62.79%	64.47%	65.10%	70.18%	61.85%	64.85%	59.40%	72.00%	70.91%	54.55%	58.88%	100.00%	44.44%	86.67%	62.96%	53.16%	68.75%	60.00%	74.55%	68.42%					
22	. Хакамада Ирина Муцуовна	1073	49	28	35	38	24	23	18	31	32	44	31	28	65	57	39	37	20	33	22	31	63	32	51	37	34	15	31	35	42	26	0	5	0	3	0	1	2	2	4	0	2	1	2					
		3.02%	4.08%	2.77%	3.01%	3.12%	1.84%	2.76%	2.15%	3.11%	2.79%	3.10%	2.74%	2.99%	4.02%	3.66%	2.67%	3.06%	2.67%	3.06%	3.18%	2.37%	4.31%	4.12%	3.42%	2.62%	2.61%	1.76%	2.84%	2.75%	3.05%	2.37%	0.00%	9.09%	0.00%	2.80%	0.00%	11.11%	13.33%	7.41%	5.06%	0.00%	20.00%	1.82%	5.26%					
23	. Харитонов Николай Михайлович	7099	235	181	203	230	244	159	148	197	237	275	207	184	319	344	236	264	174	197	132	258	298	146	344	296	265	191	169	252	298	336	7	6	2	24	0	2	0	3	20	3	0	8	5					
		20.01%	19.58%	17.92%	17.48%	18.87%	18.71%	19.06%	17.70%	19.74%	20.63%	19.38%	18.32%	19.62%	19.74%	22.08%	16.15%	21.80%	23.26%	18.24%	19.08%	19.72%	20.37%	18.81%	23.07%	20.98%	20.34%	22.44%	15.50%	19.78%	21.64%	30.66%	14.00%	10.91%	18.18%	22.43%	0.00%	22.22%	0.00%	11.11%	25.32%	18.75%	0.00%	14.55%	13.16%					
																																																		
24	Против всех	1431	54	37	64	51	60	33	30	36	27	63	62	32	63	65	55	56	26	43	29	63	66	26	49	51	62	20	46	67	44	35	3	1	2	3	0	0	0	0	3	1	0	0	3					
		4.03%	4.50%	3.66%	5.51%	4.18%	4.60%	3.96%	3.59%	3.61%	2.35%	4.44%	5.49%	3.41%	3.90%	4.17%	3.76%	4.62%	3.48%	3.98%	4.19%	4.82%	4.51%	3.35%	3.29%	3.61%	4.76%	2.35%	4.22%	5.26%	3.20%	3.19%	6.00%	1.82%	18.18%	2.80%	0.00%	0.00%	0.00%	0.00%	3.80%	6.25%	0.00%	0.00%	7.89%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
