Выборы Президента Российской Федерации																																																																																																																																						
																																																																																																																																						
Наименование Избирательной комиссии:    Одинцовская																																																																																																																																						
																																																																																																																																						
Итоги голосования 																																																																																																																																						
																																																																																																																																						
		Сумма	УИК  1740	УИК  1741	УИК  1742	УИК  1743	УИК  1744	УИК  1745	УИК  1746	УИК  1747	УИК  1748	УИК  1749	УИК  1750	УИК  1751	УИК  1752	УИК  1753	УИК  1754	УИК  1755	УИК  1756	УИК  1757	УИК  1758	УИК  1759	УИК  1760	УИК  1761	УИК  1762	УИК  1763	УИК  1764	УИК  1765	УИК  1766	УИК  1767	УИК  1768	УИК  1769	УИК  1770	УИК  1771	УИК  1772	УИК  1773	УИК  1774	УИК  1775	УИК  1776	УИК  1777	УИК  1778	УИК  1779	УИК  1780	УИК  1781	УИК  1782	УИК  1783	УИК  1784	УИК  1785	УИК  1786	УИК  1787	УИК  1788	УИК  1789	УИК  1790	УИК  1791	УИК  1792	УИК  1793	УИК  1794	УИК  1795	УИК  1796	УИК  1797	УИК  1798	УИК  1799	УИК  1800	УИК  1801	УИК  1802	УИК  1803	УИК  1804	УИК  1805	УИК  1806	УИК  1807	УИК  1808	УИК  1809	УИК  1810	УИК  1811	УИК  1812	УИК  1813	УИК  1814	УИК  1815	УИК  1816	УИК  1817	УИК  1818	УИК  1819	УИК  1820	УИК  1821	УИК  1822	УИК  1823	УИК  1824	УИК  1825	УИК  1826	УИК  1827	УИК  1828	УИК  1829	УИК  1830	УИК  1831	УИК  1832	УИК  1833	УИК  1834	УИК  1835	УИК  1836	УИК  1837	УИК  1838	УИК  1839	УИК  1840	УИК  1841	УИК  1842	УИК  1843	УИК  1844	УИК  1845	УИК  1846	УИК  1847	УИК  1848	УИК  1849	УИК  1850	УИК  1851	УИК  1852	УИК  1853	УИК  1854	УИК  1855	УИК  1856	УИК  1857	УИК  1858	УИК  1859	УИК  1860	УИК  1861	УИК  1862	УИК  1863	УИК  1864	УИК  1865	УИК  1866					
19	. Малышкин Олег Александрович	2195	15	31	11	21	9	18	13	20	16	17	18	10	3	16	14	24	17	22	18	13	7	12	13	19	14	7	8	29	12	19	18	23	6	6	12	24	19	30	21	19	20	10	24	6	21	24	18	16	27	26	26	2	28	13	25	32	4	15	15	14	18	17	10	12	27	13	24	15	24	15	10	5	0	1	1	2	4	16	18	9	49	31	17	41	9	6	12	33	24	13	31	14	20	4	29	2	7	28	3	25	22	27	4	43	33	21	28	26	24	13	13	17	11	29	6	3	19	28	15	12	13	48	56	4	15	10	6					
		1.52%	1.15%	2.40%	0.95%	1.38%	0.76%	1.51%	0.84%	1.60%	1.01%	1.01%	1.19%	0.95%	1.84%	1.13%	1.10%	2.07%	1.14%	1.52%	1.42%	1.17%	0.46%	0.87%	1.04%	1.46%	1.08%	0.55%	1.05%	2.16%	1.24%	1.32%	1.17%	1.71%	0.59%	0.53%	1.13%	1.80%	1.61%	2.22%	1.72%	1.46%	2.11%	0.96%	1.61%	2.69%	1.66%	1.55%	1.17%	1.13%	1.77%	1.85%	1.51%	0.80%	1.81%	0.75%	1.53%	2.08%	0.51%	2.12%	1.35%	2.36%	1.92%	1.35%	0.86%	1.28%	2.16%	1.03%	1.66%	1.07%	2.03%	1.11%	0.99%	0.59%	0.00%	0.34%	0.65%	1.11%	1.14%	1.77%	1.47%	0.98%	3.47%	1.78%	1.43%	3.09%	1.51%	0.94%	2.37%	1.87%	1.34%	1.84%	2.15%	1.70%	1.50%	1.16%	2.52%	0.82%	0.73%	1.62%	0.98%	2.14%	1.67%	2.01%	0.69%	2.28%	2.05%	1.61%	2.55%	1.81%	1.67%	1.21%	1.86%	0.89%	0.72%	2.22%	0.62%	2.19%	1.44%	1.91%	1.95%	1.25%	0.81%	6.80%	4.62%	0.92%	1.28%	2.15%	0.88%					
20	. Миронов Сергей Михайлович	886	10	17	6	15	9	16	11	12	14	7	13	4	3	14	10	12	6	11	6	8	7	12	5	8	14	8	4	16	3	13	16	5	9	11	4	14	10	14	14	3	10	6	4	2	2	10	9	7	7	8	4	0	10	7	7	8	4	3	6	1	7	5	7	6	7	8	4	2	2	10	3	5	3	1	0	3	3	11	10	7	4	6	13	6	6	1	3	13	4	3	3	5	2	2	14	2	3	8	2	2	9	9	2	22	6	16	5	3	6	3	4	7	4	6	2	2	3	15	4	4	9	3	10	1	13	1	2					
		0.61%	0.77%	1.32%	0.52%	0.99%	0.76%	1.34%	0.71%	0.96%	0.88%	0.42%	0.86%	0.38%	1.84%	0.98%	0.79%	1.04%	0.40%	0.76%	0.47%	0.72%	0.46%	0.87%	0.40%	0.61%	1.08%	0.63%	0.52%	1.19%	0.31%	0.90%	1.04%	0.37%	0.88%	0.96%	0.38%	1.05%	0.85%	1.04%	1.15%	0.23%	1.06%	0.57%	0.27%	0.90%	0.16%	0.65%	0.58%	0.50%	0.46%	0.57%	0.23%	0.00%	0.65%	0.40%	0.43%	0.52%	0.51%	0.42%	0.54%	0.17%	0.75%	0.40%	0.60%	0.64%	0.56%	0.63%	0.28%	0.14%	0.17%	0.74%	0.30%	0.59%	0.83%	0.34%	0.00%	1.67%	0.85%	1.21%	0.82%	0.76%	0.28%	0.35%	1.10%	0.45%	1.01%	0.16%	0.59%	0.74%	0.22%	0.42%	0.21%	0.61%	0.15%	0.58%	1.21%	0.82%	0.31%	0.46%	0.66%	0.17%	0.68%	0.67%	0.35%	1.17%	0.37%	1.23%	0.46%	0.21%	0.42%	0.28%	0.57%	0.37%	0.26%	0.46%	0.21%	1.46%	0.23%	1.02%	0.52%	0.42%	0.56%	0.42%	0.83%	0.23%	1.11%	0.21%	0.29%					
21	. Путин Владимир Владимирович	102536	922	955	772	1100	867	751	926	863	1037	1134	1000	681	110	894	807	828	1075	949	842	747	976	923	740	856	906	874	499	959	806	978	1118	883	708	719	681	939	785	909	824	955	688	779	1048	173	918	1075	1075	899	1074	1005	1485	188	1146	1196	1146	1233	618	573	784	434	655	931	843	719	890	794	1258	1019	1040	943	737	596	266	219	118	99	217	529	624	665	990	1256	796	1004	435	451	366	1277	1418	528	1034	603	1022	275	763	199	822	1336	203	925	953	881	461	1343	1093	926	783	1006	1050	848	522	1352	1014	1040	827	110	894	976	445	635	1267	512	860	312	899	330	497					
		70.87%	70.92%	73.92%	66.84%	72.51%	72.86%	63.11%	59.94%	68.98%	65.38%	67.54%	66.01%	64.49%	67.48%	62.87%	63.69%	71.56%	72.39%	65.45%	66.25%	67.30%	63.79%	67.23%	58.92%	65.64%	70.12%	68.55%	65.40%	71.30%	83.52%	67.96%	72.79%	65.75%	69.41%	63.01%	64.06%	70.55%	66.41%	67.38%	67.54%	73.35%	72.73%	74.40%	70.38%	77.58%	72.68%	69.58%	69.76%	63.76%	70.57%	71.33%	86.44%	75.50%	74.17%	69.09%	69.92%	80.01%	78.83%	81.16%	70.44%	73.19%	69.90%	73.89%	72.17%	76.49%	71.20%	62.87%	86.94%	72.48%	87.99%	70.01%	73.26%	69.95%	73.28%	75.26%	76.13%	55.00%	61.82%	58.39%	51.06%	72.60%	70.16%	72.27%	67.12%	75.72%	72.86%	70.36%	72.19%	72.52%	79.00%	74.68%	71.56%	73.36%	76.67%	79.94%	66.18%	81.89%	85.98%	77.27%	66.56%	79.06%	72.53%	65.65%	80.03%	71.17%	68.01%	71.12%	71.38%	69.91%	72.87%	79.03%	74.68%	70.86%	66.62%	79.63%	85.61%	80.29%	67.68%	66.44%	57.72%	66.28%	78.70%	72.52%	70.96%	71.40%	76.58%	70.82%	72.87%					
22	. Хакамада Ирина Муцуовна	6384	61	60	43	61	55	62	99	52	81	98	73	53	14	89	70	62	63	84	87	84	92	67	87	62	64	74	80	66	40	78	55	76	51	68	62	57	64	62	66	42	45	51	59	7	51	81	81	89	84	78	32	8	47	73	77	33	24	28	48	20	36	42	57	35	39	66	27	53	16	74	43	69	12	15	10	30	22	56	92	31	52	71	70	62	16	24	10	72	45	28	48	38	27	4	41	5	22	48	13	20	38	55	21	68	36	45	38	46	49	28	31	85	106	29	22	2	61	80	59	51	28	23	69	11	37	15	30					
		4.41%	4.69%	4.64%	3.72%	4.02%	4.62%	5.21%	6.41%	4.16%	5.11%	5.84%	4.82%	5.02%	8.59%	6.26%	5.52%	5.36%	4.24%	5.79%	6.85%	7.57%	6.01%	4.88%	6.93%	4.75%	4.95%	5.80%	10.48%	4.91%	4.15%	5.42%	3.58%	5.66%	5.00%	5.96%	5.83%	4.28%	5.41%	4.60%	5.41%	3.23%	4.76%	4.87%	3.96%	3.14%	4.04%	5.24%	5.26%	6.31%	5.52%	5.54%	1.86%	3.21%	3.04%	4.22%	4.70%	2.14%	3.06%	3.97%	4.31%	3.37%	3.84%	3.33%	4.88%	3.72%	3.12%	5.23%	1.87%	3.77%	1.35%	5.49%	4.27%	8.10%	3.31%	5.15%	6.45%	16.67%	6.27%	6.18%	7.53%	3.38%	3.69%	4.09%	5.90%	4.68%	2.68%	3.74%	1.97%	4.09%	2.51%	3.96%	3.32%	4.62%	2.03%	1.16%	3.56%	2.06%	2.30%	2.78%	4.26%	1.71%	2.89%	4.10%	3.65%	3.60%	2.24%	3.46%	3.46%	3.20%	3.40%	2.61%	4.43%	4.45%	6.96%	2.22%	2.28%	1.46%	4.62%	5.45%	7.65%	5.32%	1.74%	3.26%	5.69%	2.52%	3.15%	3.22%	4.40%					
23	. Харитонов Николай Михайлович	14158	124	112	153	129	98	155	241	135	185	195	202	151	12	187	165	71	117	176	130	94	193	136	169	163	110	109	45	94	26	143	153	138	101	146	113	136	133	161	106	128	61	77	162	14	128	110	100	174	89	81	45	23	144	217	187	113	59	30	113	47	77	137	80	58	157	170	60	130	22	123	77	66	37	27	14	14	50	104	199	61	172	139	142	96	84	78	62	156	152	39	161	78	171	35	210	18	40	128	40	116	128	168	40	171	205	127	109	180	158	76	48	261	163	95	48	7	135	128	61	98	160	63	141	62	118	57	62					
		9.79%	9.54%	8.67%	13.25%	8.50%	8.24%	13.03%	15.60%	10.79%	11.66%	11.61%	13.33%	14.30%	7.36%	13.15%	13.02%	6.14%	7.88%	12.14%	10.23%	8.47%	12.61%	9.91%	13.46%	12.50%	8.51%	8.55%	5.90%	6.99%	2.69%	9.94%	9.96%	10.28%	9.90%	12.80%	10.63%	10.22%	11.25%	11.93%	8.69%	9.83%	6.45%	7.35%	10.88%	6.28%	10.13%	7.12%	6.49%	12.34%	5.85%	5.75%	2.62%	9.24%	9.32%	12.54%	11.41%	7.33%	7.53%	4.25%	10.15%	7.93%	8.22%	10.87%	6.85%	6.17%	12.56%	13.46%	4.15%	9.25%	1.86%	9.13%	7.65%	7.75%	10.19%	9.28%	9.03%	7.78%	14.25%	11.48%	16.28%	6.66%	12.19%	8.00%	11.97%	7.24%	14.07%	12.17%	12.23%	8.86%	8.47%	5.52%	11.14%	9.49%	12.83%	10.17%	18.21%	7.41%	4.18%	7.40%	13.11%	9.91%	9.74%	12.52%	6.94%	9.06%	12.76%	9.75%	9.94%	12.51%	10.96%	7.08%	6.87%	13.68%	10.71%	7.27%	4.97%	5.11%	10.22%	8.71%	7.91%	10.23%	9.94%	8.92%	11.63%	14.19%	10.05%	12.23%	9.09%					
