Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Холмогорская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	285	3	0	3	2	25	19	1	2	4	4	37	2	4	16	1	2	13	4	18	1	2	4	1	3	3	1	15	5	2	39	3	2	0	4	2	2	0	4	4	5	9	6	7	1					
		2.00%	0.91%	0.00%	2.14%	0.84%	2.53%	1.46%	0.79%	0.93%	1.91%	3.17%	2.83%	2.02%	1.14%	1.75%	0.75%	1.77%	1.99%	0.81%	3.31%	0.70%	1.37%	2.50%	0.44%	1.61%	2.91%	0.90%	2.74%	3.55%	2.63%	2.57%	3.06%	2.20%	0.00%	1.56%	1.26%	2.20%	0.00%	2.30%	1.21%	3.42%	1.60%	1.92%	10.94%	1.56%					
19	. Малышкин Олег Александрович	257	5	4	2	2	14	34	1	4	3	1	30	1	6	13	1	2	18	11	8	2	2	5	5	2	1	2	10	7	0	22	0	1	1	3	1	3	1	4	3	2	10	6	3	1					
		1.80%	1.51%	2.61%	1.43%	0.84%	1.42%	2.61%	0.79%	1.86%	1.44%	0.79%	2.29%	1.01%	1.71%	1.42%	0.75%	1.77%	2.75%	2.23%	1.47%	1.40%	1.37%	3.12%	2.21%	1.08%	0.97%	1.80%	1.82%	4.96%	0.00%	1.45%	0.00%	1.10%	1.92%	1.17%	0.63%	3.30%	1.20%	2.30%	0.91%	1.37%	1.78%	1.92%	4.69%	1.56%					
20	. Миронов Сергей Михайлович	129	0	1	0	4	12	5	0	1	4	0	15	1	3	4	0	0	5	5	7	1	1	0	2	1	2	0	9	3	0	18	1	1	0	2	5	1	0	0	5	4	4	2	0	0					
		0.90%	0.00%	0.65%	0.00%	1.68%	1.21%	0.38%	0.00%	0.47%	1.91%	0.00%	1.15%	1.01%	0.86%	0.44%	0.00%	0.00%	0.76%	1.01%	1.29%	0.70%	0.68%	0.00%	0.88%	0.54%	1.94%	0.00%	1.64%	2.13%	0.00%	1.19%	1.02%	1.10%	0.00%	0.78%	3.14%	1.10%	0.00%	0.00%	1.52%	2.74%	0.71%	0.64%	0.00%	0.00%					
21	. Путин Владимир Владимирович	11435	272	123	102	192	754	1034	111	172	159	108	1062	91	301	764	122	102	536	394	441	110	124	140	190	147	76	89	439	96	66	1149	74	77	45	218	134	77	68	135	266	113	468	201	36	57					
		80.06%	82.18%	80.39%	72.86%	80.67%	76.32%	79.23%	88.10%	80.00%	76.08%	85.71%	81.19%	91.92%	86.00%	83.50%	91.73%	90.27%	81.96%	79.76%	81.22%	76.92%	84.93%	87.50%	84.07%	79.03%	73.79%	80.18%	80.11%	68.09%	86.84%	75.69%	75.51%	84.62%	86.54%	84.82%	84.28%	84.62%	81.93%	77.59%	80.61%	77.40%	83.13%	64.22%	56.25%	89.06%					
22	. Хакамада Ирина Муцуовна	303	2	4	4	4	27	32	3	7	10	2	27	1	3	17	1	1	11	15	14	3	2	2	0	7	1	0	12	1	2	42	0	0	1	1	3	1	0	7	5	6	9	10	2	1					
		2.12%	0.60%	2.61%	2.86%	1.68%	2.73%	2.45%	2.38%	3.26%	4.78%	1.59%	2.06%	1.01%	0.86%	1.86%	0.75%	0.88%	1.68%	3.04%	2.58%	2.10%	1.37%	1.25%	0.00%	3.76%	0.97%	0.00%	2.19%	0.71%	2.63%	2.77%	0.00%	0.00%	1.92%	0.39%	1.89%	1.10%	0.00%	4.02%	1.52%	4.11%	1.60%	3.19%	3.12%	1.56%					
23	. Харитонов Николай Михайлович	1561	43	14	23	31	126	141	9	22	15	9	111	3	29	79	4	4	64	56	39	26	11	7	24	24	15	17	48	25	3	218	19	9	5	24	12	6	11	23	42	15	55	81	16	3					
		10.93%	12.99%	9.15%	16.43%	13.03%	12.75%	10.80%	7.14%	10.23%	7.18%	7.14%	8.49%	3.03%	8.29%	8.63%	3.01%	3.54%	9.79%	11.34%	7.18%	18.18%	7.53%	4.38%	10.62%	12.90%	14.56%	15.32%	8.76%	17.73%	3.95%	14.36%	19.39%	9.89%	9.62%	9.34%	7.55%	6.59%	13.25%	13.22%	12.73%	10.27%	9.77%	25.88%	25.00%	4.69%					
																																																			
24	Против всех	218	4	7	5	3	23	27	1	3	12	2	19	0	3	16	3	0	6	5	14	0	4	2	3	1	1	2	7	4	0	19	0	1	0	2	1	1	2	1	3	0	3	7	0	1					
		1.53%	1.21%	4.58%	3.57%	1.26%	2.33%	2.07%	0.79%	1.40%	5.74%	1.59%	1.45%	0.00%	0.86%	1.75%	2.26%	0.00%	0.92%	1.01%	2.58%	0.00%	2.74%	1.25%	1.33%	0.54%	0.97%	1.80%	1.28%	2.84%	0.00%	1.25%	0.00%	1.10%	0.00%	0.78%	0.63%	1.10%	2.41%	0.57%	0.91%	0.00%	0.53%	2.24%	0.00%	1.56%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
