Выборы Президента Российской Федерации																																								
																																								
"Наименование Избирательной комиссии:    Волгоград, Центральная"																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588					
19	. Малышкин Олег Александрович	466	36	31	7	19	24	16	18	9	8	14	23	8	11	5	10	6	11	13	25	13	7	19	10	10	15	12	14	15	14	13	11	7	12					
		1.14%	2.21%	2.13%	0.88%	1.39%	1.48%	1.45%	1.16%	0.68%	0.65%	0.91%	1.54%	0.57%	1.28%	0.42%	1.70%	0.57%	1.65%	1.04%	1.80%	1.18%	0.53%	1.18%	0.86%	0.84%	1.19%	1.02%	0.87%	1.22%	1.28%	1.16%	0.94%	0.70%	1.02%					
20	. Миронов Сергей Михайлович	365	14	15	10	16	22	16	13	9	9	12	14	9	6	15	6	6	3	12	10	16	11	8	13	10	10	10	15	14	6	8	8	10	9					
		0.90%	0.86%	1.03%	1.25%	1.17%	1.35%	1.45%	0.84%	0.68%	0.73%	0.78%	0.94%	0.64%	0.70%	1.25%	1.02%	0.57%	0.45%	0.96%	0.72%	1.45%	0.83%	0.50%	1.12%	0.84%	0.79%	0.85%	0.93%	1.14%	0.55%	0.71%	0.69%	1.01%	0.76%					
21	. Путин Владимир Владимирович	25711	1156	889	518	886	975	741	953	798	754	957	928	855	514	759	384	985	521	821	858	741	809	929	711	713	782	722	931	696	681	694	679	591	780					
		63.06%	70.92%	61.06%	64.91%	64.86%	60.00%	66.94%	61.33%	60.05%	61.10%	62.18%	62.24%	61.20%	59.63%	63.04%	65.42%	93.99%	77.99%	65.37%	61.68%	67.00%	61.06%	57.63%	61.08%	59.97%	62.06%	61.39%	57.79%	56.77%	62.02%	61.80%	58.18%	59.52%	66.21%					
22	. Хакамада Ирина Муцуовна	3035	123	118	56	90	95	48	125	86	99	99	100	92	57	86	41	10	28	77	93	80	96	125	99	112	124	120	162	91	95	93	115	104	96					
		7.44%	7.55%	8.10%	7.02%	6.59%	5.85%	4.34%	8.04%	6.47%	8.02%	6.43%	6.71%	6.59%	6.61%	7.14%	6.98%	0.95%	4.19%	6.13%	6.69%	7.23%	7.25%	7.75%	8.51%	9.42%	9.84%	10.20%	10.06%	7.42%	8.65%	8.28%	9.85%	10.47%	8.15%					
23	. Харитонов Николай Михайлович	6585	133	232	119	239	326	151	278	264	233	267	238	264	181	211	66	4	47	201	227	136	266	369	209	202	176	164	285	252	147	185	212	160	141					
		16.15%	8.16%	15.93%	14.91%	17.50%	20.06%	13.64%	17.89%	19.86%	18.88%	17.35%	15.96%	18.90%	21.00%	17.52%	11.24%	0.38%	7.04%	16.00%	16.32%	12.30%	20.08%	22.89%	17.96%	16.99%	13.97%	13.95%	17.69%	20.55%	13.39%	16.47%	18.17%	16.11%	11.97%					
																																								
24	Против всех	2000	96	71	31	40	77	75	70	54	57	74	69	67	41	54	40	28	37	69	89	51	66	70	56	66	73	75	76	44	63	36	55	44	86					
		4.91%	5.89%	4.88%	3.88%	2.93%	4.74%	6.78%	4.50%	4.06%	4.62%	4.81%	4.63%	4.80%	4.76%	4.49%	6.81%	2.67%	5.54%	5.49%	6.40%	4.61%	4.98%	4.34%	4.81%	5.55%	5.79%	6.38%	4.72%	3.59%	5.74%	3.21%	4.71%	4.43%	7.30%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
