Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Бондарская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634					
22	. Хакамада Ирина Муцуовна	96	13	12	7	5	2	2	1	0	2	5	4	4	3	3	2	5	1	3	4	4	6	3	5					
		1.06%	1.27%	1.16%	1.40%	1.72%	0.41%	0.47%	0.58%	0.00%	1.01%	1.37%	1.33%	1.21%	0.97%	0.72%	0.74%	1.32%	0.85%	1.00%	0.96%	1.06%	2.03%	0.66%	2.06%					
23	. Харитонов Николай Михайлович	2863	237	321	138	100	166	176	32	57	74	117	65	118	143	112	102	107	65	115	163	108	84	183	80					
		31.59%	23.24%	31.01%	27.60%	34.48%	34.16%	40.93%	18.71%	15.79%	37.19%	32.14%	21.67%	35.76%	46.13%	26.86%	37.92%	28.31%	55.56%	38.21%	39.28%	28.57%	28.38%	40.40%	32.92%					
																														
24	Против всех	189	40	25	13	12	4	11	2	5	2	5	6	6	3	3	0	9	1	15	5	6	4	10	2					
		2.09%	3.92%	2.42%	2.60%	4.14%	0.82%	2.56%	1.17%	1.39%	1.01%	1.37%	2.00%	1.82%	0.97%	0.72%	0.00%	2.38%	0.85%	4.98%	1.20%	1.59%	1.35%	2.21%	0.82%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
