Выборы Президента Российской Федерации																																																												
																																																												
Наименование Избирательной комиссии:    Куюргазинская																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864	УИК №2865	УИК №2866	УИК №2867	УИК №2868	УИК №2869	УИК №2870	УИК №2871	УИК №2872	УИК №2873	УИК №2874	УИК №2875	УИК №2876	УИК №2877	УИК №2878	УИК №2879	УИК №2880	УИК №2881					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																												
18	. Глазьев Сергей Юрьевич	71	6	7	6	2	28	3	0	0	0	0	1	0	0	0	1	0	0	0	1	1	2	0	1	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	1	0	0	1	0	0	0					
		0.41%	0.71%	0.80%	0.71%	0.20%	3.68%	0.32%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.20%	0.50%	1.07%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	1.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.69%	0.00%	1.24%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	22	0	0	1	3	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	0	2	0	0	0					
		0.13%	0.00%	0.00%	0.12%	0.30%	0.53%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.31%	0.00%	0.00%	0.96%	0.00%	0.00%	0.25%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.23%	0.00%	0.00%	0.51%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	18	0	0	2	1	4	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0					
		0.10%	0.00%	0.00%	0.24%	0.10%	0.53%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.38%	0.00%					
21	. Путин Владимир Владимирович	16746	830	857	823	969	610	908	142	116	126	356	112	265	239	374	229	604	52	275	489	191	177	220	317	111	460	102	109	157	386	99	179	136	425	232	116	597	178	115	424	107	129	192	158	850	253	78	224	103	330	647	179	257	132					
		96.96%	98.11%	97.94%	97.17%	98.08%	80.26%	97.95%	100.00%	94.31%	99.21%	98.07%	98.25%	98.15%	98.35%	98.68%	98.28%	99.02%	98.11%	98.21%	98.19%	95.98%	94.65%	100.00%	98.75%	100.00%	99.57%	98.08%	98.20%	96.91%	97.23%	99.00%	78.51%	98.55%	98.15%	98.31%	100.00%	98.03%	98.34%	97.46%	98.15%	99.07%	89.58%	96.97%	98.14%	99.07%	99.61%	98.73%	97.39%	99.04%	99.10%	98.03%	96.24%	98.47%	86.84%					
22	. Хакамада Ирина Муцуовна	42	0	0	2	2	14	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	1	0	2	0	0	2	0	1	0	0	1	0	1	1	1	0	2					
		0.24%	0.00%	0.00%	0.24%	0.20%	1.84%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	2.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.46%	0.00%	0.00%	1.01%	0.00%	0.12%	0.00%	0.00%	0.43%	0.00%	0.30%	0.15%	0.54%	0.00%	1.32%					
23	. Харитонов Николай Михайлович	306	10	4	10	10	85	6	0	5	1	7	1	5	3	5	2	4	1	4	8	4	5	0	2	0	2	1	2	4	5	0	34	2	8	4	0	11	1	3	2	1	1	3	1	3	1	1	3	1	1	5	6	3	15					
		1.77%	1.18%	0.46%	1.18%	1.01%	11.18%	0.65%	0.00%	4.07%	0.79%	1.93%	0.88%	1.85%	1.23%	1.32%	0.86%	0.66%	1.89%	1.43%	1.61%	2.01%	2.67%	0.00%	0.62%	0.00%	0.43%	0.96%	1.80%	2.47%	1.26%	0.00%	14.91%	1.45%	1.85%	1.69%	0.00%	1.81%	0.55%	2.54%	0.46%	0.93%	0.69%	1.52%	0.62%	0.35%	0.39%	1.27%	1.30%	0.96%	0.30%	0.76%	3.23%	1.15%	9.87%					
																																																												
24	Против всех	35	0	7	0	1	12	4	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1					
		0.20%	0.00%	0.80%	0.00%	0.10%	1.58%	0.43%	0.00%	1.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.66%					
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
