Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
Наименование Избирательной комиссии:    Акушинская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1112	10	13	54	20	39	14	18	25	2	20	23	19	17	14	14	36	31	30	10	29	20	56	23	58	10	26	24	17	38	9	4	40	39	10	5	16	7	19	8	6	29	9	10	31	10	7	48	21	10	13	17	34					
		4.12%	4.24%	3.80%	4.84%	3.98%	3.78%	4.27%	4.09%	3.74%	5.26%	4.03%	2.64%	9.18%	2.40%	17.95%	15.91%	3.14%	3.08%	5.03%	2.09%	2.96%	4.06%	6.04%	2.58%	6.19%	2.04%	3.80%	7.25%	10.76%	8.39%	4.00%	4.65%	3.98%	4.11%	4.18%	4.55%	11.35%	1.71%	3.71%	4.00%	4.55%	2.83%	4.07%	1.93%	4.13%	4.22%	4.46%	3.22%	3.65%	4.08%	2.29%	9.71%	11.49%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	25834	226	328	1060	482	987	314	422	642	36	476	844	188	688	64	74	1111	976	563	468	950	473	869	867	878	481	657	307	141	414	216	82	964	910	229	105	125	402	491	192	126	993	212	506	720	227	150	1439	552	235	554	158	260					
		95.72%	95.76%	95.91%	94.98%	96.02%	95.64%	95.73%	95.91%	95.96%	94.74%	95.97%	97.01%	90.82%	97.31%	82.05%	84.09%	96.86%	96.92%	94.30%	97.91%	96.94%	95.94%	93.74%	97.09%	93.70%	97.96%	95.91%	92.75%	89.24%	91.39%	96.00%	95.35%	95.92%	95.89%	95.82%	95.45%	88.65%	98.29%	95.90%	96.00%	95.45%	96.97%	95.93%	97.87%	95.87%	95.78%	95.54%	96.64%	96.00%	95.92%	97.71%	90.29%	87.84%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
