Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																							
Дата голосования: 04.12.2011																																							
																																							
Наименование Избирательной комиссии:    Урус-Мартановская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	95	3	3	4	2	2	2	4	2	3	6	4	2	2	5	3	2	3	3	2	3	2	5	5	5	2	2	3	3	0	4	2	2					
		0.17%	0.13%	0.12%	0.21%	0.09%	0.08%	0.14%	0.18%	0.11%	0.19%	0.23%	0.16%	0.12%	0.20%	0.18%	0.16%	0.23%	0.22%	0.24%	0.16%	0.23%	0.20%	0.23%	0.25%	0.23%	0.17%	0.08%	0.13%	0.12%	0.00%	0.35%	0.17%	0.24%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	2	0	2	2	0	1	5					
		0.03%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.08%	0.08%	0.00%	0.00%	0.05%	0.00%	0.00%	0.08%	0.00%	0.08%	0.17%	0.00%	0.09%	0.59%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	39	0	1	0	1	1	1	1	1	2	1	2	3	3	5	0	2	1	1	0	2	1	1	4	1	1	1	0	2	0	0	0	0					
		0.07%	0.00%	0.04%	0.00%	0.04%	0.04%	0.07%	0.04%	0.06%	0.13%	0.04%	0.08%	0.18%	0.31%	0.18%	0.00%	0.23%	0.07%	0.08%	0.00%	0.16%	0.10%	0.05%	0.20%	0.05%	0.09%	0.04%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	97	7	3	3	3	4	3	5	4	2	3	5	1	2	4	3	0	2	0	2	1	2	5	4	5	2	5	4	3	2	4	4	0					
		0.17%	0.31%	0.12%	0.16%	0.13%	0.16%	0.22%	0.22%	0.22%	0.13%	0.12%	0.19%	0.06%	0.20%	0.15%	0.16%	0.00%	0.15%	0.00%	0.16%	0.08%	0.20%	0.23%	0.20%	0.23%	0.17%	0.21%	0.17%	0.12%	0.17%	0.35%	0.34%	0.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	15	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	2	1	0	0	0	2	0	1	1	1	2	1	0	0	0	0					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.06%	0.06%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.08%	0.00%	0.00%	0.00%	0.09%	0.00%	0.05%	0.09%	0.04%	0.09%	0.04%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	56687	2220	2588	1908	2307	2478	1373	2262	1771	1564	2562	2557	1610	969	2703	1887	865	1357	1254	1260	1270	1003	2167	1980	2200	1141	2378	2291	2448	1201	1122	1153	838					
		99.42%	99.46%	99.58%	99.53%	99.61%	99.52%	99.35%	99.47%	99.38%	99.36%	99.38%	99.42%	99.08%	99.18%	99.38%	99.42%	99.43%	99.27%	99.37%	99.37%	99.37%	99.41%	99.36%	99.15%	99.37%	99.48%	99.50%	99.61%	99.51%	99.67%	99.29%	99.40%	99.17%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	20	0	0	1	0	0	0	0	1	0	1	2	5	0	1	2	0	1	2	1	0	1	0	0	0	0	1	0	1	0	0	0	0					
		0.04%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.04%	0.08%	0.31%	0.00%	0.04%	0.11%	0.00%	0.07%	0.16%	0.08%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
