Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Балахтинская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	1209	90	86	71	45	56	57	22	11	2	16	8	31	11	9	153	68	15	1	11	1	27	8	12	21	4	54	17	5	13	19	0	4	84	4	11	9	16	2	2	11	59	23	29	2	0	9					
		10.79%	14.49%	20.87%	11.32%	12.20%	15.05%	10.52%	8.21%	9.32%	1.90%	6.90%	5.67%	6.51%	8.59%	7.56%	22.60%	17.75%	17.86%	1.32%	6.11%	0.60%	7.65%	8.51%	6.06%	8.61%	6.56%	9.98%	14.78%	4.55%	8.72%	6.01%	0.00%	4.71%	11.75%	3.54%	8.21%	7.63%	4.52%	1.37%	2.17%	8.66%	16.57%	42.59%	7.57%	4.00%	0.00%	15.79%					
19	. Малышкин Олег Александрович	307	8	4	9	8	6	17	3	6	7	9	3	9	4	5	23	13	3	1	10	3	6	0	4	3	2	9	3	4	7	9	9	4	26	15	10	10	8	2	3	0	8	0	10	0	0	4					
		2.74%	1.29%	0.97%	1.44%	2.17%	1.61%	3.14%	1.12%	5.08%	6.67%	3.88%	2.13%	1.89%	3.12%	4.20%	3.40%	3.39%	3.57%	1.32%	5.56%	1.81%	1.70%	0.00%	2.02%	1.23%	3.28%	1.66%	2.61%	3.64%	4.70%	2.85%	7.32%	4.71%	3.64%	13.27%	7.46%	8.47%	2.26%	1.37%	3.26%	0.00%	2.25%	0.00%	2.61%	0.00%	0.00%	7.02%					
20	. Миронов Сергей Михайлович	67	0	5	4	3	0	5	0	0	1	2	2	1	0	0	7	3	0	0	0	0	0	0	0	2	0	3	1	0	0	4	1	0	6	1	3	2	5	0	0	1	2	0	2	0	0	1					
		0.60%	0.00%	1.21%	0.64%	0.81%	0.00%	0.92%	0.00%	0.00%	0.95%	0.86%	1.42%	0.21%	0.00%	0.00%	1.03%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.82%	0.00%	0.55%	0.87%	0.00%	0.00%	1.27%	0.81%	0.00%	0.84%	0.88%	2.24%	1.69%	1.41%	0.00%	0.00%	0.79%	0.56%	0.00%	0.52%	0.00%	0.00%	1.75%					
21	. Путин Владимир Владимирович	7119	368	224	396	209	220	353	181	79	84	149	84	341	84	92	318	186	61	33	129	141	256	67	157	121	21	388	70	95	115	203	92	40	462	70	73	55	259	131	76	86	208	15	247	29	22	29					
		63.51%	59.26%	54.37%	63.16%	56.64%	59.14%	65.13%	67.54%	66.95%	80.00%	64.22%	59.57%	71.64%	65.62%	77.31%	46.97%	48.56%	72.62%	43.42%	71.67%	84.94%	72.52%	71.28%	79.29%	49.59%	34.43%	71.72%	60.87%	86.36%	77.18%	64.24%	74.80%	47.06%	64.62%	61.95%	54.48%	46.61%	73.16%	89.73%	82.61%	67.72%	58.43%	27.78%	64.49%	58.00%	84.62%	50.88%					
22	. Хакамада Ирина Муцуовна	225	15	6	18	10	10	4	4	2	3	6	3	8	2	2	21	9	0	0	4	4	4	3	0	7	2	11	5	1	2	7	3	0	24	0	4	0	5	0	0	0	7	2	6	1	0	0					
		2.01%	2.42%	1.46%	2.87%	2.71%	2.69%	0.74%	1.49%	1.69%	2.86%	2.59%	2.13%	1.68%	1.56%	1.68%	3.10%	2.35%	0.00%	0.00%	2.22%	2.41%	1.13%	3.19%	0.00%	2.87%	3.28%	2.03%	4.35%	0.91%	1.34%	2.22%	2.44%	0.00%	3.36%	0.00%	2.99%	0.00%	1.41%	0.00%	0.00%	0.00%	1.97%	3.70%	1.57%	2.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	1966	117	73	105	77	63	89	55	14	6	43	34	76	24	11	134	95	4	38	22	15	51	14	22	84	28	63	14	4	8	69	17	35	94	16	30	40	58	7	10	26	53	13	80	17	4	14					
		17.54%	18.84%	17.72%	16.75%	20.87%	16.94%	16.42%	20.52%	11.86%	5.71%	18.53%	24.11%	15.97%	18.75%	9.24%	19.79%	24.80%	4.76%	50.00%	12.22%	9.04%	14.45%	14.89%	11.11%	34.43%	45.90%	11.65%	12.17%	3.64%	5.37%	21.84%	13.82%	41.18%	13.15%	14.16%	22.39%	33.90%	16.38%	4.79%	10.87%	20.47%	14.89%	24.07%	20.89%	34.00%	15.38%	24.56%					
																																																					
24	Против всех	198	21	10	14	13	12	13	2	2	1	4	3	3	2	0	18	6	0	0	2	2	2	2	1	1	1	9	1	1	2	1	1	1	15	5	2	0	1	2	0	1	13	0	8	0	0	0					
		1.77%	3.38%	2.43%	2.23%	3.52%	3.23%	2.40%	0.75%	1.69%	0.95%	1.72%	2.13%	0.63%	1.56%	0.00%	2.66%	1.57%	0.00%	0.00%	1.11%	1.20%	0.57%	2.13%	0.51%	0.41%	1.64%	1.66%	0.87%	0.91%	1.34%	0.32%	0.81%	1.18%	2.10%	4.42%	1.49%	0.00%	0.28%	1.37%	0.00%	0.79%	3.65%	0.00%	2.09%	0.00%	0.00%	0.00%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
