Выборы Президента Российской Федерации																																											
																																											
"Наименование Избирательной комиссии:    Тула, Зареченская"																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596					
11	Число полученных открепительных  удостоверений	1110	20	0	30	30	30	30	30	30	35	20	30	40	30	30	30	35	35	30	35	30	35	45	30	30	30	30	30	35	40	35	40	35	40	35	20	20					
12	Число выданных открепительных удостоверений	703	10	0	19	19	13	18	19	13	30	16	16	29	23	16	19	19	20	18	23	16	27	35	23	24	12	12	26	19	20	31	24	20	29	22	10	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	567	9	89	12	9	4	9	7	17	8	13	36	14	6	13	5	14	21	16	9	12	6	17	12	15	17	14	9	6	17	11	7	18	11	12	53	19					
14	Число неиспользованных открепительных удостоверений	407	10	0	11	11	17	12	11	17	5	4	14	11	7	14	11	16	15	12	12	14	8	10	7	6	18	18	4	16	20	4	16	15	11	13	10	7					
15	"Число открепительных удостоверений, выданных в ТИК"	230	3	0	9	0	3	2	2	2	2	4	2	163	1	2	0	0	0	3	1	2	1	5	2	1	1	1	2	0	3	3	1	0	3	1	3	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	3074	45	4	87	96	85	54	83	93	129	68	85	175	68	55	44	103	88	116	119	99	107	106	77	102	104	78	88	84	68	76	124	74	100	94	64	32					
		7.09%	3.58%	2.76%	6.70%	7.26%	9.16%	5.43%	7.23%	8.12%	9.31%	5.81%	6.79%	8.59%	5.80%	4.92%	3.51%	8.38%	6.92%	8.70%	8.84%	8.08%	7.83%	7.06%	6.72%	8.09%	9.20%	6.30%	7.83%	6.66%	5.75%	6.94%	8.83%	6.05%	7.20%	8.24%	6.02%	4.16%					
19	. Малышкин Олег Александрович	667	31	1	21	18	17	13	20	13	22	16	15	38	12	25	28	12	16	16	18	21	18	22	13	17	14	20	24	28	22	16	22	19	12	14	18	15					
		1.54%	2.46%	0.69%	1.62%	1.36%	1.83%	1.31%	1.74%	1.14%	1.59%	1.37%	1.20%	1.87%	1.02%	2.24%	2.23%	0.98%	1.26%	1.20%	1.34%	1.71%	1.32%	1.46%	1.13%	1.35%	1.24%	1.62%	2.14%	2.22%	1.86%	1.46%	1.57%	1.55%	0.86%	1.23%	1.69%	1.95%					
20	. Миронов Сергей Михайлович	246	8	2	8	7	4	5	6	13	9	7	13	10	9	4	4	5	6	3	10	7	4	10	5	6	2	13	6	5	12	7	5	3	9	5	8	6					
		0.57%	0.64%	1.38%	0.62%	0.53%	0.43%	0.50%	0.52%	1.14%	0.65%	0.60%	1.04%	0.49%	0.77%	0.36%	0.32%	0.41%	0.47%	0.23%	0.74%	0.57%	0.29%	0.67%	0.44%	0.48%	0.18%	1.05%	0.53%	0.40%	1.01%	0.64%	0.36%	0.25%	0.65%	0.44%	0.75%	0.78%					
21	. Путин Владимир Владимирович	29234	887	112	848	907	572	692	729	755	898	771	889	1517	830	772	929	829	836	880	850	815	902	996	777	855	767	794	755	842	805	717	954	828	936	742	745	501					
		67.47%	70.51%	77.24%	65.33%	68.61%	61.64%	69.55%	63.50%	65.94%	64.79%	65.90%	71.01%	74.47%	70.76%	69.05%	74.08%	67.45%	65.77%	66.02%	63.15%	66.53%	65.98%	66.31%	67.80%	67.80%	67.82%	64.14%	67.17%	66.77%	68.05%	65.48%	67.90%	67.70%	67.44%	65.03%	70.02%	65.06%					
22	. Хакамада Ирина Муцуовна	1972	47	2	61	65	42	47	58	40	60	55	54	71	65	47	60	67	70	71	68	59	61	71	69	73	50	49	42	62	41	52	60	57	66	52	29	29					
		4.55%	3.74%	1.38%	4.70%	4.92%	4.53%	4.72%	5.05%	3.49%	4.33%	4.70%	4.31%	3.49%	5.54%	4.20%	4.78%	5.45%	5.51%	5.33%	5.05%	4.82%	4.46%	4.73%	6.02%	5.79%	4.42%	3.96%	3.74%	4.92%	3.47%	4.75%	4.27%	4.66%	4.76%	4.56%	2.73%	3.77%					
23	. Харитонов Николай Михайлович	5700	159	14	193	155	166	134	176	166	188	199	133	156	125	164	116	155	177	153	190	174	194	181	124	143	140	211	145	157	177	148	173	161	174	167	160	152					
		13.15%	12.64%	9.66%	14.87%	11.72%	17.89%	13.47%	15.33%	14.50%	13.56%	17.01%	10.62%	7.66%	10.66%	14.67%	9.25%	12.61%	13.93%	11.48%	14.12%	14.20%	14.19%	12.05%	10.82%	11.34%	12.38%	17.04%	12.90%	12.45%	14.96%	13.52%	12.31%	13.16%	12.54%	14.64%	15.04%	19.74%					
																																											
24	Против всех	2163	68	10	73	71	39	43	72	56	73	49	55	65	26	50	59	54	71	84	80	45	72	99	77	59	51	66	54	79	55	72	56	75	88	61	31	25					
		4.99%	5.41%	6.90%	5.62%	5.37%	4.20%	4.32%	6.27%	4.89%	5.27%	4.19%	4.39%	3.19%	2.22%	4.47%	4.70%	4.39%	5.59%	6.30%	5.94%	3.67%	5.27%	6.59%	6.72%	4.68%	4.51%	5.33%	4.80%	6.26%	4.65%	6.58%	3.99%	6.13%	6.34%	5.35%	2.91%	3.25%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
