Выборы Президента Российской Федерации																																																														
																																																														
Наименование Избирательной комиссии:    Апшеронская																																																														
																																																														
Итоги голосования 																																																														
																																																														
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355					
11	Число полученных открепительных  удостоверений	965	35	40	40	10	15	15	40	40	40	40	15	15	15	10	15	15	15	40	40	40	10	10	10	15	10	10	10	10	15	15	10	15	10	10	10	10	10	10	10	15	10	10	15	10	10	10	15	10	10	15	15	10	10	15	40					
12	Число выданных открепительных удостоверений	271	6	12	8	1	0	7	6	10	14	21	12	12	11	0	8	7	6	13	12	5	1	1	1	11	3	4	0	1	3	5	1	2	0	3	5	0	0	0	0	9	2	0	5	0	0	1	10	0	3	3	10	3	0	5	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	210	4	2	3	1	3	6	2	4	9	9	4	5	0	1	7	4	5	11	6	5	1	4	2	3	0	0	1	4	6	3	3	7	2	7	2	0	2	1	2	1	2	4	2	0	2	4	3	5	3	2	11	10	9	6	5					
14	Число неиспользованных открепительных удостоверений	694	29	28	32	9	15	8	34	30	26	19	3	3	4	10	7	8	9	27	28	35	9	9	9	4	7	6	10	9	12	10	9	13	10	7	5	10	10	10	10	6	8	10	10	10	10	9	5	10	7	12	5	7	10	10	32					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																														
18	. Глазьев Сергей Юрьевич	1376	51	73	30	2	21	36	28	39	91	74	41	40	39	2	44	61	40	58	78	49	5	5	21	17	27	30	9	13	13	17	10	6	3	8	19	0	3	7	1	15	0	6	36	10	0	0	24	6	11	14	35	7	2	27	72					
		3.39%	3.57%	5.18%	2.27%	0.93%	2.63%	3.17%	2.25%	2.83%	5.49%	4.79%	3.48%	3.55%	3.54%	0.77%	4.34%	6.24%	4.33%	3.99%	5.35%	3.70%	3.05%	1.71%	3.39%	2.38%	5.30%	4.40%	4.97%	3.26%	1.90%	2.21%	5.32%	0.82%	2.94%	2.00%	2.11%	0.00%	1.12%	2.51%	0.62%	1.30%	0.00%	1.59%	3.93%	4.52%	0.00%	0.00%	2.25%	1.35%	2.31%	2.06%	2.62%	1.62%	1.19%	3.13%	6.21%					
19	. Малышкин Олег Александрович	828	36	45	34	1	17	33	30	18	41	29	13	25	20	1	16	21	21	21	25	21	4	6	7	8	11	21	1	4	14	12	9	5	3	6	12	1	6	2	0	11	1	18	24	0	1	0	26	14	15	7	43	7	4	23	34					
		2.04%	2.52%	3.20%	2.58%	0.46%	2.13%	2.91%	2.41%	1.31%	2.47%	1.88%	1.10%	2.22%	1.81%	0.39%	1.58%	2.15%	2.27%	1.44%	1.72%	1.59%	2.44%	2.05%	1.13%	1.12%	2.16%	3.08%	0.55%	1.00%	2.04%	1.56%	4.79%	0.69%	2.94%	1.50%	1.33%	0.83%	2.24%	0.72%	0.00%	0.95%	1.72%	4.77%	2.62%	0.00%	1.67%	0.00%	2.44%	3.15%	3.14%	1.03%	3.21%	1.62%	2.38%	2.67%	2.93%					
20	. Миронов Сергей Михайлович	288	4	2	9	3	6	10	6	5	16	9	14	5	5	0	14	8	4	8	28	6	4	1	0	9	7	4	2	3	5	3	3	9	1	3	8	2	3	0	1	8	0	2	5	1	0	0	14	4	3	4	4	4	0	2	7					
		0.71%	0.28%	0.14%	0.68%	1.39%	0.75%	0.88%	0.48%	0.36%	0.97%	0.58%	1.19%	0.44%	0.45%	0.00%	1.38%	0.82%	0.43%	0.55%	1.92%	0.45%	2.44%	0.34%	0.00%	1.26%	1.38%	0.59%	1.10%	0.75%	0.73%	0.39%	1.60%	1.23%	0.98%	0.75%	0.89%	1.65%	1.12%	0.00%	0.62%	0.69%	0.00%	0.53%	0.55%	0.45%	0.00%	0.00%	1.31%	0.90%	0.63%	0.59%	0.30%	0.92%	0.00%	0.23%	0.60%					
21	. Путин Владимир Владимирович	27244	1039	981	882	173	557	767	896	975	1076	1060	837	800	753	249	557	583	565	812	821	803	111	202	395	479	292	481	101	299	488	537	109	482	60	291	670	85	177	242	128	813	45	240	614	176	51	31	701	273	312	535	917	317	114	608	682					
		67.16%	72.76%	69.67%	66.87%	80.09%	69.71%	67.58%	71.85%	70.81%	64.90%	68.65%	71.05%	70.98%	68.33%	96.14%	54.93%	59.61%	61.15%	55.81%	56.35%	60.65%	67.68%	68.94%	63.81%	66.99%	57.37%	70.53%	55.80%	74.94%	71.14%	69.83%	57.98%	66.12%	58.82%	72.75%	74.53%	70.25%	66.04%	86.74%	80.00%	70.21%	77.59%	63.66%	67.03%	79.64%	85.00%	86.11%	65.76%	61.35%	65.41%	78.91%	68.54%	73.21%	67.86%	70.53%	58.84%					
22	. Хакамада Ирина Муцуовна	680	20	20	9	2	8	20	18	23	26	34	12	9	19	0	38	31	23	35	40	43	1	7	11	11	6	2	2	7	6	8	0	8	0	4	11	1	4	5	7	11	0	9	15	1	2	1	18	6	11	11	26	3	3	15	17					
		1.68%	1.40%	1.42%	0.68%	0.93%	1.00%	1.76%	1.44%	1.67%	1.57%	2.20%	1.02%	0.80%	1.72%	0.00%	3.75%	3.17%	2.49%	2.41%	2.75%	3.25%	0.61%	2.39%	1.78%	1.54%	1.18%	0.29%	1.10%	1.75%	0.87%	1.04%	0.00%	1.10%	0.00%	1.00%	1.22%	0.83%	1.49%	1.79%	4.38%	0.95%	0.00%	2.39%	1.64%	0.45%	3.33%	2.78%	1.69%	1.35%	2.31%	1.62%	1.94%	0.69%	1.79%	1.74%	1.47%					
23	. Харитонов Николай Михайлович	8887	242	252	313	31	168	234	248	288	337	280	229	212	220	7	307	254	241	448	416	356	33	58	167	165	137	132	56	64	140	166	51	193	26	72	146	30	65	23	23	272	11	78	201	31	4	3	253	126	106	91	284	78	36	163	320					
		21.91%	16.95%	17.90%	23.73%	14.35%	21.03%	20.62%	19.89%	20.92%	20.33%	18.13%	19.44%	18.81%	19.96%	2.70%	30.28%	25.97%	26.08%	30.79%	28.55%	26.89%	20.12%	19.80%	26.98%	23.08%	26.92%	19.35%	30.94%	16.04%	20.41%	21.59%	27.13%	26.47%	25.49%	18.00%	16.24%	24.79%	24.25%	8.24%	14.38%	23.49%	18.97%	20.69%	21.94%	14.03%	6.67%	8.33%	23.73%	28.31%	22.22%	13.42%	21.23%	18.01%	21.43%	18.91%	27.61%					
																																																														
24	Против всех	846	19	32	34	4	9	26	16	25	55	39	22	23	31	0	24	12	21	50	26	33	4	9	15	21	24	12	9	6	5	15	2	16	0	12	23	1	6	0	0	12	1	22	15	2	2	1	20	5	6	12	18	6	0	16	27					
		2.09%	1.33%	2.27%	2.58%	1.85%	1.13%	2.29%	1.28%	1.82%	3.32%	2.53%	1.87%	2.04%	2.81%	0.00%	2.37%	1.23%	2.27%	3.44%	1.78%	2.49%	2.44%	3.07%	2.42%	2.94%	4.72%	1.76%	4.97%	1.50%	0.73%	1.95%	1.06%	2.19%	0.00%	3.00%	2.56%	0.83%	2.24%	0.00%	0.00%	1.04%	1.72%	5.84%	1.64%	0.90%	3.33%	2.78%	1.88%	1.12%	1.26%	1.77%	1.35%	1.39%	0.00%	1.86%	2.33%					
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
