Выборы Президента Российской Федерации																																																																				
																																																																				
Наименование Избирательной комиссии:    Зеленодольская																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611					
24	Против всех	818	22	4	6	18	50	20	27	10	12	6	46	15	26	28	1	0	4	7	3	4	40	34	28	37	24	39	9	11	39	22	23	38	20	3	29	9	27	0	0	0	2	2	2	0	8	3	26	2	5	0	3	0	1	3	4	9	0	0	4	2	1					
		2.07%	5.63%	1.74%	2.27%	0.88%	4.06%	2.13%	3.25%	2.03%	2.78%	1.21%	2.78%	2.74%	3.23%	2.04%	0.18%	0.00%	2.21%	1.61%	0.55%	1.02%	2.09%	2.91%	1.93%	3.97%	3.99%	3.82%	1.04%	1.78%	2.88%	3.03%	3.96%	5.07%	3.54%	1.46%	2.91%	0.66%	2.30%	0.00%	0.00%	0.00%	1.71%	0.56%	0.65%	0.00%	1.04%	0.65%	1.40%	1.13%	0.61%	0.00%	1.09%	0.00%	0.53%	0.75%	0.87%	2.30%	0.00%	0.00%	1.52%	0.65%	0.64%					
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
