Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Чулымская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																									
18	. Глазьев Сергей Юрьевич	257	13	28	19	7	21	4	21	2	12	6	7	0	0	3	1	0	1	0	6	7	2	0	14	0	4	0	4	1	10	0	3	0	6	1	0	0	1	11	1	3	0	8	0	12	0	15	1	1	0	1					
		1.86%	2.03%	3.97%	2.38%	1.12%	3.01%	0.93%	2.72%	0.43%	3.53%	1.65%	1.82%	0.00%	0.00%	0.82%	1.12%	0.00%	0.43%	0.00%	1.43%	1.88%	8.70%	0.00%	2.05%	0.00%	1.75%	0.00%	1.06%	3.57%	3.41%	0.00%	5.77%	0.00%	1.60%	1.06%	0.00%	0.00%	1.39%	2.26%	1.19%	4.05%	0.00%	1.92%	0.00%	2.19%	0.00%	2.62%	0.57%	1.18%	0.00%	1.23%					
19	. Малышкин Олег Александрович	350	9	31	11	13	16	14	25	19	5	10	12	0	0	5	1	1	6	3	4	6	0	1	3	1	5	2	9	0	11	0	3	8	6	5	2	3	8	1	2	6	3	24	3	8	1	17	5	2	5	15					
		2.53%	1.41%	4.40%	1.38%	2.08%	2.29%	3.24%	3.23%	4.06%	1.47%	2.75%	3.12%	0.00%	0.00%	1.37%	1.12%	1.10%	2.55%	1.18%	0.95%	1.61%	0.00%	1.92%	0.44%	1.85%	2.19%	3.03%	2.39%	0.00%	3.75%	0.00%	5.77%	3.08%	1.60%	5.32%	2.67%	6.52%	11.11%	0.21%	2.38%	8.11%	5.45%	5.76%	7.32%	1.46%	1.00%	2.97%	2.87%	2.35%	7.46%	18.52%					
20	. Миронов Сергей Михайлович	63	1	2	2	1	4	2	3	2	3	4	2	0	0	1	0	0	3	1	3	2	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	4	0	1	0	3	1	2	0	4	4	0	2	1					
		0.46%	0.16%	0.28%	0.25%	0.16%	0.57%	0.46%	0.39%	0.43%	0.88%	1.10%	0.52%	0.00%	0.00%	0.27%	0.00%	0.00%	1.28%	0.39%	0.72%	0.54%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.33%	0.00%	0.00%	0.82%	0.00%	1.35%	0.00%	0.72%	2.44%	0.36%	0.00%	0.70%	2.30%	0.00%	2.99%	1.23%					
21	. Путин Владимир Владимирович	8286	427	450	470	396	440	287	484	271	206	254	217	10	38	208	43	22	132	89	288	244	16	45	365	35	120	4	212	21	136	43	22	183	218	43	40	27	47	344	48	34	42	250	18	379	69	356	88	42	16	47					
		59.90%	66.72%	63.83%	58.82%	63.46%	63.04%	66.44%	62.61%	57.91%	60.59%	69.97%	56.51%	21.28%	61.29%	56.99%	48.31%	24.18%	56.17%	35.04%	68.74%	65.59%	69.57%	86.54%	53.44%	64.81%	52.63%	6.06%	56.38%	75.00%	46.42%	39.09%	42.31%	70.38%	58.13%	45.74%	53.33%	58.70%	65.28%	70.78%	57.14%	45.95%	76.36%	59.95%	43.90%	69.16%	69.00%	62.13%	50.57%	49.41%	23.88%	58.02%					
22	. Хакамада Ирина Муцуовна	233	15	11	21	17	12	7	12	12	8	9	7	1	2	3	0	1	9	3	5	2	0	0	6	0	4	2	3	1	5	1	1	5	7	2	0	0	1	8	2	2	1	1	1	6	1	7	7	1	0	1					
		1.68%	2.34%	1.56%	2.63%	2.72%	1.72%	1.62%	1.55%	2.56%	2.35%	2.48%	1.82%	2.13%	3.23%	0.82%	0.00%	1.10%	3.83%	1.18%	1.19%	0.54%	0.00%	0.00%	0.88%	0.00%	1.75%	3.03%	0.80%	3.57%	1.71%	0.91%	1.92%	1.92%	1.87%	2.13%	0.00%	0.00%	1.39%	1.65%	2.38%	2.70%	1.82%	0.24%	2.44%	1.09%	1.00%	1.22%	4.02%	1.18%	0.00%	1.23%					
23	. Харитонов Николай Михайлович	4239	142	159	247	167	177	105	208	153	94	67	127	33	22	139	43	63	80	155	99	100	5	6	271	16	93	58	138	4	119	65	23	63	125	38	31	14	13	104	31	27	8	123	17	120	28	165	65	38	38	13					
		30.65%	22.19%	22.55%	30.91%	26.76%	25.36%	24.31%	26.91%	32.69%	27.65%	18.46%	33.07%	70.21%	35.48%	38.08%	48.31%	69.23%	34.04%	61.02%	23.63%	26.88%	21.74%	11.54%	39.68%	29.63%	40.79%	87.88%	36.70%	14.29%	40.61%	59.09%	44.23%	24.23%	33.33%	40.43%	41.33%	30.43%	18.06%	21.40%	36.90%	36.49%	14.55%	29.50%	41.46%	21.90%	28.00%	28.80%	37.36%	44.71%	56.72%	16.05%					
																																																									
24	Против всех	220	16	21	22	17	18	10	12	6	9	11	5	0	0	1	0	2	3	1	5	1	0	0	5	2	0	0	1	1	5	1	0	1	8	2	0	2	0	7	0	0	0	4	1	11	0	4	1	1	3	0					
		1.59%	2.50%	2.98%	2.75%	2.72%	2.58%	2.31%	1.55%	1.28%	2.65%	3.03%	1.30%	0.00%	0.00%	0.27%	0.00%	2.20%	1.28%	0.39%	1.19%	0.27%	0.00%	0.00%	0.73%	3.70%	0.00%	0.00%	0.27%	3.57%	1.71%	0.91%	0.00%	0.38%	2.13%	2.13%	0.00%	4.35%	0.00%	1.44%	0.00%	0.00%	0.00%	0.96%	2.44%	2.01%	0.00%	0.70%	0.57%	1.18%	4.48%	0.00%					
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
