Выборы Президента Российской Федерации																																																											
																																																											
Наименование Избирательной комиссии:    Чусовская городская																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №4401	УИК №4402	УИК №4403	УИК №4404	УИК №4405	УИК №4406	УИК №4407	УИК №4408	УИК №4409	УИК №4410	УИК №4411	УИК №4412	УИК №4413	УИК №4414	УИК №4415	УИК №4416	УИК №4417	УИК №4418	УИК №4419	УИК №4420	УИК №4421	УИК №4422	УИК №4423	УИК №4424	УИК №4425	УИК №4426	УИК №4427	УИК №4428	УИК №4429	УИК №4430	УИК №4431	УИК №4432	УИК №4433	УИК №4434	УИК №4435	УИК №4436	УИК №4437	УИК №4438	УИК №4439	УИК №4440	УИК №4441	УИК №4442	УИК №4443	УИК №4444	УИК №4445	УИК №4446	УИК №4447	УИК №4448	УИК №4449	УИК №4450	УИК №4451	УИК №4452					
11	Число полученных открепительных  удостоверений	1494	26	25	25	25	20	25	25	24	30	25	21	40	30	35	30	35	31	32	41	20	41	36	38	20	20	35	35	21	19	20	20	20	20	20	20	20	20	20	20	20	20	20	60	25	20	20	144	50	20	20	20	25					
12	Число выданных открепительных удостоверений	1471	26	25	25	12	20	25	25	24	30	25	21	40	30	35	30	35	31	32	41	20	41	36	38	20	20	35	35	21	19	20	20	20	20	20	20	20	10	20	20	20	20	20	60	25	20	20	144	50	20	20	20	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	627	7	7	6	12	39	20	20	22	60	13	7	13	16	12	18	11	12	15	13	15	14	8	11	1	3	12	8	1	13	0	2	11	6	8	6	8	4	11	4	8	10	12	8	3	3	21	19	16	10	25	7	16					
14	Число неиспользованных открепительных удостоверений	23	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																											
18	. Глазьев Сергей Юрьевич	1079	9	5	15	17	28	4	32	28	25	15	13	51	36	33	69	55	40	45	31	26	57	34	32	8	1	41	34	12	13	1	0	0	8	14	26	6	8	12	4	9	3	7	12	5	2	16	29	10	14	2	33	49					
		2.82%	1.23%	0.90%	1.74%	3.14%	2.18%	1.39%	2.51%	4.26%	2.74%	2.72%	3.64%	3.53%	2.98%	2.09%	4.25%	3.49%	3.12%	3.30%	2.49%	2.45%	4.03%	3.02%	2.43%	2.43%	0.27%	4.06%	3.56%	2.37%	1.69%	0.69%	0.00%	0.00%	2.22%	3.02%	6.37%	3.64%	1.43%	1.71%	1.38%	2.00%	1.11%	1.50%	1.92%	4.35%	1.16%	5.93%	2.95%	2.52%	2.99%	2.22%	3.66%	3.67%					
19	. Малышкин Олег Александрович	1813	219	77	37	22	32	24	49	34	31	33	17	65	46	61	73	47	60	38	136	40	59	43	62	16	12	38	42	20	19	11	10	7	8	4	5	3	34	16	12	15	3	21	34	4	5	13	37	12	18	3	38	48					
		4.74%	30.00%	13.90%	4.30%	4.07%	2.49%	8.36%	3.84%	5.18%	3.40%	5.98%	4.76%	4.50%	3.81%	3.86%	4.50%	2.99%	4.68%	2.79%	10.94%	3.77%	4.17%	3.82%	4.70%	4.86%	3.19%	3.77%	4.40%	3.95%	2.46%	7.59%	5.56%	2.72%	2.22%	0.86%	1.23%	1.82%	6.08%	2.29%	4.14%	3.33%	1.11%	4.49%	5.45%	3.48%	2.91%	4.81%	3.77%	3.02%	3.85%	3.33%	4.21%	3.59%					
20	. Миронов Сергей Михайлович	286	5	4	5	2	10	2	7	5	4	1	8	11	6	11	9	12	8	6	4	11	15	14	2	4	3	4	8	4	5	1	0	3	2	1	1	6	5	4	1	4	2	3	4	2	0	1	13	3	4	2	25	9					
		0.75%	0.68%	0.72%	0.58%	0.37%	0.78%	0.70%	0.55%	0.76%	0.44%	0.18%	2.24%	0.76%	0.50%	0.70%	0.55%	0.76%	0.62%	0.44%	0.32%	1.04%	1.06%	1.24%	0.15%	1.22%	0.80%	0.40%	0.84%	0.79%	0.65%	0.69%	0.00%	1.17%	0.56%	0.22%	0.25%	3.64%	0.89%	0.57%	0.34%	0.89%	0.74%	0.64%	0.64%	1.74%	0.00%	0.37%	1.32%	0.76%	0.85%	2.22%	2.77%	0.67%					
21	. Путин Владимир Владимирович	29477	440	401	703	418	1083	223	1025	479	708	426	238	1115	924	1134	1140	1191	940	1104	901	839	1087	848	1022	251	326	771	731	431	663	113	156	217	302	410	314	129	436	557	224	364	238	394	493	82	151	205	756	306	382	73	601	1012					
		77.02%	60.27%	72.38%	81.65%	77.26%	84.21%	77.70%	80.27%	72.91%	77.55%	77.17%	66.67%	77.22%	76.55%	71.68%	70.28%	75.67%	73.38%	81.00%	72.49%	79.08%	76.82%	75.24%	77.54%	76.29%	86.70%	76.41%	76.62%	85.18%	85.99%	77.93%	86.67%	84.44%	83.89%	88.36%	76.96%	78.18%	78.00%	79.57%	77.24%	80.89%	87.82%	84.19%	79.01%	71.30%	87.79%	75.93%	76.99%	77.08%	81.62%	81.11%	66.63%	75.75%					
22	. Хакамада Ирина Муцуовна	1065	3	15	12	7	24	10	28	20	30	15	8	50	42	42	59	60	51	28	47	12	55	64	41	7	7	24	26	8	13	1	1	2	5	10	38	4	14	10	1	11	1	5	15	2	7	11	18	5	12	4	27	53					
		2.78%	0.41%	2.71%	1.39%	1.29%	1.87%	3.48%	2.19%	3.04%	3.29%	2.72%	2.24%	3.46%	3.48%	2.65%	3.64%	3.81%	3.98%	2.05%	3.78%	1.13%	3.89%	5.68%	3.11%	2.13%	1.86%	2.38%	2.73%	1.58%	1.69%	0.69%	0.56%	0.78%	1.39%	2.16%	9.31%	2.42%	2.50%	1.43%	0.34%	2.44%	0.37%	1.07%	2.40%	1.74%	4.07%	4.07%	1.83%	1.26%	2.56%	4.44%	2.99%	3.97%					
23	. Харитонов Николай Михайлович	3100	43	41	56	45	75	14	86	57	64	36	67	104	105	175	183	159	124	95	82	83	87	82	96	31	18	108	77	22	44	14	8	25	24	18	18	12	43	76	43	34	19	27	42	19	6	17	98	51	27	5	99	116					
		8.10%	5.89%	7.40%	6.50%	8.32%	5.83%	4.88%	6.73%	8.68%	7.01%	6.52%	18.77%	7.20%	8.70%	11.06%	11.28%	10.10%	9.68%	6.97%	6.60%	7.82%	6.15%	7.28%	7.28%	9.42%	4.79%	10.70%	8.07%	4.35%	5.71%	9.66%	4.44%	9.73%	6.67%	3.88%	4.41%	7.27%	7.69%	10.86%	14.83%	7.56%	7.01%	5.77%	6.73%	16.52%	3.49%	6.30%	9.98%	12.85%	5.77%	5.56%	10.98%	8.68%					
																																																											
24	Против всех	1189	10	7	27	23	28	10	31	31	46	23	6	43	43	75	78	40	48	38	31	47	52	41	48	8	6	23	28	7	14	2	5	2	8	4	5	5	16	13	5	12	5	9	19	1	1	7	23	5	11	0	73	46					
		3.11%	1.37%	1.26%	3.14%	4.25%	2.18%	3.48%	2.43%	4.72%	5.04%	4.17%	1.68%	2.98%	3.56%	4.74%	4.81%	2.54%	3.75%	2.79%	2.49%	4.43%	3.67%	3.64%	3.64%	2.43%	1.60%	2.28%	2.94%	1.38%	1.82%	1.38%	2.78%	0.78%	2.22%	0.86%	1.23%	3.03%	2.86%	1.86%	1.72%	2.67%	1.85%	1.92%	3.04%	0.87%	0.58%	2.59%	2.34%	1.26%	2.35%	0.00%	8.09%	3.44%					
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
