Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Арсеньевская городская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52					
		8.52%	8.24%	9.10%	6.83%	5.30%	7.92%	8.75%	6.60%	8.15%	9.67%	9.70%	8.48%	9.24%	7.68%	7.85%	7.84%	8.74%	8.93%	10.46%	8.87%	7.58%	7.32%	6.96%	11.40%	4.41%					
19	. Малышкин Олег Александрович	1668	95	28	73	38	54	97	96	76	56	97	86	49	55	66	73	94	89	76	74	50	66	58	104	18					
		5.32%	6.87%	3.86%	6.83%	6.29%	6.38%	5.34%	6.21%	4.56%	3.21%	5.67%	5.29%	3.12%	5.78%	4.80%	4.47%	5.27%	5.48%	4.39%	4.50%	4.68%	7.67%	8.08%	7.27%	8.82%					
20	. Миронов Сергей Михайлович	476	14	11	8	6	13	30	28	32	49	23	23	19	13	19	20	32	35	16	22	18	13	15	16	1					
		1.52%	1.01%	1.52%	0.75%	0.99%	1.54%	1.65%	1.81%	1.92%	2.80%	1.34%	1.41%	1.21%	1.37%	1.38%	1.22%	1.79%	2.16%	0.92%	1.34%	1.69%	1.51%	2.09%	1.12%	0.49%					
21	. Путин Владимир Владимирович	13276	582	284	476	294	370	708	739	687	715	666	637	737	422	633	664	735	664	699	694	459	415	320	582	94					
		42.36%	42.08%	39.17%	44.53%	48.68%	43.74%	38.97%	47.80%	41.19%	40.93%	38.90%	39.15%	46.97%	44.37%	46.00%	40.66%	41.20%	40.89%	40.38%	42.16%	42.98%	48.20%	44.57%	40.70%	46.08%					
22	. Хакамада Ирина Муцуовна	2448	101	51	98	33	48	148	124	124	140	143	168	101	69	99	111	134	151	134	140	79	76	62	100	14					
		7.81%	7.30%	7.03%	9.17%	5.46%	5.67%	8.15%	8.02%	7.43%	8.01%	8.35%	10.33%	6.44%	7.26%	7.19%	6.80%	7.51%	9.30%	7.74%	8.51%	7.40%	8.83%	8.64%	6.99%	6.86%					
23	. Харитонов Николай Михайлович	8445	355	234	266	156	243	515	351	500	504	481	459	401	245	348	512	478	414	510	420	316	184	135	362	56					
		26.95%	25.67%	32.28%	24.88%	25.83%	28.72%	28.34%	22.70%	29.98%	28.85%	28.10%	28.21%	25.56%	25.76%	25.29%	31.35%	26.79%	25.49%	29.46%	25.52%	29.59%	21.37%	18.80%	25.31%	27.45%					
																															
24	Против всех	2158	106	42	64	42	47	152	99	106	104	120	110	107	71	94	112	146	115	102	142	57	37	74	98	11					
		6.89%	7.66%	5.79%	5.99%	6.95%	5.56%	8.37%	6.40%	6.35%	5.95%	7.01%	6.76%	6.82%	7.47%	6.83%	6.86%	8.18%	7.08%	5.89%	8.63%	5.34%	4.30%	10.31%	6.85%	5.39%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
