Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Кривошеинский район																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501					
14	Число неиспользованных открепительных удостоверений	111	5	4	6	0	2	1	2	3	4	14	8	11	5	9	7	0	14	13	0	2	0	0	1					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	167	26	3	5	0	2	2	1	2	3	11	13	12	2	10	9	16	16	10	5	2	7	8	2					
		2.02%	2.90%	1.69%	1.71%	0.00%	0.74%	1.33%	1.45%	1.16%	3.61%	2.27%	2.31%	2.44%	1.71%	1.78%	1.58%	1.97%	2.54%	1.78%	1.83%	1.71%	2.21%	2.61%	0.78%					
19	. Малышкин Олег Александрович	269	38	1	13	1	22	3	4	4	1	13	9	13	8	12	11	12	21	20	17	6	7	10	23					
		3.25%	4.24%	0.56%	4.45%	0.87%	8.12%	2.00%	5.80%	2.33%	1.20%	2.68%	1.60%	2.65%	6.84%	2.13%	1.93%	1.48%	3.33%	3.55%	6.23%	5.13%	2.21%	3.27%	9.02%					
20	. Миронов Сергей Михайлович	96	7	0	3	1	3	4	2	1	0	3	6	4	2	8	11	9	8	8	3	3	5	1	4					
		1.16%	0.78%	0.00%	1.03%	0.87%	1.11%	2.67%	2.90%	0.58%	0.00%	0.62%	1.07%	0.81%	1.71%	1.42%	1.93%	1.11%	1.27%	1.42%	1.10%	2.56%	1.58%	0.33%	1.57%					
21	. Путин Владимир Владимирович	5627	630	123	177	54	166	101	50	132	70	358	433	356	85	339	374	558	449	378	136	85	237	202	134					
		67.91%	70.31%	69.10%	60.62%	46.96%	61.25%	67.33%	72.46%	76.74%	84.34%	73.81%	77.05%	72.51%	72.65%	60.21%	65.73%	68.80%	71.16%	67.14%	49.82%	72.65%	74.76%	66.01%	52.55%					
22	. Хакамада Ирина Муцуовна	171	14	3	7	4	4	3	3	1	3	6	7	11	9	17	12	20	16	11	4	1	2	6	7					
		2.06%	1.56%	1.69%	2.40%	3.48%	1.48%	2.00%	4.35%	0.58%	3.61%	1.24%	1.25%	2.24%	7.69%	3.02%	2.11%	2.47%	2.54%	1.95%	1.47%	0.85%	0.63%	1.96%	2.75%					
23	. Харитонов Николай Михайлович	1696	154	40	80	55	65	35	7	22	5	84	83	89	5	146	130	162	110	115	97	20	49	64	79					
		20.47%	17.19%	22.47%	27.40%	47.83%	23.99%	23.33%	10.14%	12.79%	6.02%	17.32%	14.77%	18.13%	4.27%	25.93%	22.85%	19.98%	17.43%	20.43%	35.53%	17.09%	15.46%	20.92%	30.98%					
																														
24	Против всех	208	19	6	2	0	9	2	2	9	1	9	8	3	6	25	15	30	11	18	8	0	6	14	5					
		2.51%	2.12%	3.37%	0.68%	0.00%	3.32%	1.33%	2.90%	5.23%	1.20%	1.86%	1.42%	0.61%	5.13%	4.44%	2.64%	3.70%	1.74%	3.20%	2.93%	0.00%	1.89%	4.58%	1.96%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
