Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Шахунская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486					
		17.80%	17.54%	20.08%	18.46%	20.16%	16.10%	13.48%	24.95%	13.17%	17.20%	15.93%	19.46%	21.29%	16.78%	26.26%	15.88%	13.43%	19.42%	10.14%	10.42%	15.26%	8.67%	4.92%	18.33%	16.22%	23.29%	14.43%	16.08%	20.23%	10.43%	8.26%	12.02%	21.56%	17.61%	21.19%	14.59%	13.92%	23.40%					
																																												
24	Против всех	489	46	36	39	38	37	14	8	27	28	20	28	15	13	44	4	2	8	2	1	3	3	1	17	2	8	2	1	6	4	1	0	7	0	8	5	5	6					
		2.40%	3.72%	2.72%	3.20%	3.00%	3.15%	2.19%	1.60%	2.71%	2.36%	2.21%	2.90%	3.01%	2.91%	3.65%	0.82%	0.60%	1.67%	0.97%	0.52%	1.58%	2.00%	0.26%	4.72%	0.60%	2.74%	0.51%	0.70%	1.00%	3.48%	0.92%	0.00%	1.89%	0.00%	1.19%	2.70%	1.29%	6.38%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
