Выборы Президента Российской Федерации																																																																																														
																																																																																														
Наименование Избирательной комиссии:    Сургутская городская																																																																																														
																																																																																														
Итоги голосования 																																																																																														
																																																																																														
		Сумма	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК  211					
22	. Хакамада Ирина Муцуовна	7329	24	44	20	81	64	54	76	70	17	27	26	22	127	55	46	122	94	95	94	64	97	118	86	46	102	72	117	98	68	120	108	112	86	71	91	76	80	84	117	101	115	103	116	100	102	86	65	62	92	94	109	67	50	39	100	92	100	100	114	85	85	99	91	88	119	98	135	103	116	117	69	111	103	98	83	107	83	81	90	92	84	118	87	78	73	22	36					
		6.56%	7.77%	5.06%	3.49%	5.81%	4.53%	4.90%	5.11%	4.92%	3.48%	4.95%	3.58%	4.05%	7.44%	5.34%	5.19%	7.42%	6.05%	7.11%	7.11%	6.08%	7.22%	7.38%	6.40%	8.07%	7.70%	6.20%	7.46%	8.68%	9.12%	7.70%	7.06%	7.77%	7.14%	5.67%	6.35%	8.21%	5.85%	6.36%	7.29%	9.62%	7.05%	6.10%	7.03%	6.42%	6.52%	6.20%	5.41%	4.59%	5.99%	7.83%	6.80%	6.31%	4.06%	5.72%	7.06%	6.59%	7.65%	6.22%	8.42%	6.78%	7.87%	5.98%	6.79%	6.86%	8.45%	5.80%	8.40%	8.34%	7.21%	6.85%	6.34%	7.12%	6.90%	6.37%	5.05%	7.25%	6.48%	5.53%	5.99%	6.16%	5.85%	7.76%	7.21%	5.77%	6.13%	3.48%	6.09%					
23	. Харитонов Николай Михайлович	6924	21	55	39	67	86	93	103	105	44	36	46	31	114	66	49	118	117	80	83	63	93	83	80	40	109	54	102	79	42	101	99	100	78	85	105	53	90	78	91	69	92	106	119	78	88	86	70	75	84	50	102	74	74	37	70	106	95	102	76	72	67	74	70	78	97	108	119	83	97	106	77	98	117	83	81	64	90	68	92	84	75	79	59	82	87	45	41					
		6.20%	6.80%	6.32%	6.81%	4.80%	6.09%	8.43%	6.93%	7.38%	9.02%	6.59%	6.33%	5.71%	6.68%	6.41%	5.53%	7.18%	7.52%	5.99%	6.28%	5.98%	6.92%	5.19%	5.96%	7.02%	8.23%	4.65%	6.51%	7.00%	5.63%	6.48%	6.47%	6.93%	6.47%	6.78%	7.33%	5.72%	6.58%	5.91%	5.67%	6.57%	5.64%	6.28%	7.21%	5.01%	5.62%	6.20%	5.83%	5.56%	5.47%	4.16%	6.36%	6.97%	6.01%	5.43%	4.94%	7.59%	7.26%	6.35%	5.61%	5.74%	6.20%	4.47%	5.22%	6.08%	6.89%	6.39%	7.40%	6.72%	6.03%	6.21%	7.08%	6.29%	7.84%	5.39%	4.93%	4.34%	7.03%	4.64%	6.12%	5.63%	5.22%	5.19%	4.89%	6.07%	7.30%	7.12%	6.94%					
																																																																																														
24	Против всех	5485	12	27	15	62	61	46	56	49	26	14	26	37	102	62	52	92	82	62	65	49	61	80	71	33	83	36	70	46	35	85	83	86	60	71	71	47	69	73	85	53	83	83	68	76	85	66	45	80	81	60	69	62	66	31	70	71	60	90	74	58	52	95	59	66	72	84	91	63	86	91	34	80	57	66	77	68	87	73	79	86	67	73	41	69	35	22	39					
		4.91%	3.88%	3.10%	2.62%	4.44%	4.32%	4.17%	3.77%	3.45%	5.33%	2.56%	3.58%	6.81%	5.98%	6.03%	5.87%	5.60%	5.27%	4.64%	4.92%	4.65%	4.54%	5.00%	5.29%	5.79%	6.26%	3.10%	4.46%	4.07%	4.69%	5.45%	5.42%	5.96%	4.98%	5.67%	4.96%	5.08%	5.05%	5.53%	5.30%	5.05%	5.09%	4.92%	4.12%	4.88%	5.43%	4.76%	3.75%	5.93%	5.28%	5.00%	4.30%	5.84%	5.36%	4.55%	4.94%	5.08%	4.59%	5.60%	5.47%	4.63%	4.81%	5.74%	4.40%	5.14%	5.11%	4.97%	5.66%	5.10%	5.35%	5.33%	3.12%	5.13%	3.82%	4.29%	4.69%	4.61%	6.80%	4.98%	5.26%	5.76%	4.67%	4.80%	3.40%	5.10%	2.94%	3.48%	6.60%					
																																																																																														
																																																																																														
																																																																																														
