Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Доволенская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	132	11	1	4	0	13	15	23	1	14	2	3	2	0	1	5	0	0	1	0	0	1	0	9	1	9	0	6	4	5	1					
		1.23%	2.07%	1.69%	0.97%	0.00%	2.50%	1.50%	2.75%	1.06%	1.60%	0.88%	2.59%	0.43%	0.00%	0.24%	0.59%	0.00%	0.00%	0.95%	0.00%	0.00%	0.18%	0.00%	1.40%	0.94%	2.05%	0.00%	1.37%	2.82%	1.26%	0.54%					
19	. Малышкин Олег Александрович	213	11	3	6	1	18	19	19	5	13	9	2	13	1	12	9	2	3	2	5	1	3	0	10	3	17	5	8	3	5	5					
		1.98%	2.07%	5.08%	1.45%	0.99%	3.47%	1.90%	2.27%	5.32%	1.49%	3.95%	1.72%	2.78%	0.90%	2.89%	1.06%	2.60%	1.28%	1.90%	2.75%	0.52%	0.55%	0.00%	1.55%	2.83%	3.87%	1.52%	1.83%	2.11%	1.26%	2.72%					
20	. Миронов Сергей Михайлович	31	1	0	0	0	5	2	5	1	4	1	0	2	0	1	1	0	0	0	0	0	1	0	2	0	2	0	1	2	0	0					
		0.29%	0.19%	0.00%	0.00%	0.00%	0.96%	0.20%	0.60%	1.06%	0.46%	0.44%	0.00%	0.43%	0.00%	0.24%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.31%	0.00%	0.46%	0.00%	0.23%	1.41%	0.00%	0.00%					
21	. Путин Владимир Владимирович	4962	287	26	79	22	235	441	409	42	386	85	69	228	82	176	441	30	111	65	85	75	241	81	291	57	214	186	210	86	143	79					
		46.08%	54.05%	44.07%	19.08%	21.78%	45.28%	44.19%	48.86%	44.68%	44.16%	37.28%	59.48%	48.82%	73.87%	42.41%	51.76%	38.96%	47.23%	61.90%	46.70%	38.66%	44.30%	58.70%	45.19%	53.77%	48.75%	56.53%	47.95%	60.56%	36.11%	42.93%					
22	. Хакамада Ирина Муцуовна	175	9	1	5	3	1	22	12	1	16	5	1	10	1	14	14	3	0	1	2	4	11	1	7	3	11	5	4	3	3	2					
		1.63%	1.69%	1.69%	1.21%	2.97%	0.19%	2.20%	1.43%	1.06%	1.83%	2.19%	0.86%	2.14%	0.90%	3.37%	1.64%	3.90%	0.00%	0.95%	1.10%	2.06%	2.02%	0.72%	1.09%	2.83%	2.51%	1.52%	0.91%	2.11%	0.76%	1.09%					
23	. Харитонов Николай Михайлович	5013	200	28	311	75	225	475	346	41	410	125	40	200	24	210	366	40	119	36	85	111	279	55	305	39	178	124	192	40	239	95					
		46.55%	37.66%	47.46%	75.12%	74.26%	43.35%	47.60%	41.34%	43.62%	46.91%	54.82%	34.48%	42.83%	21.62%	50.60%	42.96%	51.95%	50.64%	34.29%	46.70%	57.22%	51.29%	39.86%	47.36%	36.79%	40.55%	37.69%	43.84%	28.17%	60.35%	51.63%					
																																					
24	Против всех	136	2	0	2	0	17	16	19	3	24	1	1	6	1	1	4	0	0	0	1	0	3	0	5	0	7	6	13	3	1	0					
		1.26%	0.38%	0.00%	0.48%	0.00%	3.28%	1.60%	2.27%	3.19%	2.75%	0.44%	0.86%	1.28%	0.90%	0.24%	0.47%	0.00%	0.00%	0.00%	0.55%	0.00%	0.55%	0.00%	0.78%	0.00%	1.59%	1.82%	2.97%	2.11%	0.25%	0.00%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
