Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Тихорецкая																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №5101	УИК №5102	УИК №5103	УИК №5104	УИК №5105	УИК №5106	УИК №5107	УИК №5108	УИК №5109	УИК №5110	УИК №5111	УИК №5112	УИК №5113	УИК №5114	УИК №5115	УИК №5116	УИК №5117	УИК №5118	УИК №5119	УИК №5120	УИК №5121	УИК №5122	УИК №5123	УИК №5124	УИК №5125	УИК №5126	УИК №5127	УИК №5128	УИК №5129	УИК №5130	УИК №5131	УИК №5132	УИК №5133	УИК №5134	УИК №5135	УИК №5136	УИК №5137	УИК №5138	УИК №5139	УИК №5140	УИК №5141					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	88	1	0	1	2	4	1	1	3	3	3	3	1	1	5	9	1	5	2	1	0	4	1	3	7	1	0	2	1	3	0	1	4	1	0	2	2	0	4	3	2	0					
14	Число неиспользованных открепительных удостоверений	551	13	15	8	11	16	17	13	16	19	19	12	7	9	19	23	14	19	20	19	6	17	14	5	20	12	9	11	20	5	14	24	21	22	5	4	11	5	15	12	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	851	52	11	11	33	24	11	15	32	32	19	14	7	1	36	43	19	20	24	20	20	58	15	9	32	17	19	12	15	2	11	56	32	31	3	1	20	6	22	39	4	3					
		2.59%	3.02%	1.48%	2.48%	4.00%	3.37%	1.34%	1.98%	4.35%	3.86%	2.50%	1.64%	2.05%	0.31%	3.28%	2.26%	2.47%	2.34%	2.41%	2.11%	2.69%	4.28%	1.72%	4.27%	2.24%	2.12%	2.10%	1.45%	1.62%	0.86%	1.29%	3.62%	2.39%	3.12%	1.91%	0.53%	2.37%	3.43%	3.12%	4.21%	1.84%	1.97%					
19	. Малышкин Олег Александрович	723	37	17	14	18	13	16	18	27	19	18	26	16	14	26	37	33	23	31	14	4	30	21	2	24	12	34	16	15	4	13	29	28	11	4	3	13	4	14	16	6	3					
		2.20%	2.15%	2.29%	3.16%	2.18%	1.82%	1.95%	2.38%	3.67%	2.29%	2.37%	3.05%	4.69%	4.32%	2.37%	1.95%	4.29%	2.69%	3.11%	1.48%	0.54%	2.21%	2.40%	0.95%	1.68%	1.50%	3.76%	1.94%	1.62%	1.72%	1.53%	1.88%	2.09%	1.11%	2.55%	1.60%	1.54%	2.29%	1.98%	1.73%	2.76%	1.97%					
20	. Миронов Сергей Михайлович	184	6	11	1	3	7	7	5	10	2	5	0	0	1	3	7	3	3	7	5	3	39	3	0	5	2	2	4	1	2	3	9	8	3	1	0	3	2	3	3	2	0					
		0.56%	0.35%	1.48%	0.23%	0.36%	0.98%	0.85%	0.66%	1.36%	0.24%	0.66%	0.00%	0.00%	0.31%	0.27%	0.37%	0.39%	0.35%	0.70%	0.53%	0.40%	2.88%	0.34%	0.00%	0.35%	0.25%	0.22%	0.48%	0.11%	0.86%	0.35%	0.58%	0.60%	0.30%	0.64%	0.00%	0.36%	1.14%	0.42%	0.32%	0.92%	0.00%					
21	. Путин Владимир Владимирович	21581	1138	553	321	536	458	563	476	419	426	485	580	267	211	688	1356	504	591	576	667	434	844	700	119	1009	511	565	620	601	137	592	915	815	680	124	137	611	132	494	462	143	121					
		65.75%	66.16%	74.53%	72.46%	65.05%	64.24%	68.57%	62.88%	57.01%	51.39%	63.73%	68.00%	78.30%	65.12%	62.66%	71.41%	65.54%	69.04%	57.83%	70.51%	58.33%	62.24%	80.09%	56.40%	70.71%	63.88%	62.43%	75.06%	64.90%	59.05%	69.65%	59.18%	60.78%	68.55%	78.98%	73.26%	72.48%	75.43%	69.97%	49.84%	65.90%	79.61%					
22	. Хакамада Ирина Муцуовна	452	25	12	5	8	11	11	13	15	13	12	9	5	1	15	31	11	12	24	12	3	19	11	2	28	6	10	6	5	1	3	17	51	5	3	2	8	1	11	12	2	1					
		1.38%	1.45%	1.62%	1.13%	0.97%	1.54%	1.34%	1.72%	2.04%	1.57%	1.58%	1.06%	1.47%	0.31%	1.37%	1.63%	1.43%	1.40%	2.41%	1.27%	0.40%	1.40%	1.26%	0.95%	1.96%	0.75%	1.10%	0.73%	0.54%	0.43%	0.35%	1.10%	3.80%	0.50%	1.91%	1.07%	0.95%	0.57%	1.56%	1.29%	0.92%	0.66%					
23	. Харитонов Николай Михайлович	8139	414	128	84	202	174	181	211	195	313	190	205	38	94	285	379	188	175	291	203	271	330	114	76	281	237	248	160	269	81	212	481	381	240	19	40	161	30	127	356	52	23					
		24.80%	24.07%	17.25%	18.96%	24.51%	24.40%	22.05%	27.87%	26.53%	37.76%	24.97%	24.03%	11.14%	29.01%	25.96%	19.96%	24.45%	20.44%	29.22%	21.46%	36.42%	24.34%	13.04%	36.02%	19.69%	29.62%	27.40%	19.37%	29.05%	34.91%	24.94%	31.11%	28.41%	24.19%	12.10%	21.39%	19.10%	17.14%	17.99%	38.40%	23.96%	15.13%					
																																																
24	Против всех	647	28	9	5	6	21	19	15	30	24	21	13	6	0	40	30	5	22	30	22	3	28	10	3	40	12	21	5	17	3	11	32	20	11	1	4	14	0	28	35	3	0					
		1.97%	1.63%	1.21%	1.13%	0.73%	2.95%	2.31%	1.98%	4.08%	2.90%	2.76%	1.52%	1.76%	0.00%	3.64%	1.58%	0.65%	2.57%	3.01%	2.33%	0.40%	2.06%	1.14%	1.42%	2.80%	1.50%	2.32%	0.61%	1.84%	1.29%	1.29%	2.07%	1.49%	1.11%	0.64%	2.14%	1.66%	0.00%	3.97%	3.78%	1.38%	0.00%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
