Выборы Президента Российской Федерации																																																																											
																																																																											
Наименование Избирательной комиссии:    Лискинская																																																																											
																																																																											
Итоги голосования 																																																																											
																																																																											
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК  2065	УИК  2066	УИК  2067	УИК  2068					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																											
18	. Глазьев Сергей Юрьевич	1477	19	27	38	6	35	27	75	36	50	60	15	20	37	62	54	42	57	64	2	46	41	22	38	23	16	6	1	11	7	3	27	19	13	26	12	21	35	6	10	5	13	7	5	0	14	16	0	9	1	6	15	8	22	25	13	10	6	20	21	4	24	10	5	13	32	33	15	16					
		2.45%	2.14%	2.59%	3.23%	0.50%	2.92%	2.32%	4.00%	3.37%	4.61%	3.81%	1.50%	1.84%	2.59%	4.16%	3.29%	3.12%	2.66%	3.76%	0.89%	3.44%	3.36%	2.14%	3.04%	2.79%	3.24%	1.56%	0.82%	2.72%	1.35%	1.01%	1.37%	2.76%	1.68%	3.42%	1.60%	2.29%	2.58%	1.06%	1.63%	2.29%	1.03%	1.30%	1.41%	0.00%	1.71%	2.67%	0.00%	2.28%	0.52%	4.58%	1.58%	2.14%	2.49%	2.19%	1.68%	1.79%	1.49%	2.53%	1.90%	1.10%	2.92%	1.50%	0.84%	1.35%	1.91%	2.37%	2.35%	2.23%					
19	. Малышкин Олег Александрович	1703	24	21	38	36	26	23	65	24	31	42	19	31	46	54	63	43	66	56	5	46	47	22	45	24	10	11	4	17	16	12	45	7	27	22	15	25	31	12	14	2	43	14	15	1	10	24	6	4	5	1	46	12	43	26	24	15	9	28	41	21	20	12	18	31	26	19	4	18					
		2.83%	2.71%	2.01%	3.23%	3.02%	2.17%	1.97%	3.47%	2.25%	2.86%	2.67%	1.90%	2.85%	3.23%	3.62%	3.84%	3.19%	3.08%	3.29%	2.23%	3.44%	3.85%	2.14%	3.60%	2.91%	2.02%	2.86%	3.28%	4.21%	3.08%	4.05%	2.29%	1.02%	3.48%	2.89%	2.01%	2.73%	2.29%	2.12%	2.29%	0.92%	3.41%	2.59%	4.24%	0.62%	1.22%	4.01%	4.65%	1.01%	2.60%	0.76%	4.84%	3.22%	4.87%	2.28%	3.09%	2.69%	2.24%	3.55%	3.71%	5.79%	2.44%	1.80%	3.04%	3.22%	1.55%	1.36%	0.63%	2.50%					
20	. Миронов Сергей Михайлович	510	3	14	11	31	11	14	22	10	14	16	6	8	7	11	59	10	17	19	2	12	14	7	10	9	1	1	3	2	6	0	9	1	7	3	3	6	11	2	14	1	7	1	4	0	5	3	0	2	0	1	3	0	11	5	6	6	1	4	4	1	4	5	2	4	4	10	2	8					
		0.85%	0.34%	1.34%	0.93%	2.60%	0.92%	1.20%	1.17%	0.94%	1.29%	1.02%	0.60%	0.73%	0.49%	0.74%	3.59%	0.74%	0.79%	1.12%	0.89%	0.90%	1.15%	0.68%	0.80%	1.09%	0.20%	0.26%	2.46%	0.50%	1.16%	0.00%	0.46%	0.15%	0.90%	0.39%	0.40%	0.66%	0.81%	0.35%	2.29%	0.46%	0.56%	0.19%	1.13%	0.00%	0.61%	0.50%	0.00%	0.51%	0.00%	0.76%	0.32%	0.00%	1.25%	0.44%	0.77%	1.08%	0.25%	0.51%	0.36%	0.28%	0.49%	0.75%	0.34%	0.42%	0.24%	0.72%	0.31%	1.11%					
21	. Путин Владимир Владимирович	41674	598	680	767	797	699	718	1166	639	664	969	757	708	984	941	1023	919	1456	1097	158	817	781	753	762	590	382	314	77	274	371	221	1465	521	569	596	571	634	945	415	432	154	1029	392	279	132	662	395	83	245	128	106	675	278	665	827	567	405	291	556	761	276	550	505	462	771	1283	952	485	530					
		69.22%	67.42%	65.20%	65.17%	66.86%	58.35%	61.58%	62.22%	59.83%	61.20%	61.56%	75.78%	65.01%	69.00%	63.15%	62.30%	68.18%	67.88%	64.45%	70.54%	61.02%	63.91%	73.25%	61.01%	71.60%	77.33%	81.56%	63.11%	67.82%	71.48%	74.66%	74.48%	75.73%	73.42%	78.32%	76.34%	69.21%	69.79%	73.45%	70.59%	70.64%	81.67%	72.59%	78.81%	81.48%	80.73%	65.94%	64.34%	62.03%	66.67%	80.92%	71.05%	74.53%	75.31%	72.61%	73.07%	72.58%	72.39%	70.47%	68.87%	76.03%	66.99%	75.94%	78.04%	80.15%	76.60%	68.24%	76.02%	73.71%					
22	. Хакамада Ирина Муцуовна	1135	27	33	32	26	38	31	54	34	28	45	19	32	37	26	37	18	35	41	4	39	28	13	31	18	8	6	2	7	2	0	17	7	10	5	12	3	31	8	5	0	22	9	0	5	12	10	4	10	0	3	18	4	12	10	12	4	7	18	15	2	15	7	12	13	35	17	7	3					
		1.89%	3.04%	3.16%	2.72%	2.18%	3.17%	2.66%	2.88%	3.18%	2.58%	2.86%	1.90%	2.94%	2.59%	1.74%	2.25%	1.34%	1.63%	2.41%	1.79%	2.91%	2.29%	1.26%	2.48%	2.18%	1.62%	1.56%	1.64%	1.73%	0.39%	0.00%	0.86%	1.02%	1.29%	0.66%	1.60%	0.33%	2.29%	1.42%	0.82%	0.00%	1.75%	1.67%	0.00%	3.09%	1.46%	1.67%	3.10%	2.53%	0.00%	2.29%	1.89%	1.07%	1.36%	0.88%	1.55%	0.72%	1.74%	2.28%	1.36%	0.55%	1.83%	1.05%	2.03%	1.35%	2.09%	1.22%	1.10%	0.42%					
23	. Харитонов Николай Михайлович	11616	181	224	233	224	342	301	418	278	256	367	151	256	266	305	300	258	467	319	42	304	228	179	289	148	67	38	29	79	104	56	369	120	133	104	127	196	270	110	110	52	127	103	48	24	101	138	32	109	57	14	179	61	108	214	124	110	69	141	232	46	176	115	80	106	269	312	105	116					
		19.30%	20.41%	21.48%	19.80%	18.79%	28.55%	25.81%	22.31%	26.03%	23.59%	23.32%	15.12%	23.51%	18.65%	20.47%	18.27%	19.14%	21.77%	18.74%	18.75%	22.70%	18.66%	17.41%	23.14%	17.96%	13.56%	9.87%	23.77%	19.55%	20.04%	18.92%	18.76%	17.44%	17.16%	13.67%	16.98%	21.40%	19.94%	19.47%	17.97%	23.85%	10.08%	19.07%	13.56%	14.81%	12.32%	23.04%	24.81%	27.59%	29.69%	10.69%	18.84%	16.35%	12.23%	18.79%	15.98%	19.71%	17.16%	17.87%	21.00%	12.67%	21.44%	17.29%	13.51%	11.02%	16.06%	22.37%	16.46%	16.13%					
																																																																											
24	Против всех	1693	31	40	47	57	42	38	68	40	37	64	26	26	43	68	93	55	44	89	10	61	73	28	60	8	9	7	5	9	8	1	29	10	8	2	5	26	26	9	23	3	15	6	3	0	10	5	1	13	0	0	13	7	17	22	25	8	9	20	19	12	16	10	3	24	26	46	16	19					
		2.81%	3.49%	3.84%	3.99%	4.78%	3.51%	3.26%	3.63%	3.75%	3.41%	4.07%	2.60%	2.39%	3.02%	4.56%	5.66%	4.08%	2.05%	5.23%	4.46%	4.56%	5.97%	2.72%	4.80%	0.97%	1.82%	1.82%	4.10%	2.23%	1.54%	0.34%	1.47%	1.45%	1.03%	0.26%	0.67%	2.84%	1.92%	1.59%	3.76%	1.38%	1.19%	1.11%	0.85%	0.00%	1.22%	0.83%	0.78%	3.29%	0.00%	0.00%	1.37%	1.88%	1.93%	1.93%	3.22%	1.43%	2.24%	2.53%	1.72%	3.31%	1.95%	1.50%	0.51%	2.49%	1.55%	3.30%	2.51%	2.64%					
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
