Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Армизонская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82					
24	Против всех	156	45	17	25	1	2	6	4	0	0	11	0	0	4	1	0	5	9	2	5	3	0	3	0	7	1	3	2					
		2.37%	3.38%	2.92%	3.39%	1.27%	1.92%	5.71%	1.18%	0.00%	0.00%	2.52%	0.00%	0.00%	1.43%	1.45%	0.00%	10.64%	2.17%	2.25%	1.81%	2.50%	0.00%	1.53%	0.00%	1.82%	2.04%	1.96%	4.26%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
