Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Нуримановская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055	УИК №3056	УИК №3057	УИК №3058	УИК №3059	УИК №3060	УИК №3061	УИК №3062	УИК №3063	УИК №3064	УИК №3065	УИК №3066	УИК №3067	УИК №3068	УИК №3069	УИК №3070	УИК №3071	УИК №3072	УИК №3073	УИК №3074	УИК №3075	УИК №3076	УИК №3077					
12	Число выданных открепительных удостоверений	94	3	1	0	0	4	13	2	0	0	0	0	9	9	11	9	1	0	1	3	0	1	0	0	0	6	4	0	1	7	5	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	77	2	2	4	3	7	6	3	1	0	0	0	2	2	2	1	1	1	1	2	2	1	5	1	1	5	0	3	2	6	6	5					
14	Число неиспользованных открепительных удостоверений	104	3	2	5	2	2	0	3	6	3	3	5	9	6	2	1	3	4	3	0	2	1	4	3	5	4	6	5	9	3	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	71	2	0	2	0	2	7	3	1	0	4	0	3	1	6	7	0	0	1	1	4	0	3	0	0	9	1	0	2	2	9	1					
		0.50%	0.27%	0.00%	0.73%	0.00%	0.37%	0.64%	0.59%	0.28%	0.00%	1.12%	0.00%	0.46%	0.17%	0.91%	1.12%	0.00%	0.00%	0.20%	0.25%	1.84%	0.00%	0.89%	0.00%	0.00%	1.11%	0.12%	0.00%	0.70%	0.24%	0.85%	0.17%					
19	. Малышкин Олег Александрович	55	2	0	0	0	0	14	0	0	0	0	0	1	1	0	3	1	1	10	0	0	0	7	0	0	6	4	0	0	3	0	2					
		0.39%	0.27%	0.00%	0.00%	0.00%	0.00%	1.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.17%	0.00%	0.48%	0.37%	0.68%	1.97%	0.00%	0.00%	0.00%	2.08%	0.00%	0.00%	0.74%	0.49%	0.00%	0.00%	0.36%	0.00%	0.33%					
20	. Миронов Сергей Михайлович	37	3	0	1	0	0	3	0	0	0	0	0	3	1	0	3	0	2	2	0	3	0	4	0	0	1	3	0	1	0	6	1					
		0.26%	0.40%	0.00%	0.36%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.17%	0.00%	0.48%	0.00%	1.36%	0.39%	0.00%	1.38%	0.00%	1.19%	0.00%	0.00%	0.12%	0.37%	0.00%	0.35%	0.00%	0.57%	0.17%					
21	. Путин Владимир Владимирович	13504	725	154	265	170	534	1034	490	343	140	347	286	611	540	646	565	253	135	475	374	190	245	289	231	159	765	777	125	275	781	1002	578					
		94.75%	97.71%	98.09%	96.36%	100.00%	97.62%	95.12%	96.46%	96.35%	95.24%	96.93%	99.65%	94.00%	90.76%	97.88%	90.26%	94.40%	91.84%	93.69%	94.92%	87.56%	93.87%	85.76%	100.00%	87.36%	94.33%	95.93%	80.65%	96.83%	94.67%	94.80%	96.17%					
22	. Хакамада Ирина Муцуовна	102	1	0	0	0	1	6	4	3	0	1	0	3	10	4	7	0	0	2	2	2	3	4	0	4	10	2	8	4	5	10	6					
		0.72%	0.13%	0.00%	0.00%	0.00%	0.18%	0.55%	0.79%	0.84%	0.00%	0.28%	0.00%	0.46%	1.68%	0.61%	1.12%	0.00%	0.00%	0.39%	0.51%	0.92%	1.15%	1.19%	0.00%	2.20%	1.23%	0.25%	5.16%	1.41%	0.61%	0.95%	1.00%					
23	. Харитонов Николай Михайлович	348	7	3	7	0	5	17	10	9	4	4	1	22	30	1	38	11	5	12	7	17	12	17	0	18	15	20	16	0	19	14	7					
		2.44%	0.94%	1.91%	2.55%	0.00%	0.91%	1.56%	1.97%	2.53%	2.72%	1.12%	0.35%	3.38%	5.04%	0.15%	6.07%	4.10%	3.40%	2.37%	1.78%	7.83%	4.60%	5.04%	0.00%	9.89%	1.85%	2.47%	10.32%	0.00%	2.30%	1.32%	1.16%					
																																						
24	Против всех	44	1	0	0	0	3	2	1	0	0	0	0	0	6	1	1	1	0	3	1	0	0	2	0	1	3	0	0	1	10	4	3					
		0.31%	0.13%	0.00%	0.00%	0.00%	0.55%	0.18%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	1.01%	0.15%	0.16%	0.37%	0.00%	0.59%	0.25%	0.00%	0.00%	0.59%	0.00%	0.55%	0.37%	0.00%	0.00%	0.35%	1.21%	0.38%	0.50%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
