Выборы Президента Российской Федерации																																																																				
																																																																				
Наименование Избирательной комиссии:    Сармановская																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №2584	УИК №2585	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598					
11	Число полученных открепительных  удостоверений	499	8	4	1	4	3	1	6	8	2	1	1	6	2	5	6	1	2	1	1	3	1	1	1	1	5	2	1	14	1	1	2	1	8	1	1	2	3	8	1	3	4	2	4	4	19	33	15	22	28	17	9	3	2	17	33	34	30	28	25	25	21					
12	Число выданных открепительных удостоверений	356	8	0	0	2	0	0	6	5	0	0	1	6	2	3	2	0	1	1	0	1	0	0	0	0	3	1	1	7	1	0	2	0	1	1	1	0	0	8	0	1	4	0	0	3	3	25	8	10	19	9	6	0	2	17	33	31	26	28	21	25	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	122	0	2	0	1	2	2	1	0	0	0	0	5	0	2	3	3	2	0	0	2	0	0	0	1	1	2	0	1	0	1	0	2	0	3	0	0	0	3	0	0	3	0	0	2	0	3	3	4	6	4	4	0	0	6	10	7	2	10	6	9	4					
14	Число неиспользованных открепительных удостоверений	143	0	4	1	2	3	1	0	3	2	1	0	0	0	2	4	1	1	0	1	2	1	1	1	1	2	1	0	7	0	1	0	1	7	0	0	2	3	0	1	2	0	2	4	1	16	8	7	12	9	8	3	3	0	0	0	3	4	0	4	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																				
18	. Глазьев Сергей Юрьевич	152	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	2	3	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	2	3	1	0	5	0	0	0	4	9	3	0	3	4	2	1	0	0	13	6	6	17	7	40	11					
		0.57%	0.00%	0.00%	0.00%	0.26%	0.82%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.87%	1.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.90%	0.94%	1.25%	0.00%	1.05%	0.00%	0.00%	0.00%	0.73%	1.29%	0.44%	0.00%	0.36%	0.59%	0.38%	0.56%	0.00%	0.00%	0.86%	0.43%	0.53%	1.39%	0.54%	2.96%	0.80%					
19	. Малышкин Олег Александрович	93	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	4	2	2	2	1	1	1	0	7	10	10	8	4	16	5	13					
		0.35%	0.00%	0.00%	0.00%	0.26%	0.41%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.64%	0.21%	0.00%	0.00%	0.00%	0.00%	0.57%	0.29%	0.32%	0.24%	0.15%	0.19%	0.56%	0.00%	0.62%	0.66%	0.71%	0.71%	0.33%	1.24%	0.37%	0.94%					
20	. Миронов Сергей Михайлович	115	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	1	0	0	0	0	3	3	0	1	1	1	0	3	9	13	13	7	6	20	5	18					
		0.43%	0.00%	0.00%	0.00%	0.26%	0.41%	0.00%	0.00%	0.30%	0.00%	0.00%	0.20%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.26%	1.25%	0.64%	0.21%	0.00%	0.00%	0.00%	0.00%	0.43%	0.44%	0.00%	0.12%	0.15%	0.19%	0.00%	1.67%	0.80%	0.86%	0.93%	0.62%	0.49%	1.55%	0.37%	1.30%					
21	. Путин Владимир Владимирович	25482	342	213	132	374	231	104	332	317	85	202	489	250	214	152	198	101	206	270	380	402	116	71	249	134	463	171	286	798	166	122	311	131	465	199	196	161	221	303	78	147	452	347	289	294	525	665	660	610	812	659	505	175	155	1021	1374	1297	1049	1119	1152	1242	1298					
		95.51%	100.00%	100.00%	100.00%	96.89%	95.06%	92.86%	98.52%	96.65%	96.59%	100.00%	99.80%	100.00%	100.00%	96.20%	94.29%	94.39%	91.96%	100.00%	99.74%	100.00%	100.00%	98.61%	97.27%	97.81%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	98.42%	98.50%	98.73%	100.00%	99.49%	100.00%	99.10%	95.28%	97.50%	94.23%	95.36%	100.00%	100.00%	100.00%	95.98%	95.00%	97.20%	96.98%	98.07%	97.34%	97.12%	97.77%	86.11%	91.16%	90.87%	92.44%	93.00%	91.65%	89.23%	91.93%	94.06%					
22	. Хакамада Ирина Муцуовна	239	0	0	0	2	3	2	0	2	0	0	0	0	0	2	0	0	6	0	0	0	0	0	3	1	0	0	0	0	0	0	1	1	3	0	1	0	0	1	0	2	4	0	0	0	2	5	3	8	3	3	2	1	6	33	26	26	18	22	25	12	10					
		0.90%	0.00%	0.00%	0.00%	0.52%	1.23%	1.79%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	1.27%	0.00%	0.00%	2.68%	0.00%	0.00%	0.00%	0.00%	0.00%	1.17%	0.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.75%	0.64%	0.00%	0.51%	0.00%	0.00%	0.31%	0.00%	1.28%	0.84%	0.00%	0.00%	0.00%	0.37%	0.71%	0.44%	1.27%	0.36%	0.44%	0.38%	0.56%	3.33%	2.95%	1.72%	1.85%	1.60%	1.80%	1.94%	0.89%	0.72%					
23	. Харитонов Николай Михайлович	349	0	0	0	3	4	1	3	4	2	0	0	0	0	0	7	0	7	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	3	0	0	0	0	2	0	2	8	0	0	0	14	10	5	5	4	5	4	1	15	28	40	37	16	36	29	33	16					
		1.31%	0.00%	0.00%	0.00%	0.78%	1.65%	0.89%	0.89%	1.22%	2.27%	0.00%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	3.12%	0.00%	0.00%	0.00%	0.00%	1.39%	0.39%	0.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.75%	0.64%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	1.28%	1.69%	0.00%	0.00%	0.00%	2.56%	1.43%	0.74%	0.79%	0.48%	0.74%	0.77%	0.56%	8.33%	2.50%	2.65%	2.64%	1.42%	2.95%	2.25%	2.44%	1.16%					
																																																																				
24	Против всех	176	0	0	0	4	1	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	3	0	0	0	1	3	3	4	3	2	5	0	1	18	22	12	14	17	35	5	11					
		0.66%	0.00%	0.00%	0.00%	1.04%	0.41%	0.00%	0.59%	0.30%	1.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.26%	0.00%	1.28%	0.63%	0.00%	0.00%	0.00%	0.18%	0.43%	0.44%	0.64%	0.36%	0.30%	0.96%	0.00%	0.56%	1.61%	1.46%	0.86%	1.24%	1.39%	2.71%	0.37%	0.80%					
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
