Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Сосновоборская городская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951									
		3.51%	2.63%	3.52%	3.08%	3.12%	2.95%	2.66%	3.14%	3.79%	4.06%	2.79%	3.02%	2.85%	3.47%	4.18%	3.70%	4.94%	3.47%	2.84%	3.91%	3.77%	3.68%	3.45%	4.25%	4.29%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3729	106	166	204	159	75	131	159	151	113	95	203	68	187	156	164	178	157	169	190	202	232	220	167	77									
		13.96%	8.70%	12.98%	16.53%	13.79%	12.99%	14.54%	14.68%	13.97%	14.32%	16.55%	15.72%	9.23%	15.81%	13.58%	12.63%	13.31%	13.29%	12.31%	14.27%	14.36%	15.80%	15.80%	15.09%	13.77%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	123	6	3	2	4	3	3	4	7	4	0	9	6	7	6	4	8	6	6	2	12	8	6	6	1									
		0.46%	0.49%	0.23%	0.16%	0.35%	0.52%	0.33%	0.37%	0.65%	0.51%	0.00%	0.70%	0.81%	0.59%	0.52%	0.31%	0.60%	0.51%	0.44%	0.15%	0.85%	0.54%	0.43%	0.54%	0.18%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3527	83	181	164	163	90	115	163	149	133	87	166	44	158	172	178	176	160	162	192	202	190	186	140	73									
		13.21%	6.81%	14.15%	13.29%	14.14%	15.60%	12.76%	15.05%	13.78%	16.86%	15.16%	12.86%	5.97%	13.36%	14.97%	13.71%	13.16%	13.55%	11.80%	14.43%	14.36%	12.94%	13.36%	12.65%	13.06%									
																																			
																																			
																																			
