Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Цимлянская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797					
19	. Малышкин Олег Александрович	445	9	28	24	45	21	37	26	11	56	36	3	6	23	10	13	13	11	1	6	14	0	3	6	4	10	3	6	20					
		1.77%	0.62%	1.60%	1.48%	2.93%	1.31%	2.33%	1.78%	1.07%	2.84%	1.92%	0.54%	1.75%	1.86%	2.21%	3.79%	1.92%	3.04%	0.92%	3.35%	2.09%	0.00%	0.82%	1.14%	1.95%	1.18%	1.13%	1.01%	1.54%					
20	. Миронов Сергей Михайлович	102	5	20	8	9	4	5	4	1	3	3	1	0	3	8	1	1	0	0	2	3	2	3	1	2	6	3	1	3					
		0.41%	0.34%	1.14%	0.49%	0.59%	0.25%	0.32%	0.27%	0.10%	0.15%	0.16%	0.18%	0.00%	0.24%	1.77%	0.29%	0.15%	0.00%	0.00%	1.12%	0.45%	1.14%	0.82%	0.19%	0.98%	0.71%	1.13%	0.17%	0.23%					
21	. Путин Владимир Владимирович	21225	1237	1466	1331	1261	1396	1295	1292	836	1666	1592	461	291	1050	322	290	612	297	99	153	614	160	319	416	165	716	225	538	1125					
		84.63%	85.08%	83.77%	82.01%	81.99%	87.41%	81.70%	88.68%	81.09%	84.48%	85.00%	83.67%	84.84%	84.95%	71.08%	84.55%	90.27%	82.04%	90.83%	85.47%	91.51%	91.43%	87.16%	78.94%	80.49%	84.73%	84.59%	90.12%	86.87%					
22	. Хакамада Ирина Муцуовна	333	12	28	27	35	19	68	20	11	5	18	2	1	12	6	5	7	6	1	0	9	0	6	12	2	8	2	6	5					
		1.33%	0.83%	1.60%	1.66%	2.28%	1.19%	4.29%	1.37%	1.07%	0.25%	0.96%	0.36%	0.29%	0.97%	1.32%	1.46%	1.03%	1.66%	0.92%	0.00%	1.34%	0.00%	1.64%	2.28%	0.98%	0.95%	0.75%	1.01%	0.39%					
23	. Харитонов Николай Михайлович	1972	166	104	139	103	128	51	23	90	206	185	71	40	101	55	23	26	40	7	12	20	6	28	77	25	90	26	30	100					
		7.86%	11.42%	5.94%	8.56%	6.70%	8.02%	3.22%	1.58%	8.73%	10.45%	9.88%	12.89%	11.66%	8.17%	12.14%	6.71%	3.83%	11.05%	6.42%	6.70%	2.98%	3.43%	7.65%	14.61%	12.20%	10.65%	9.77%	5.03%	7.72%					
																																			
24	Против всех	336	11	38	33	24	14	61	39	14	4	10	2	2	14	3	4	8	1	0	0	4	2	5	6	4	6	1	8	18					
		1.34%	0.76%	2.17%	2.03%	1.56%	0.88%	3.85%	2.68%	1.36%	0.20%	0.53%	0.36%	0.58%	1.13%	0.66%	1.17%	1.18%	0.28%	0.00%	0.00%	0.60%	1.14%	1.37%	1.14%	1.95%	0.71%	0.38%	1.34%	1.39%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
