Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Лобненская городская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК  1179	УИК  1180	УИК  1181					
12	Число выданных открепительных удостоверений	512	18	38	30	6	26	27	23	29	16	23	22	12	24	12	15	12	29	29	8	14	12	10	15	30	27	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	447	23	12	16	18	18	21	16	21	15	27	19	16	7	13	17	15	4	16	13	15	16	21	25	10	29	24					
14	Число неиспользованных открепительных удостоверений	788	32	12	20	44	24	23	27	21	34	27	28	38	26	38	35	38	21	21	42	36	38	40	35	20	23	45					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	32	0	0	0	9	0	11	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	1705	66	76	104	63	68	88	59	73	59	90	59	75	86	60	90	44	68	72	53	49	35	35	46	79	98	10					
		5.27%	5.27%	6.06%	6.69%	5.80%	4.16%	5.56%	4.79%	4.77%	4.86%	6.20%	4.30%	6.06%	6.28%	5.66%	6.75%	4.86%	5.20%	5.35%	4.93%	4.41%	3.32%	2.92%	4.37%	5.44%	6.87%	4.42%					
19	. Малышкин Олег Александрович	351	16	14	13	15	18	18	14	13	8	11	19	19	15	20	18	8	16	14	8	12	10	15	9	11	11	6					
		1.09%	1.28%	1.12%	0.84%	1.38%	1.10%	1.14%	1.14%	0.85%	0.66%	0.76%	1.38%	1.53%	1.10%	1.89%	1.35%	0.88%	1.22%	1.04%	0.74%	1.08%	0.95%	1.25%	0.86%	0.76%	0.77%	2.65%					
20	. Миронов Сергей Михайлович	121	4	5	6	3	5	2	6	7	8	4	3	5	4	4	2	2	8	5	4	6	5	3	3	7	8	2					
		0.37%	0.32%	0.40%	0.39%	0.28%	0.31%	0.13%	0.49%	0.46%	0.66%	0.28%	0.22%	0.40%	0.29%	0.38%	0.15%	0.22%	0.61%	0.37%	0.37%	0.54%	0.47%	0.25%	0.29%	0.48%	0.56%	0.88%					
21	. Путин Владимир Владимирович	24559	942	955	1108	830	1225	1198	915	1223	953	1120	1024	910	1011	796	981	692	1028	1015	799	891	871	965	835	1127	991	154					
		75.97%	75.18%	76.16%	71.25%	76.43%	74.88%	75.73%	74.21%	79.93%	78.50%	77.13%	74.64%	73.51%	73.85%	75.02%	73.54%	76.38%	78.65%	75.35%	74.26%	80.20%	82.72%	80.42%	79.37%	77.56%	69.50%	68.14%					
22	. Хакамада Ирина Муцуовна	1443	45	64	103	42	93	83	54	58	44	70	73	57	60	44	63	46	49	53	61	51	23	37	26	60	67	17					
		4.46%	3.59%	5.10%	6.62%	3.87%	5.68%	5.25%	4.38%	3.79%	3.62%	4.82%	5.32%	4.60%	4.38%	4.15%	4.72%	5.08%	3.75%	3.93%	5.67%	4.59%	2.18%	3.08%	2.47%	4.13%	4.70%	7.52%					
23	. Харитонов Николай Михайлович	2535	128	70	133	86	140	116	121	77	72	87	104	111	115	88	97	74	78	130	108	65	56	85	91	110	170	23					
		7.84%	10.22%	5.58%	8.55%	7.92%	8.56%	7.33%	9.81%	5.03%	5.93%	5.99%	7.58%	8.97%	8.40%	8.29%	7.27%	8.17%	5.97%	9.65%	10.04%	5.85%	5.32%	7.08%	8.65%	7.57%	11.92%	10.18%					
																																	
24	Против всех	1304	34	58	78	41	73	70	53	59	57	61	55	53	67	44	72	33	49	47	34	31	33	43	30	51	67	11					
		4.03%	2.71%	4.63%	5.02%	3.78%	4.46%	4.42%	4.30%	3.86%	4.70%	4.20%	4.01%	4.28%	4.89%	4.15%	5.40%	3.64%	3.75%	3.49%	3.16%	2.79%	3.13%	3.58%	2.85%	3.51%	4.70%	4.87%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
