Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Подгоренская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	135	2	3	9	1	7	4	1	2	4	5	1	3	4	5	4	1	1	2	2	2	0	4	1	2	4	0	0	6	1	5	4	2	16	21	6					
14	Число неиспользованных открепительных удостоверений	51	1	2	1	3	2	1	0	2	0	0	2	2	2	3	0	1	0	1	2	1	1	2	1	0	0	2	0	0	1	1	1	0	9	0	7					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	363	5	6	8	2	21	19	2	7	7	6	6	1	3	32	20	1	14	3	0	1	15	4	7	4	3	9	10	10	5	6	10	3	27	68	18					
		2.15%	2.30%	2.34%	1.40%	2.50%	3.05%	2.74%	0.45%	2.43%	0.94%	0.87%	1.31%	0.35%	1.42%	2.82%	3.07%	0.34%	2.91%	1.11%	0.00%	0.89%	1.98%	1.96%	2.37%	2.31%	0.85%	4.29%	1.22%	2.44%	1.24%	2.61%	3.18%	1.30%	2.75%	3.81%	2.20%					
19	. Малышкин Олег Александрович	447	5	5	17	3	22	13	8	7	35	9	9	4	2	29	25	7	13	5	7	3	26	5	10	4	25	4	15	4	6	15	7	1	21	56	20					
		2.65%	2.30%	1.95%	2.97%	3.75%	3.19%	1.88%	1.79%	2.43%	4.69%	1.31%	1.97%	1.39%	0.95%	2.56%	3.84%	2.41%	2.70%	1.85%	2.17%	2.68%	3.43%	2.45%	3.39%	2.31%	7.04%	1.90%	1.83%	0.98%	1.49%	6.52%	2.23%	0.43%	2.14%	3.14%	2.44%					
20	. Миронов Сергей Михайлович	141	0	2	5	0	7	8	4	1	4	3	3	4	1	14	5	1	3	4	3	0	5	1	5	1	4	1	7	6	0	1	3	2	9	19	5					
		0.84%	0.00%	0.78%	0.87%	0.00%	1.02%	1.15%	0.89%	0.35%	0.54%	0.44%	0.66%	1.39%	0.47%	1.23%	0.77%	0.34%	0.62%	1.48%	0.93%	0.00%	0.66%	0.49%	1.69%	0.58%	1.13%	0.48%	0.86%	1.46%	0.00%	0.43%	0.96%	0.87%	0.92%	1.07%	0.61%					
21	. Путин Владимир Владимирович	10129	159	160	378	43	332	377	306	152	348	505	311	202	145	611	304	158	326	162	233	73	526	113	218	135	204	163	544	250	238	135	210	178	498	996	436					
		60.02%	73.27%	62.50%	65.97%	53.75%	48.19%	54.40%	68.30%	52.78%	46.59%	73.51%	68.05%	70.38%	68.72%	53.88%	46.70%	54.48%	67.78%	60.00%	72.14%	65.18%	69.39%	55.39%	73.90%	78.03%	57.46%	77.62%	66.50%	60.98%	59.06%	58.70%	66.88%	77.39%	50.76%	55.86%	53.30%					
22	. Хакамада Ирина Муцуовна	285	2	2	9	0	18	16	4	3	10	3	12	6	1	23	13	5	6	4	5	2	12	0	5	2	7	1	7	9	6	1	8	4	18	41	20					
		1.69%	0.92%	0.78%	1.57%	0.00%	2.61%	2.31%	0.89%	1.04%	1.34%	0.44%	2.63%	2.09%	0.47%	2.03%	2.00%	1.72%	1.25%	1.48%	1.55%	1.79%	1.58%	0.00%	1.69%	1.16%	1.97%	0.48%	0.86%	2.20%	1.49%	0.43%	2.55%	1.74%	1.83%	2.30%	2.44%					
23	. Харитонов Николай Михайлович	4975	42	78	142	31	257	229	106	113	328	154	111	59	53	378	247	111	110	87	63	32	165	75	42	24	105	31	220	129	135	64	65	37	368	504	280					
		29.48%	19.35%	30.47%	24.78%	38.75%	37.30%	33.04%	23.66%	39.24%	43.91%	22.42%	24.29%	20.56%	25.12%	33.33%	37.94%	38.28%	22.87%	32.22%	19.50%	28.57%	21.77%	36.76%	14.24%	13.87%	29.58%	14.76%	26.89%	31.46%	33.50%	27.83%	20.70%	16.09%	37.51%	28.27%	34.23%					
																																										
24	Против всех	405	3	3	10	1	24	29	16	5	8	4	2	7	4	29	27	4	6	5	10	1	9	0	6	1	3	0	11	2	8	6	9	4	25	90	33					
		2.40%	1.38%	1.17%	1.75%	1.25%	3.48%	4.18%	3.57%	1.74%	1.07%	0.58%	0.44%	2.44%	1.90%	2.56%	4.15%	1.38%	1.25%	1.85%	3.10%	0.89%	1.19%	0.00%	2.03%	0.58%	0.85%	0.00%	1.34%	0.49%	1.99%	2.61%	2.87%	1.74%	2.55%	5.05%	4.03%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
