Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Рыбновская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447					
11	Число полученных открепительных  удостоверений	486	8	6	23	15	6	6	4	15	5	4	6	3	5	5	7	6	8	4	3	6	7	7	3	6	3	10	7	12	10	3	21	20	31	28	34	34	34	37	34					
12	Число выданных открепительных удостоверений	115	1	0	12	1	0	0	0	5	2	0	1	0	3	0	2	1	1	1	0	3	0	1	3	2	0	1	2	3	0	0	14	13	3	5	6	7	14	2	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	223	0	1	8	5	2	2	6	2	4	3	6	0	4	15	12	3	11	0	0	6	9	2	13	8	6	8	4	5	2	22	5	6	5	5	3	8	8	8	6					
14	Число неиспользованных открепительных удостоверений	371	7	6	11	14	6	6	4	10	3	4	5	3	2	5	5	5	7	3	3	3	7	6	0	4	3	9	5	9	10	3	7	7	28	23	28	27	20	35	28					
15	"Число открепительных удостоверений, выданных в ТИК"	14	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	3	1	0	2	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	501	8	1	28	17	7	10	7	11	2	1	9	1	2	6	10	7	4	5	3	7	9	14	3	11	6	8	8	10	11	1	26	22	31	14	26	26	45	39	45					
		3.03%	2.52%	0.79%	2.83%	3.53%	3.02%	3.85%	3.12%	1.91%	1.16%	0.95%	3.17%	1.67%	1.23%	3.00%	2.89%	2.95%	1.58%	2.36%	2.22%	3.06%	3.37%	5.71%	1.07%	3.79%	4.48%	2.22%	2.54%	2.07%	3.79%	1.14%	3.13%	2.65%	4.70%	3.09%	3.57%	3.67%	3.92%	2.61%	3.43%					
19	. Малышкин Олег Александрович	325	7	2	20	4	1	5	4	7	1	2	12	1	3	6	8	2	4	4	4	7	2	6	6	10	1	1	7	9	5	2	19	21	11	5	16	15	27	37	21					
		1.97%	2.21%	1.57%	2.02%	0.83%	0.43%	1.92%	1.79%	1.21%	0.58%	1.90%	4.23%	1.67%	1.84%	3.00%	2.31%	0.84%	1.58%	1.89%	2.96%	3.06%	0.75%	2.45%	2.14%	3.45%	0.75%	0.28%	2.22%	1.86%	1.72%	2.27%	2.29%	2.53%	1.67%	1.10%	2.20%	2.12%	2.35%	2.47%	1.60%					
20	. Миронов Сергей Михайлович	98	0	0	7	5	0	3	2	9	1	1	4	1	0	1	2	1	3	3	1	0	0	4	1	0	3	1	4	4	3	1	0	2	2	4	1	3	2	5	14					
		0.59%	0.00%	0.00%	0.71%	1.04%	0.00%	1.15%	0.89%	1.56%	0.58%	0.95%	1.41%	1.67%	0.00%	0.50%	0.58%	0.42%	1.19%	1.42%	0.74%	0.00%	0.00%	1.63%	0.36%	0.00%	2.24%	0.28%	1.27%	0.83%	1.03%	1.14%	0.00%	0.24%	0.30%	0.88%	0.14%	0.42%	0.17%	0.33%	1.07%					
21	. Путин Владимир Владимирович	12603	249	100	775	366	181	175	175	416	138	80	195	50	133	151	240	191	180	177	112	170	203	170	255	233	105	285	227	388	229	75	606	622	464	309	557	551	869	1242	959					
		76.27%	78.55%	78.74%	78.28%	76.09%	78.02%	67.31%	78.12%	72.10%	80.23%	76.19%	68.66%	83.33%	81.60%	75.50%	69.36%	80.59%	71.15%	83.49%	82.96%	74.24%	76.03%	69.39%	91.07%	80.34%	78.36%	78.95%	72.06%	80.17%	78.97%	85.23%	73.01%	74.85%	70.41%	68.21%	76.51%	77.72%	75.63%	83.02%	73.15%					
22	. Хакамада Ирина Муцуовна	335	6	1	12	6	4	1	6	23	2	1	3	1	4	4	5	0	1	0	2	4	3	11	1	1	1	5	8	10	3	1	22	20	32	6	14	15	29	31	36					
		2.03%	1.89%	0.79%	1.21%	1.25%	1.72%	0.38%	2.68%	3.99%	1.16%	0.95%	1.06%	1.67%	2.45%	2.00%	1.45%	0.00%	0.40%	0.00%	1.48%	1.75%	1.12%	4.49%	0.36%	0.34%	0.75%	1.39%	2.54%	2.07%	1.03%	1.14%	2.65%	2.41%	4.86%	1.32%	1.92%	2.12%	2.52%	2.07%	2.75%					
23	. Харитонов Николай Михайлович	1993	36	20	99	68	34	59	20	84	21	17	51	3	20	19	65	27	56	15	12	33	38	27	9	25	15	46	48	46	31	7	124	106	91	97	82	72	125	74	171					
		12.06%	11.36%	15.75%	10.00%	14.14%	14.66%	22.69%	8.93%	14.56%	12.21%	16.19%	17.96%	5.00%	12.27%	9.50%	18.79%	11.39%	22.13%	7.08%	8.89%	14.41%	14.23%	11.02%	3.21%	8.62%	11.19%	12.74%	15.24%	9.50%	10.69%	7.95%	14.94%	12.76%	13.81%	21.41%	11.26%	10.16%	10.88%	4.95%	13.04%					
																																														
24	Против всех	480	4	1	37	10	3	4	5	18	3	2	10	2	1	9	11	4	2	4	1	6	6	7	5	6	0	10	7	12	4	1	26	26	21	11	24	21	46	58	52					
		2.90%	1.26%	0.79%	3.74%	2.08%	1.29%	1.54%	2.23%	3.12%	1.74%	1.90%	3.52%	3.33%	0.61%	4.50%	3.18%	1.69%	0.79%	1.89%	0.74%	2.62%	2.25%	2.86%	1.79%	2.07%	0.00%	2.77%	2.22%	2.48%	1.38%	1.14%	3.13%	3.13%	3.19%	2.43%	3.30%	2.96%	4.00%	3.88%	3.97%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
