Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Сафоновская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	201	4	8	11	1	14	4	6	3	2	1	8	5	10	8	6	2	7	3	4	4	3	1	1	5	4	2	6	6	1	2	5	2	22	3	7	1	9	1	2	3	0	0	2	2					
14	Число неиспользованных открепительных удостоверений	462	28	18	15	16	25	13	23	11	11	8	15	13	9	22	15	18	13	14	20	4	14	5	0	5	8	5	9	5	6	5	4	6	8	5	4	9	18	5	4	4	4	8	8	2					
15	"Число открепительных удостоверений, выданных в ТИК"	6	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	988	57	40	58	47	64	37	69	30	12	15	42	43	41	50	56	19	37	41	41	13	22	8	3	1	12	3	17	4	6	1	3	7	9	4	4	5	29	4	11	7	6	3	4	3					
		3.57%	4.17%	4.02%	4.39%	4.29%	5.02%	4.68%	5.34%	4.29%	2.38%	3.24%	4.05%	4.10%	5.75%	3.48%	4.31%	2.18%	4.03%	4.13%	4.07%	9.15%	4.05%	2.30%	1.19%	1.00%	2.15%	1.00%	3.43%	1.29%	2.87%	0.93%	1.33%	2.92%	1.79%	0.94%	1.59%	1.01%	3.25%	1.54%	5.16%	2.53%	1.82%	0.70%	1.14%	1.02%					
19	. Малышкин Олег Александрович	813	71	20	45	42	55	24	36	16	17	11	25	36	18	33	40	29	33	41	32	2	11	7	3	0	23	12	12	7	4	0	1	13	11	12	7	9	23	4	8	7	5	3	2	3					
		2.94%	5.19%	2.01%	3.40%	3.83%	4.32%	3.04%	2.78%	2.29%	3.37%	2.38%	2.41%	3.44%	2.52%	2.29%	3.08%	3.32%	3.59%	4.13%	3.18%	1.41%	2.03%	2.01%	1.19%	0.00%	4.11%	4.01%	2.42%	2.25%	1.91%	0.00%	0.44%	5.42%	2.19%	2.81%	2.79%	1.81%	2.58%	1.54%	3.76%	2.53%	1.52%	0.70%	0.57%	1.02%					
20	. Миронов Сергей Михайлович	228	9	3	7	10	16	3	13	7	2	10	6	12	8	11	9	6	7	10	7	2	6	1	3	1	4	2	11	8	0	0	1	3	2	1	3	1	7	0	1	4	1	5	3	2					
		0.82%	0.66%	0.30%	0.53%	0.91%	1.26%	0.38%	1.01%	1.00%	0.40%	2.16%	0.58%	1.15%	1.12%	0.76%	0.69%	0.69%	0.76%	1.01%	0.70%	1.41%	1.10%	0.29%	1.19%	1.00%	0.72%	0.67%	2.22%	2.57%	0.00%	0.00%	0.44%	1.25%	0.40%	0.23%	1.20%	0.20%	0.79%	0.00%	0.47%	1.44%	0.30%	1.17%	0.85%	0.68%					
21	. Путин Владимир Владимирович	16307	730	497	707	629	736	449	687	362	326	296	569	596	387	774	694	499	521	532	508	94	308	185	175	83	362	212	287	193	154	99	178	155	374	341	175	406	529	182	141	174	216	328	214	243					
		58.91%	53.36%	50.00%	53.48%	57.39%	57.77%	56.84%	53.13%	51.71%	64.68%	63.93%	54.92%	56.87%	54.28%	53.82%	53.38%	57.16%	56.75%	53.58%	50.45%	66.20%	56.72%	53.16%	69.17%	83.00%	64.76%	70.90%	57.98%	62.06%	73.68%	91.67%	79.11%	64.58%	74.50%	79.86%	69.72%	81.69%	59.37%	70.00%	66.20%	62.82%	65.45%	76.81%	60.97%	82.37%					
22	. Хакамада Ирина Муцуовна	723	38	27	27	27	37	23	50	31	12	10	20	33	15	47	44	23	39	30	33	1	16	12	6	0	12	7	8	8	3	0	2	4	12	2	7	10	12	8	3	0	5	4	12	3					
		2.61%	2.78%	2.72%	2.04%	2.46%	2.90%	2.91%	3.87%	4.43%	2.38%	2.16%	1.93%	3.15%	2.10%	3.27%	3.38%	2.63%	4.25%	3.02%	3.28%	0.70%	2.95%	3.45%	2.37%	0.00%	2.15%	2.34%	1.62%	2.57%	1.44%	0.00%	0.89%	1.67%	2.39%	0.47%	2.79%	2.01%	1.35%	3.08%	1.41%	0.00%	1.52%	0.94%	3.42%	1.02%					
23	. Харитонов Николай Михайлович	7373	395	371	392	289	292	228	376	222	119	112	299	254	195	460	390	252	234	272	342	28	152	119	56	15	130	58	144	82	36	8	35	52	79	58	43	55	271	52	37	69	83	71	109	37					
		26.63%	28.87%	37.32%	29.65%	26.37%	22.92%	28.86%	29.08%	31.71%	23.61%	24.19%	28.86%	24.24%	27.35%	31.99%	30.00%	28.87%	25.49%	27.39%	33.96%	19.72%	27.99%	34.20%	22.13%	15.00%	23.26%	19.40%	29.09%	26.37%	17.22%	7.41%	15.56%	21.67%	15.74%	13.58%	17.13%	11.07%	30.42%	20.00%	17.37%	24.91%	25.15%	16.63%	31.05%	12.54%					
																																																			
24	Против всех	1073	56	28	72	50	68	24	55	27	15	9	72	71	45	49	57	40	43	61	33	1	22	14	4	0	13	5	14	9	6	0	2	5	10	6	5	11	13	8	8	16	8	9	6	3					
		3.88%	4.09%	2.82%	5.45%	4.56%	5.34%	3.04%	4.25%	3.86%	2.98%	1.94%	6.95%	6.77%	6.31%	3.41%	4.38%	4.58%	4.68%	6.14%	3.28%	0.70%	4.05%	4.02%	1.58%	0.00%	2.33%	1.67%	2.83%	2.89%	2.87%	0.00%	0.89%	2.08%	1.99%	1.41%	1.99%	2.21%	1.46%	3.08%	3.76%	5.78%	2.42%	2.11%	1.71%	1.02%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
